Alle geslachte dieren,Diersoort,Jaar,België,Gewest,Aantal slachtingen,Totaal slachtgewicht
Alle geslachte dieren,Runderen,2019,België,Vlaams + Brussels Hoofdstedeli,616533,170906653
Alle geslachte dieren,Runderen,2019,België,Waals Gewest,221353,92842900
Alle geslachte dieren,Runderen,2019,België,,837886,263749553
Alle geslachte dieren,Runderen,2020,België,Vlaams + Brussels Hoofdstedeli,562329,162194365
Alle geslachte dieren,Runderen,2020,België,Waals Gewest,220322,92314326
Alle geslachte dieren,Runderen,2020,België,,782651,254508691
Alle geslachte dieren,Runderen,2021,België,Vlaams + Brussels Hoofdstedeli,558182,157995784
Alle geslachte dieren,Runderen,2021,België,Waals Gewest,208757,89125962
Alle geslachte dieren,Runderen,2021,België,,766939,247121746
Alle geslachte dieren,Varkens,2019,België,Vlaams + Brussels Hoofdstedeli,10018430,970667781
Alle geslachte dieren,Varkens,2019,België,Waals Gewest,701106,68248620
Alle geslachte dieren,Varkens,2019,België,,10719536,1038916401
Alle geslachte dieren,Varkens,2020,België,Vlaams + Brussels Hoofdstedeli,10420962,1025197234
Alle geslachte dieren,Varkens,2020,België,Waals Gewest,729280,73517253
Alle geslachte dieren,Varkens,2020,België,,11150242,1098714487
Alle geslachte dieren,Varkens,2021,België,Vlaams + Brussels Hoofdstedeli,10793312,1062770171
Alle geslachte dieren,Varkens,2021,België,Waals Gewest,791347,77232197
Alle geslachte dieren,Varkens,2021,België,,11584659,1140002368
Alle geslachte dieren,Schapen (totaal),2019,België,Vlaams + Brussels Hoofdstedeli,79322,1768300
Alle geslachte dieren,Schapen (totaal),2019,België,Waals Gewest,40538,870261
Alle geslachte dieren,Schapen (totaal),2019,België,,119860,2638561
Alle geslachte dieren,Schapen (totaal),2020,België,Vlaams + Brussels Hoofdstedeli,72027,1557816
Alle geslachte dieren,Schapen (totaal),2020,België,Waals Gewest,45231,970771
Alle geslachte dieren,Schapen (totaal),2020,België,,117258,2528587
Alle geslachte dieren,Schapen (totaal),2021,België,Vlaams + Brussels Hoofdstedeli,73682,1623925
Alle geslachte dieren,Schapen (totaal),2021,België,Waals Gewest,47592,1049373
Alle geslachte dieren,Schapen (totaal),2021,België,,121274,2673298
Alle geslachte dieren,Geiten,2019,België,Vlaams + Brussels Hoofdstedeli,16826,381539
Alle geslachte dieren,Geiten,2019,België,Waals Gewest,1373,16148
Alle geslachte dieren,Geiten,2019,België,,18199,397687
Alle geslachte dieren,Geiten,2020,België,Vlaams + Brussels Hoofdstedeli,15139,303767
Alle geslachte dieren,Geiten,2020,België,Waals Gewest,1121,13000
Alle geslachte dieren,Geiten,2020,België,,16260,316767
Alle geslachte dieren,Geiten,2021,België,Vlaams + Brussels Hoofdstedeli,20421,360946
Alle geslachte dieren,Geiten,2021,België,Waals Gewest,1878,23329
Alle geslachte dieren,Geiten,2021,België,,22299,384275
Alle geslachte dieren,Paarden totaal,2019,België,Vlaams + Brussels Hoofdstedeli,5474,1723485
Alle geslachte dieren,Paarden totaal,2019,België,Waals Gewest,21,6385
Alle geslachte dieren,Paarden totaal,2019,België,,5495,1729870
Alle geslachte dieren,Paarden totaal,2020,België,Vlaams + Brussels Hoofdstedeli,3684,1162462
Alle geslachte dieren,Paarden totaal,2020,België,Waals Gewest,68,21635
Alle geslachte dieren,Paarden totaal,2020,België,,3752,1184097
Alle geslachte dieren,Paarden totaal,2021,België,Vlaams + Brussels Hoofdstedeli,1521,489954
Alle geslachte dieren,Paarden totaal,2021,België,Waals Gewest,10,3673
Alle geslachte dieren,Paarden totaal,2021,België,,1531,493627
Alle geslachte dieren,Gevogelte,2019,België,Vlaams + Brussels Hoofdstedeli,246877139,384224038
Alle geslachte dieren,Gevogelte,2019,België,Waals Gewest,49328606,63561679
Alle geslachte dieren,Gevogelte,2019,België,,296205745,447785717
Alle geslachte dieren,Gevogelte,2020,België,Vlaams + Brussels Hoofdstedeli,249023772,385399464
Alle geslachte dieren,Gevogelte,2020,België,Waals Gewest,49116921,63574408
Alle geslachte dieren,Gevogelte,2020,België,,298140693,448973872
Alle geslachte dieren,Gevogelte,2021,België,Vlaams + Brussels Hoofdstedeli,254101182,391269670
Alle geslachte dieren,Gevogelte,2021,België,Waals Gewest,49291104,63845715
Alle geslachte dieren,Gevogelte,2021,België,,303392286,455115385
Alle geslachte dieren,,2019,België,Vlaams + Brussels Hoofdstedeli,257613724,1529671796
Alle geslachte dieren,,2019,België,Waals Gewest,50292997,225545993
Alle geslachte dieren,,2019,België,,307906721,1755217789
Alle geslachte dieren,,2020,België,Vlaams + Brussels Hoofdstedeli,260097913,1575815108
Alle geslachte dieren,,2020,België,Waals Gewest,50112943,230411393
Alle geslachte dieren,,2020,België,,310210856,1806226501
Alle geslachte dieren,,2021,België,Vlaams + Brussels Hoofdstedeli,265548300,1614510450
Alle geslachte dieren,,2021,België,Waals Gewest,50340688,231280249
Alle geslachte dieren,,2021,België,,315888988,1845790699
