Herkomst en bestemming,Soort ontvangen zuivelproduct,Maand,Hoeveelheid,Vetgehalte,Eiwitgehalte
Ontvangst van houders van melkkoeien (België + invoer),Melk,Januari 2022,365562295,4.28,3.45
Ontvangst van houders van melkkoeien (België + invoer),Melk,Februari 2022,335688548,4.26,3.45
Ontvangst van houders van melkkoeien (België + invoer),Melk,Maart 2022,376835495,4.24,3.44
Ontvangst van houders van melkkoeien (België + invoer),Melk,April 2022,370415760,4.19,3.41
Ontvangst van houders van melkkoeien (België + invoer),Melk,Mei 2022,389619975,4.05,3.38
Ontvangst van houders van melkkoeien (België + invoer),Melk,Juni 2022,371432113,4.01,3.34
Ontvangst van houders van melkkoeien (België + invoer),Melk,Juli 2022,375346336,3.97,3.32
Ontvangst van houders van melkkoeien (België + invoer),Melk,Augustus 2022,363959286,3.99,3.33
Ontvangst van houders van melkkoeien (België + invoer),Melk,September 2022,350684211,4.12,3.42
Ontvangst van houders van melkkoeien (België + invoer),Room,Januari 2022,20000,27.36,
Ontvangst van houders van melkkoeien (België + invoer),Room,Februari 2022,34463,15.47,
Ontvangst van houders van melkkoeien (België + invoer),Room,Maart 2022,20465,35.53,
Ontvangst van houders van melkkoeien (België + invoer),Room,April 2022,25334,35.9,
Ontvangst van houders van melkkoeien (België + invoer),Room,Mei 2022,47311,35.5,
Ontvangst van houders van melkkoeien (België + invoer),Room,Juni 2022,19270,35.81,
Ontvangst van houders van melkkoeien (België + invoer),Room,Juli 2022,17999,36.45,
Ontvangst van houders van melkkoeien (België + invoer),Room,Augustus 2022,37722,35.41,
Ontvangst van houders van melkkoeien (België + invoer),Room,September 2022,29726,36.22,
Ontvangst van houders van melkkoeien (België + invoer),Magere melk,Januari 2022,1043168,0.25,3.46
Ontvangst van houders van melkkoeien (België + invoer),Magere melk,Februari 2022,979431,0.29,3.44
Ontvangst van houders van melkkoeien (België + invoer),Magere melk,Maart 2022,1089852,0.28,3.43
Ontvangst van houders van melkkoeien (België + invoer),Magere melk,April 2022,1052958,0.32,3.43
Ontvangst van houders van melkkoeien (België + invoer),Magere melk,Mei 2022,1317043,0.26,3.43
Ontvangst van houders van melkkoeien (België + invoer),Magere melk,Juni 2022,1186613,0.28,3.37
Ontvangst van houders van melkkoeien (België + invoer),Magere melk,Juli 2022,980806,0.32,3.34
Ontvangst van houders van melkkoeien (België + invoer),Magere melk,Augustus 2022,943443,0.31,3.34
Ontvangst van houders van melkkoeien (België + invoer),Magere melk,September 2022,982071,0.42,3.5
