België,Gewest,Provincie,Arrondissement,Gemeente,Bevolking tewerkgesteld buiten haar provincie
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Drogenbos,0.743
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Linkebeek,0.741
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Kraainem,0.723
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Wezembeek-Oppem,0.689
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Wemmel,0.655
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Sint-Genesius-Rode,0.647
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Edingen,0.643
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Walcourt,0.643
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Messancy,0.637
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Aubange,0.616
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Attert,0.61
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Sint-Pieters-Leeuw,0.608
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Rebecq,0.608
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Lijsem,0.607
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Voeren,0.605
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Dilbeek,0.603
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,’s Gravenbrakel,0.602
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Tubeke,0.598
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Sombreffe,0.585
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Denderleeuw,0.584
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Hélécine,0.582
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Gembloux,0.574
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Martelange,0.569
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Somme-Leuze,0.566
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Wasseiges,0.565
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Liedekerke,0.56
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Hoeilaart,0.559
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Aarlen,0.558
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Bever,0.552
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Zaventem,0.547
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Beersel,0.547
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Affligem,0.545
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Machelen (Halle-Vilvoorde),0.538
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Seneffe,0.537
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Grimbergen,0.534
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Raeren,0.534
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Eigenbrakel,0.533
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Overijse,0.533
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Terhulpen,0.532
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Asse,0.532
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Orp-Jauche,0.53
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Waterloo,0.529
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Vilvoorde,0.528
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Buggenhout,0.528
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Opzullik,0.527
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tervuren,0.52
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Rixensart,0.518
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Galmaarden,0.517
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Kruibeke,0.512
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Musson,0.509
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Bevekom,0.508
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Zemst,0.507
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Kasteelbrakel,0.505
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Saint-Léger (Virton),0.505
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Cerfontaine,0.505
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Mont-de-l’Enclus,0.504
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Roosdaal,0.504
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Meise,0.501
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Héron,0.499
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Opwijk,0.494
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Boortmeerbeek,0.494
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Ternat,0.493
