Alle groepen/getuigen,Groep,Subgroep 1,Subgroep 2,Basisjaar,Jaar,Maand,Index
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Graangewassen,2015,2020,september,109.018
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Graangewassen,2015,2020,oktober,118.525
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Graangewassen,2015,2020,november,121.237
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Graangewassen,2015,2020,december,121.685
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Graangewassen,2015,2021,januari,133.053
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Graangewassen,2015,2021,februari,134.607
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Graangewassen,2015,2021,maart,133.401
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Graangewassen,2015,2021,april,131.6
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Graangewassen,2015,2021,mei,146.025
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Graangewassen,2015,2021,juni,145.178
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Hakvruchten,2015,2020,september,55.241
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Hakvruchten,2015,2020,oktober,81.869
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Hakvruchten,2015,2020,november,30.131
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Hakvruchten,2015,2020,december,22.598
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Hakvruchten,2015,2021,januari,43.942
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Hakvruchten,2015,2021,februari,71.562
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Hakvruchten,2015,2021,maart,76.584
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Hakvruchten,2015,2021,april,67.795
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Hakvruchten,2015,2021,mei,100.438
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Hakvruchten,2015,2021,juni,522.986
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Andere Plantaardige producten,2015,2020,september,123.333
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Andere Plantaardige producten,2015,2020,oktober,143.001
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Andere Plantaardige producten,2015,2020,november,150.164
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Andere Plantaardige producten,2015,2020,december,150.468
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Andere Plantaardige producten,2015,2021,januari,151.121
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Andere Plantaardige producten,2015,2021,februari,154.837
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Andere Plantaardige producten,2015,2021,maart,157.697
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Andere Plantaardige producten,2015,2021,april,157.946
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Andere Plantaardige producten,2015,2021,mei,161.808
