België,Gewest,Provincie,Arrondissement,Bevolking geboren in het buitenland binnen de EU
België,Vlaams Gewest,Provincie Antwerpen,,0.053
België,Vlaams Gewest,Provincie Vlaams-Brabant,,0.05
België,Vlaams Gewest,Provincie West-Vlaanderen,,0.026
België,Vlaams Gewest,Provincie Oost-Vlaanderen,,0.027
België,Vlaams Gewest,Provincie Limburg,,0.08
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,0.168
België,Waals Gewest,Provincie Waals-Brabant,,0.07
België,Waals Gewest,Provincie Henegouwen,,0.094
België,Waals Gewest,Provincie Luik,,0.086
België,Waals Gewest,Provincie Luxemburg,,0.086
België,Waals Gewest,Provincie Namen,,0.044
België,,,,0.07
