België,Gewest,Provincie,Arrondissement,Gemeente,Eenpersoonshuishoudens
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Elsene,0.639
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Brussel,0.564
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Gillis,0.558
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Etterbeek,0.556
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Luik,0.542
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Joost-ten-Node,0.52
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Lambrechts-Woluwe,0.491
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Leuven,0.488
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Vorst (Brussel-Hoofdstad),0.464
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Schaarbeek,0.46
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Watermaal-Bosvoorde,0.459
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Spa,0.457
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Antwerpen,0.451
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Ganshoren,0.447
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Oostende,0.445
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Oudergem,0.444
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Vresse-sur-Semois,0.442
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Anderlecht,0.441
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Ukkel,0.44
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Hoei,0.439
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Gent,0.438
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Bergen,0.435
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Verviers,0.435
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Charleroi,0.431
