Gebouwtype,België,Gewest,Jaar,Semester,Kwartaal,Mediaanprijs
Appartementen,België,Vlaams Gewest,2020,1ste semester 2020,2de kwartaal 2020,204000
Appartementen,België,Vlaams Gewest,2020,2de semester 2020,3de kwartaal 2020,206600
Appartementen,België,Vlaams Gewest,2020,2de semester 2020,4de kwartaal 2020,215000
Appartementen,België,Vlaams Gewest,2021,1ste semester 2021,1ste kwartaal 2021,215000
Appartementen,België,Vlaams Gewest,2021,1ste semester 2021,2de kwartaal 2021,220000
Appartementen,België,Vlaams Gewest,2021,2de semester 2021,3de kwartaal 2021,225000
Appartementen,België,Vlaams Gewest,2021,2de semester 2021,4de kwartaal 2021,225000
Appartementen,België,Vlaams Gewest,2022,1ste semester 2022,1ste kwartaal 2022,230000
Appartementen,België,Vlaams Gewest,2022,1ste semester 2022,2de kwartaal 2022,232000
Appartementen,België,Vlaams Gewest,2022,2de semester 2022,3de kwartaal 2022,240000
Appartementen,België,Brussels Hoofdstedelijk Gewest,2020,1ste semester 2020,2de kwartaal 2020,230000
Appartementen,België,Brussels Hoofdstedelijk Gewest,2020,2de semester 2020,3de kwartaal 2020,230000
Appartementen,België,Brussels Hoofdstedelijk Gewest,2020,2de semester 2020,4de kwartaal 2020,233375
Appartementen,België,Brussels Hoofdstedelijk Gewest,2021,1ste semester 2021,1ste kwartaal 2021,236500
Appartementen,België,Brussels Hoofdstedelijk Gewest,2021,1ste semester 2021,2de kwartaal 2021,240000
Appartementen,België,Brussels Hoofdstedelijk Gewest,2021,2de semester 2021,3de kwartaal 2021,250000
Appartementen,België,Brussels Hoofdstedelijk Gewest,2021,2de semester 2021,4de kwartaal 2021,240000
Appartementen,België,Brussels Hoofdstedelijk Gewest,2022,1ste semester 2022,1ste kwartaal 2022,249000
Appartementen,België,Brussels Hoofdstedelijk Gewest,2022,1ste semester 2022,2de kwartaal 2022,250000
Appartementen,België,Brussels Hoofdstedelijk Gewest,2022,2de semester 2022,3de kwartaal 2022,262250
Appartementen,België,Waals Gewest,2020,1ste semester 2020,2de kwartaal 2020,159000
Appartementen,België,Waals Gewest,2020,2de semester 2020,3de kwartaal 2020,155000
Appartementen,België,Waals Gewest,2020,2de semester 2020,4de kwartaal 2020,160000
Appartementen,België,Waals Gewest,2021,1ste semester 2021,1ste kwartaal 2021,157000
Appartementen,België,Waals Gewest,2021,1ste semester 2021,2de kwartaal 2021,161000
Appartementen,België,Waals Gewest,2021,2de semester 2021,3de kwartaal 2021,170000
Appartementen,België,Waals Gewest,2021,2de semester 2021,4de kwartaal 2021,169000
Appartementen,België,Waals Gewest,2022,1ste semester 2022,1ste kwartaal 2022,170000
Appartementen,België,Waals Gewest,2022,1ste semester 2022,2de kwartaal 2022,175000
Appartementen,België,Waals Gewest,2022,2de semester 2022,3de kwartaal 2022,175000
Appartementen,België,,2020,1ste semester 2020,2de kwartaal 2020,200000
Appartementen,België,,2020,2de semester 2020,3de kwartaal 2020,204500
Appartementen,België,,2020,2de semester 2020,4de kwartaal 2020,210000
Appartementen,België,,2021,1ste semester 2021,1ste kwartaal 2021,210000
Appartementen,België,,2021,1ste semester 2021,2de kwartaal 2021,215000
Appartementen,België,,2021,2de semester 2021,3de kwartaal 2021,222000
Appartementen,België,,2021,2de semester 2021,4de kwartaal 2021,220000
Appartementen,België,,2022,1ste semester 2022,1ste kwartaal 2022,225000
Appartementen,België,,2022,1ste semester 2022,2de kwartaal 2022,229000
Appartementen,België,,2022,2de semester 2022,3de kwartaal 2022,235000
