Totaal,Niveau 1,Jaar,Trimester,Inflatie
Totaal,Aankoop van nieuwe woningen,2020,4de kwartaal 2020,0.073
Totaal,Aankoop van nieuwe woningen,2021,1ste kwartaal 2021,0.051
Totaal,Aankoop van nieuwe woningen,2021,2de kwartaal 2021,0.059
Totaal,Aankoop van nieuwe woningen,2021,3de kwartaal 2021,0.087
Totaal,Aankoop van nieuwe woningen,2021,4de kwartaal 2021,0.055
Totaal,Aankoop van nieuwe woningen,2022,1ste kwartaal 2022,0.052
Totaal,Aankoop van nieuwe woningen,2022,2de kwartaal 2022,0.072
Totaal,Aankoop van nieuwe woningen,2022,3de kwartaal 2022,0.037
Totaal,Aankoop van bestaande woningen,2020,4de kwartaal 2020,0.052
Totaal,Aankoop van bestaande woningen,2021,1ste kwartaal 2021,0.076
Totaal,Aankoop van bestaande woningen,2021,2de kwartaal 2021,0.08
Totaal,Aankoop van bestaande woningen,2021,3de kwartaal 2021,0.081
Totaal,Aankoop van bestaande woningen,2021,4de kwartaal 2021,0.062
Totaal,Aankoop van bestaande woningen,2022,1ste kwartaal 2022,0.068
Totaal,Aankoop van bestaande woningen,2022,2de kwartaal 2022,0.055
Totaal,Aankoop van bestaande woningen,2022,3de kwartaal 2022,0.058
Totaal,,2020,4de kwartaal 2020,0.057
Totaal,,2021,1ste kwartaal 2021,0.069
Totaal,,2021,2de kwartaal 2021,0.074
Totaal,,2021,3de kwartaal 2021,0.082
Totaal,,2021,4de kwartaal 2021,0.06
Totaal,,2022,1ste kwartaal 2022,0.065
Totaal,,2022,2de kwartaal 2022,0.059
Totaal,,2022,3de kwartaal 2022,0.054
