Totaal,Rechtsvorm,Jaar,Alle plaatsen,Gewest,Aantal oprichtingen
Totaal,Natuurlijke persoon,2021,Alle plaatsen,Vlaams Gewest,41935.0
Totaal,Natuurlijke persoon,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,5377.0
Totaal,Natuurlijke persoon,2021,Alle plaatsen,Waals Gewest,16202.0
Totaal,Natuurlijke persoon,2021,Alle plaatsen,Buitenland,644.0
Totaal,Natuurlijke persoon,2021,Alle plaatsen,Onbekend,10.0
Totaal,Natuurlijke persoon,2021,Alle plaatsen,,64168.0
Totaal,VGN (vennootschap onder gemeenschappelijke naam) of VEG (vennootschap bij wijze van enkelvoudige geldschieting),2021,Alle plaatsen,Vlaams Gewest,5873.0
Totaal,VGN (vennootschap onder gemeenschappelijke naam) of VEG (vennootschap bij wijze van enkelvoudige geldschieting),2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,409.0
Totaal,VGN (vennootschap onder gemeenschappelijke naam) of VEG (vennootschap bij wijze van enkelvoudige geldschieting),2021,Alle plaatsen,Waals Gewest,709.0
Totaal,VGN (vennootschap onder gemeenschappelijke naam) of VEG (vennootschap bij wijze van enkelvoudige geldschieting),2021,Alle plaatsen,Buitenland,0.0
Totaal,VGN (vennootschap onder gemeenschappelijke naam) of VEG (vennootschap bij wijze van enkelvoudige geldschieting),2021,Alle plaatsen,Onbekend,
Totaal,VGN (vennootschap onder gemeenschappelijke naam) of VEG (vennootschap bij wijze van enkelvoudige geldschieting),2021,Alle plaatsen,,6991.0
Totaal,NV (naamloze vennootschap) of VGD (vennootschap bij wijze van geldschieten op aandelen),2021,Alle plaatsen,Vlaams Gewest,691.0
Totaal,NV (naamloze vennootschap) of VGD (vennootschap bij wijze van geldschieten op aandelen),2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,233.0
Totaal,NV (naamloze vennootschap) of VGD (vennootschap bij wijze van geldschieten op aandelen),2021,Alle plaatsen,Waals Gewest,325.0
Totaal,NV (naamloze vennootschap) of VGD (vennootschap bij wijze van geldschieten op aandelen),2021,Alle plaatsen,Buitenland,
Totaal,NV (naamloze vennootschap) of VGD (vennootschap bij wijze van geldschieten op aandelen),2021,Alle plaatsen,Onbekend,
Totaal,NV (naamloze vennootschap) of VGD (vennootschap bij wijze van geldschieten op aandelen),2021,Alle plaatsen,,1249.0
Totaal,BVBA,2021,Alle plaatsen,Vlaams Gewest,22918.0
Totaal,BVBA,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,4867.0
Totaal,BVBA,2021,Alle plaatsen,Waals Gewest,7782.0
Totaal,BVBA,2021,Alle plaatsen,Buitenland,1.0
Totaal,BVBA,2021,Alle plaatsen,Onbekend,
Totaal,BVBA,2021,Alle plaatsen,,35568.0
Totaal,Coöperative vennootschap,2021,Alle plaatsen,Vlaams Gewest,42.0
Totaal,Coöperative vennootschap,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,22.0
Totaal,Coöperative vennootschap,2021,Alle plaatsen,Waals Gewest,88.0
Totaal,Coöperative vennootschap,2021,Alle plaatsen,Buitenland,0.0
Totaal,Coöperative vennootschap,2021,Alle plaatsen,Onbekend,
Totaal,Coöperative vennootschap,2021,Alle plaatsen,,152.0
Totaal,Handelsvereniging in deelneming of tijdelijke handelsvereniging,2021,Alle plaatsen,Vlaams Gewest,575.0
Totaal,Handelsvereniging in deelneming of tijdelijke handelsvereniging,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,88.0
Totaal,Handelsvereniging in deelneming of tijdelijke handelsvereniging,2021,Alle plaatsen,Waals Gewest,444.0
Totaal,Handelsvereniging in deelneming of tijdelijke handelsvereniging,2021,Alle plaatsen,Buitenland,1.0
Totaal,Handelsvereniging in deelneming of tijdelijke handelsvereniging,2021,Alle plaatsen,Onbekend,
Totaal,Handelsvereniging in deelneming of tijdelijke handelsvereniging,2021,Alle plaatsen,,1108.0
Totaal,Handelsvennootschap van buitenlands recht,2021,Alle plaatsen,Vlaams Gewest,0.0
Totaal,Handelsvennootschap van buitenlands recht,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,0.0
Totaal,Handelsvennootschap van buitenlands recht,2021,Alle plaatsen,Waals Gewest,0.0
Totaal,Handelsvennootschap van buitenlands recht,2021,Alle plaatsen,Buitenland,2523.0
Totaal,Handelsvennootschap van buitenlands recht,2021,Alle plaatsen,Onbekend,1.0
Totaal,Handelsvennootschap van buitenlands recht,2021,Alle plaatsen,,2524.0
Totaal,VZW (vereniging zonder winstgevend doel),2021,Alle plaatsen,Vlaams Gewest,1123.0
Totaal,VZW (vereniging zonder winstgevend doel),2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,352.0
Totaal,VZW (vereniging zonder winstgevend doel),2021,Alle plaatsen,Waals Gewest,542.0
Totaal,VZW (vereniging zonder winstgevend doel),2021,Alle plaatsen,Buitenland,0.0
Totaal,VZW (vereniging zonder winstgevend doel),2021,Alle plaatsen,Onbekend,
Totaal,VZW (vereniging zonder winstgevend doel),2021,Alle plaatsen,,2017.0
Totaal,Publiekrechterlijke instelling,2021,Alle plaatsen,Vlaams Gewest,13.0
Totaal,Publiekrechterlijke instelling,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,4.0
Totaal,Publiekrechterlijke instelling,2021,Alle plaatsen,Waals Gewest,12.0
Totaal,Publiekrechterlijke instelling,2021,Alle plaatsen,Buitenland,0.0
Totaal,Publiekrechterlijke instelling,2021,Alle plaatsen,Onbekend,
Totaal,Publiekrechterlijke instelling,2021,Alle plaatsen,,29.0
Totaal,Andere rechtsvormen,2021,Alle plaatsen,Vlaams Gewest,454.0
Totaal,Andere rechtsvormen,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,119.0
Totaal,Andere rechtsvormen,2021,Alle plaatsen,Waals Gewest,180.0
Totaal,Andere rechtsvormen,2021,Alle plaatsen,Buitenland,0.0
Totaal,Andere rechtsvormen,2021,Alle plaatsen,Onbekend,
Totaal,Andere rechtsvormen,2021,Alle plaatsen,,753.0
