België,Gewest,Provincie,totaal,Type gebouw niveau 1,Bewoonde conventionele woningen
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Conventionele woningen in woongebouwen,475619
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Conventionele woningen in niet voor bewoning bestemde gebouwen,11963
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,,487582
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Conventionele woningen in woongebouwen,724032
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Conventionele woningen in niet voor bewoning bestemde gebouwen,8636
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,,732668
België,Vlaams Gewest  ,Provincie Limburg,totaal,Conventionele woningen in woongebouwen,333137
België,Vlaams Gewest  ,Provincie Limburg,totaal,Conventionele woningen in niet voor bewoning bestemde gebouwen,3681
België,Vlaams Gewest  ,Provincie Limburg,totaal,,336818
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Conventionele woningen in woongebouwen,601447
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Conventionele woningen in niet voor bewoning bestemde gebouwen,5698
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,,607145
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Conventionele woningen in woongebouwen,434265
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Conventionele woningen in niet voor bewoning bestemde gebouwen,5086
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,,439351
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Conventionele woningen in woongebouwen,491629
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Conventionele woningen in niet voor bewoning bestemde gebouwen,5576
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,,497205
België,Waals Gewest,Provincie Waals-Brabant,totaal,Conventionele woningen in woongebouwen,148562
België,Waals Gewest,Provincie Waals-Brabant,totaal,Conventionele woningen in niet voor bewoning bestemde gebouwen,1996
België,Waals Gewest,Provincie Waals-Brabant,totaal,,150558
België,Waals Gewest,Provincie Henegouwen,totaal,Conventionele woningen in woongebouwen,551779
België,Waals Gewest,Provincie Henegouwen,totaal,Conventionele woningen in niet voor bewoning bestemde gebouwen,6887
België,Waals Gewest,Provincie Henegouwen,totaal,,558666
België,Waals Gewest,Provincie Luik,totaal,Conventionele woningen in woongebouwen,444895
België,Waals Gewest,Provincie Luik,totaal,Conventionele woningen in niet voor bewoning bestemde gebouwen,5880
België,Waals Gewest,Provincie Luik,totaal,,450775
België,Waals Gewest,Provincie Luxemburg,totaal,Conventionele woningen in woongebouwen,107040
België,Waals Gewest,Provincie Luxemburg,totaal,Conventionele woningen in niet voor bewoning bestemde gebouwen,1724
België,Waals Gewest,Provincie Luxemburg,totaal,,108764
België,Waals Gewest,Provincie Namen,totaal,Conventionele woningen in woongebouwen,190789
België,Waals Gewest,Provincie Namen,totaal,Conventionele woningen in niet voor bewoning bestemde gebouwen,3330
België,Waals Gewest,Provincie Namen,totaal,,194119
België,,,totaal,Conventionele woningen in woongebouwen,4503194
België,,,totaal,Conventionele woningen in niet voor bewoning bestemde gebouwen,60457
België,,,totaal,,4563651
