België,Gewest,Provincie,totaal,Type woonverblijf niveau 1,Woonverblijven
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Bewoonde conventionele woningen,487582
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Andere wooneenheden,19
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Collectieve woonverblijven,824
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,,488425
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Bewoonde conventionele woningen,732668
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Andere wooneenheden,716
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Collectieve woonverblijven,1161
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,,734545
België,Vlaams Gewest  ,Provincie Limburg,totaal,Bewoonde conventionele woningen,336818
België,Vlaams Gewest  ,Provincie Limburg,totaal,Andere wooneenheden,422
België,Vlaams Gewest  ,Provincie Limburg,totaal,Collectieve woonverblijven,557
België,Vlaams Gewest  ,Provincie Limburg,totaal,,337797
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Bewoonde conventionele woningen,607145
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Andere wooneenheden,204
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Collectieve woonverblijven,744
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,,608093
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Bewoonde conventionele woningen,439351
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Andere wooneenheden,91
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Collectieve woonverblijven,568
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,,440010
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Bewoonde conventionele woningen,497205
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Andere wooneenheden,45
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Collectieve woonverblijven,775
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,,498025
België,Waals Gewest,Provincie Waals-Brabant,totaal,Bewoonde conventionele woningen,150558
België,Waals Gewest,Provincie Waals-Brabant,totaal,Andere wooneenheden,55
België,Waals Gewest,Provincie Waals-Brabant,totaal,Collectieve woonverblijven,195
België,Waals Gewest,Provincie Waals-Brabant,totaal,,150808
België,Waals Gewest,Provincie Henegouwen,totaal,Bewoonde conventionele woningen,558666
België,Waals Gewest,Provincie Henegouwen,totaal,Andere wooneenheden,165
België,Waals Gewest,Provincie Henegouwen,totaal,Collectieve woonverblijven,744
België,Waals Gewest,Provincie Henegouwen,totaal,,559575
België,Waals Gewest,Provincie Luik,totaal,Bewoonde conventionele woningen,450775
België,Waals Gewest,Provincie Luik,totaal,Andere wooneenheden,190
België,Waals Gewest,Provincie Luik,totaal,Collectieve woonverblijven,564
België,Waals Gewest,Provincie Luik,totaal,,451529
België,Waals Gewest,Provincie Luxemburg,totaal,Bewoonde conventionele woningen,108764
België,Waals Gewest,Provincie Luxemburg,totaal,Andere wooneenheden,68
België,Waals Gewest,Provincie Luxemburg,totaal,Collectieve woonverblijven,196
België,Waals Gewest,Provincie Luxemburg,totaal,,109028
België,Waals Gewest,Provincie Namen,totaal,Bewoonde conventionele woningen,194119
België,Waals Gewest,Provincie Namen,totaal,Andere wooneenheden,225
België,Waals Gewest,Provincie Namen,totaal,Collectieve woonverblijven,443
België,Waals Gewest,Provincie Namen,totaal,,194787
België,,,totaal,Bewoonde conventionele woningen,4563651
België,,,totaal,Andere wooneenheden,2200
België,,,totaal,Collectieve woonverblijven,6771
België,,,totaal,,4572622
