Indicator Groep,Indicator Niveau 1,Indicator Niveau 2,Product Niveau 1,Kiloton olie equivalent (ovw)
Totale energievoorziening,Primaire productie,,Waterkracht,35.95
Totale energievoorziening,Primaire productie,,Windenergie,1031.608
Totale energievoorziening,Primaire productie,,Fotovoltaïsche zonne-energie,483.07
Totale energievoorziening,Primaire productie,,Thermische zonne-energie,26.013
Totale energievoorziening,Primaire productie,,Geothermische energie,3.664
Totale energievoorziening,Primaire productie,,Vaste biobrandstoffen,1319.963
Totale energievoorziening,Primaire productie,,Houtskool,
Totale energievoorziening,Primaire productie,,Biogas,245.808
Totale energievoorziening,Primaire productie,,Hernieuwbaar huishoudelijk afval,397.791
Totale energievoorziening,Primaire productie,,Biobenzine,249.145
Totale energievoorziening,Primaire productie,,Biodiesel,181.857
Totale energievoorziening,Primaire productie,,Andere vloeibare biobrandstoffen,0.45
Totale energievoorziening,Primaire productie,,Warmtepompen,190.059
Totale energievoorziening,Invoer,,Waterkracht,
Totale energievoorziening,Invoer,,Windenergie,
Totale energievoorziening,Invoer,,Fotovoltaïsche zonne-energie,
Totale energievoorziening,Invoer,,Thermische zonne-energie,
Totale energievoorziening,Invoer,,Geothermische energie,
Totale energievoorziening,Invoer,,Vaste biobrandstoffen,575.49
Totale energievoorziening,Invoer,,Houtskool,29.945
Totale energievoorziening,Invoer,,Biogas,
Totale energievoorziening,Invoer,,Hernieuwbaar huishoudelijk afval,0.709
Totale energievoorziening,Invoer,,Biobenzine,138.959
Totale energievoorziening,Invoer,,Biodiesel,531.049
Totale energievoorziening,Invoer,,Andere vloeibare biobrandstoffen,4.142
Totale energievoorziening,Invoer,,Warmtepompen,
Totale energievoorziening,Uitvoer,,Waterkracht,
Totale energievoorziening,Uitvoer,,Windenergie,
Totale energievoorziening,Uitvoer,,Fotovoltaïsche zonne-energie,
Totale energievoorziening,Uitvoer,,Thermische zonne-energie,
Totale energievoorziening,Uitvoer,,Geothermische energie,
Totale energievoorziening,Uitvoer,,Vaste biobrandstoffen,
Totale energievoorziening,Uitvoer,,Houtskool,
Totale energievoorziening,Uitvoer,,Biogas,
Totale energievoorziening,Uitvoer,,Hernieuwbaar huishoudelijk afval,
Totale energievoorziening,Uitvoer,,Biobenzine,-226.815
Totale energievoorziening,Uitvoer,,Biodiesel,-95.674
Totale energievoorziening,Uitvoer,,Andere vloeibare biobrandstoffen,
Totale energievoorziening,Uitvoer,,Warmtepompen,
