Sectie,Jaar,Trimester,Omzet
B Winning van delfstoffen,2019,1ste kwartaal 2019,208536
B Winning van delfstoffen,2019,2de kwartaal 2019,275505
B Winning van delfstoffen,2019,3de kwartaal 2019,230740
B Winning van delfstoffen,2019,4de kwartaal 2019,230152
B Winning van delfstoffen,2020,1ste kwartaal 2020,272210
B Winning van delfstoffen,2020,2de kwartaal 2020,255049
B Winning van delfstoffen,2020,3de kwartaal 2020,237525
B Winning van delfstoffen,2020,4de kwartaal 2020,281774
B Winning van delfstoffen,2021,1ste kwartaal 2021,291482
B Winning van delfstoffen,2021,2de kwartaal 2021,370334
B Winning van delfstoffen,2021,3de kwartaal 2021,329467
B Winning van delfstoffen,2021,4de kwartaal 2021,485841
B Winning van delfstoffen,2022,1ste kwartaal 2022,307931
B Winning van delfstoffen,2022,2de kwartaal 2022,329688
B Winning van delfstoffen,2022,3de kwartaal 2022,255418
C Industrie,2019,1ste kwartaal 2019,70354095
C Industrie,2019,2de kwartaal 2019,72521722
C Industrie,2019,3de kwartaal 2019,67951680
C Industrie,2019,4de kwartaal 2019,69820358
C Industrie,2020,1ste kwartaal 2020,66125942
C Industrie,2020,2de kwartaal 2020,55719550
C Industrie,2020,3de kwartaal 2020,61211061
C Industrie,2020,4de kwartaal 2020,65846353
C Industrie,2021,1ste kwartaal 2021,69035862
C Industrie,2021,2de kwartaal 2021,75000997
C Industrie,2021,3de kwartaal 2021,73512390
C Industrie,2021,4de kwartaal 2021,81188677
C Industrie,2022,1ste kwartaal 2022,87638512
C Industrie,2022,2de kwartaal 2022,95678510
C Industrie,2022,3de kwartaal 2022,92959773
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2019,1ste kwartaal 2019,27536995
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2019,2de kwartaal 2019,21203768
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2019,3de kwartaal 2019,21206094
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2019,4de kwartaal 2019,22218718
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2020,1ste kwartaal 2020,20910617
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2020,2de kwartaal 2020,18671947
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2020,3de kwartaal 2020,17356985
