Jaar,Gewest,Aantal faillissementen
2000,Vlaams Gewest,3596
2000,Brussels Hoofdstedelijk Gewest,1162
2000,Waals Gewest,2047
2001,Vlaams Gewest,3694
2001,Brussels Hoofdstedelijk Gewest,1253
2001,Waals Gewest,2147
2002,Vlaams Gewest,4021
2002,Brussels Hoofdstedelijk Gewest,1211
2002,Waals Gewest,1990
2003,Vlaams Gewest,4168
2003,Brussels Hoofdstedelijk Gewest,1248
2003,Waals Gewest,2177
2004,Vlaams Gewest,4329
2004,Brussels Hoofdstedelijk Gewest,1291
2004,Waals Gewest,2315
2005,Vlaams Gewest,4154
2005,Brussels Hoofdstedelijk Gewest,1388
2005,Waals Gewest,2336
2006,Vlaams Gewest,3893
2006,Brussels Hoofdstedelijk Gewest,1501
2006,Waals Gewest,2222
2007,Vlaams Gewest,3994
2007,Brussels Hoofdstedelijk Gewest,1485
2007,Waals Gewest,2201
2008,Vlaams Gewest,4273
2008,Brussels Hoofdstedelijk Gewest,1813
2008,Waals Gewest,2390
2009,Vlaams Gewest,4983
2009,Brussels Hoofdstedelijk Gewest,1788
2009,Waals Gewest,2649
2010,Vlaams Gewest,4918
2010,Brussels Hoofdstedelijk Gewest,1915
2010,Waals Gewest,2737
2011,Vlaams Gewest,4908
2011,Brussels Hoofdstedelijk Gewest,2348
2011,Waals Gewest,2968
2012,Vlaams Gewest,5356
2012,Brussels Hoofdstedelijk Gewest,2263
2012,Waals Gewest,2968
2013,Vlaams Gewest,5742
2013,Brussels Hoofdstedelijk Gewest,2652
2013,Waals Gewest,3346
2014,Vlaams Gewest,5285
2014,Brussels Hoofdstedelijk Gewest,2203
2014,Waals Gewest,3248
2015,Vlaams Gewest,4769
2015,Brussels Hoofdstedelijk Gewest,2142
2015,Waals Gewest,2851
2016,Vlaams Gewest,4760
2016,Brussels Hoofdstedelijk Gewest,1954
2016,Waals Gewest,2456
2017,Vlaams Gewest,4688
2017,Brussels Hoofdstedelijk Gewest,2639
2017,Waals Gewest,2641
2018,Vlaams Gewest,4415
2018,Brussels Hoofdstedelijk Gewest,3033
2018,Waals Gewest,2430
