Karakteristieken,België,Gewest,Jaar,Gebouwtype,Aantal eenheden
Aantal gebouwen met bebouwde grondoppervlakte kleiner dan 45 m²,België,Vlaams Gewest,2022,Huizen in gesloten bebouwing,25414
Aantal gebouwen met bebouwde grondoppervlakte kleiner dan 45 m²,België,Vlaams Gewest,2022,Huizen in halfopen bebouwing,4295
Aantal gebouwen met bebouwde grondoppervlakte kleiner dan 45 m²,België,Vlaams Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",1642
Aantal gebouwen met bebouwde grondoppervlakte kleiner dan 45 m²,België,Brussels Hoofdstedelijk Gewest,2022,Huizen in gesloten bebouwing,5363
Aantal gebouwen met bebouwde grondoppervlakte kleiner dan 45 m²,België,Brussels Hoofdstedelijk Gewest,2022,Huizen in halfopen bebouwing,528
Aantal gebouwen met bebouwde grondoppervlakte kleiner dan 45 m²,België,Brussels Hoofdstedelijk Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",38
Aantal gebouwen met bebouwde grondoppervlakte kleiner dan 45 m²,België,Waals Gewest,2022,Huizen in gesloten bebouwing,30274
Aantal gebouwen met bebouwde grondoppervlakte kleiner dan 45 m²,België,Waals Gewest,2022,Huizen in halfopen bebouwing,10455
Aantal gebouwen met bebouwde grondoppervlakte kleiner dan 45 m²,België,Waals Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",1913
Aantal gebouwen met bebouwde grondoppervlakte kleiner dan 45 m²,België,,2022,Huizen in gesloten bebouwing,61051
Aantal gebouwen met bebouwde grondoppervlakte kleiner dan 45 m²,België,,2022,Huizen in halfopen bebouwing,15278
Aantal gebouwen met bebouwde grondoppervlakte kleiner dan 45 m²,België,,2022,"Huizen in open bebouwing, hoeven en kastelen",3593
Aantal gebouwen met bebouwde grondoppervlakte van 45 m² tot 64 m²,België,Vlaams Gewest,2022,Huizen in gesloten bebouwing,120173
Aantal gebouwen met bebouwde grondoppervlakte van 45 m² tot 64 m²,België,Vlaams Gewest,2022,Huizen in halfopen bebouwing,21738
Aantal gebouwen met bebouwde grondoppervlakte van 45 m² tot 64 m²,België,Vlaams Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",3157
Aantal gebouwen met bebouwde grondoppervlakte van 45 m² tot 64 m²,België,Brussels Hoofdstedelijk Gewest,2022,Huizen in gesloten bebouwing,29649
Aantal gebouwen met bebouwde grondoppervlakte van 45 m² tot 64 m²,België,Brussels Hoofdstedelijk Gewest,2022,Huizen in halfopen bebouwing,4119
Aantal gebouwen met bebouwde grondoppervlakte van 45 m² tot 64 m²,België,Brussels Hoofdstedelijk Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",87
Aantal gebouwen met bebouwde grondoppervlakte van 45 m² tot 64 m²,België,Waals Gewest,2022,Huizen in gesloten bebouwing,102050
Aantal gebouwen met bebouwde grondoppervlakte van 45 m² tot 64 m²,België,Waals Gewest,2022,Huizen in halfopen bebouwing,48885
Aantal gebouwen met bebouwde grondoppervlakte van 45 m² tot 64 m²,België,Waals Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",6292
Aantal gebouwen met bebouwde grondoppervlakte van 45 m² tot 64 m²,België,,2022,Huizen in gesloten bebouwing,251872
Aantal gebouwen met bebouwde grondoppervlakte van 45 m² tot 64 m²,België,,2022,Huizen in halfopen bebouwing,74742
Aantal gebouwen met bebouwde grondoppervlakte van 45 m² tot 64 m²,België,,2022,"Huizen in open bebouwing, hoeven en kastelen",9536
Aantal gebouwen met bebouwde grondoppervlakte van 65 m² tot 104 m²,België,Vlaams Gewest,2022,Huizen in gesloten bebouwing,342859
Aantal gebouwen met bebouwde grondoppervlakte van 65 m² tot 104 m²,België,Vlaams Gewest,2022,Huizen in halfopen bebouwing,220779
Aantal gebouwen met bebouwde grondoppervlakte van 65 m² tot 104 m²,België,Vlaams Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",65359
Aantal gebouwen met bebouwde grondoppervlakte van 65 m² tot 104 m²,België,Brussels Hoofdstedelijk Gewest,2022,Huizen in gesloten bebouwing,54082
