België,Gewest,Provincie,Arrondissement,Bevolkingsdichtheid
België,Vlaams Gewest,Provincie Antwerpen,,618.43
België,Vlaams Gewest,Provincie Vlaams-Brabant,,516.91
België,Vlaams Gewest,Provincie West-Vlaanderen,,371.46
België,Vlaams Gewest,Provincie Oost-Vlaanderen,,485.85
België,Vlaams Gewest,Provincie Limburg,,349.63
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,7044.01
België,Waals Gewest,Provincie Waals-Brabant,,351.79
België,Waals Gewest,Provincie Henegouwen,,348.61
België,Waals Gewest,Provincie Luik,,280.18
België,Waals Gewest,Provincie Luxemburg,,61.54
België,Waals Gewest,Provincie Namen,,130.77
België,,,,360.35
