totaal,Land van staatsburgerschap niveau 1,Totaal,Leeftijdsgroep,Bevolking
totaal,Belgen,Totaal,Jonger dan 15 jaar,1698720
totaal,Belgen,Totaal,15 t/m 29 jaar,1780163
totaal,Belgen,Totaal,30 t/m 49 jaar,2639531
totaal,Belgen,Totaal,50 t/m 64 jaar,1948112
totaal,Belgen,Totaal,65 t/m 84 jaar,1528613
totaal,Belgen,Totaal,85 jaar of ouder,236871
totaal,Belgen,Totaal,,9832010
totaal,Buitenlanders,Totaal,Jonger dan 15 jaar,163898
totaal,Buitenlanders,Totaal,15 t/m 29 jaar,248856
totaal,Buitenlanders,Totaal,30 t/m 49 jaar,437295
totaal,Buitenlanders,Totaal,50 t/m 64 jaar,184870
totaal,Buitenlanders,Totaal,65 t/m 84 jaar,105748
totaal,Buitenlanders,Totaal,85 jaar of ouder,11294
totaal,Buitenlanders,Totaal,,1151961
totaal,Staatloos,Totaal,Jonger dan 15 jaar,66
totaal,Staatloos,Totaal,15 t/m 29 jaar,163
totaal,Staatloos,Totaal,30 t/m 49 jaar,309
totaal,Staatloos,Totaal,50 t/m 64 jaar,161
totaal,Staatloos,Totaal,65 t/m 84 jaar,38
totaal,Staatloos,Totaal,85 jaar of ouder,7
totaal,Staatloos,Totaal,,744
totaal,Niet aangegeven,Totaal,Jonger dan 15 jaar,4613
totaal,Niet aangegeven,Totaal,15 t/m 29 jaar,4302
totaal,Niet aangegeven,Totaal,30 t/m 49 jaar,5067
totaal,Niet aangegeven,Totaal,50 t/m 64 jaar,1332
totaal,Niet aangegeven,Totaal,65 t/m 84 jaar,556
totaal,Niet aangegeven,Totaal,85 jaar of ouder,53
totaal,Niet aangegeven,Totaal,,15923
totaal,,Totaal,Jonger dan 15 jaar,1867297
totaal,,Totaal,15 t/m 29 jaar,2033484
totaal,,Totaal,30 t/m 49 jaar,3082202
totaal,,Totaal,50 t/m 64 jaar,2134475
totaal,,Totaal,65 t/m 84 jaar,1634955
totaal,,Totaal,85 jaar of ouder,248225
totaal,,Totaal,,11000638
