Afdeling,Grootteklasse tewerkstelling,Referentiejaar,Omzet,Toegevoegde waarde,Aantal werkzame personen,Omzet per werkzame persoon
45 Groot- en detailhandel in en reparatie van auto’s en motorfietsen,Tussen 0 en 1,2020,7743967,917145,16645,465
45 Groot- en detailhandel in en reparatie van auto’s en motorfietsen,Tussen 2 en 9,2020,7077966,1010692,17186,412
45 Groot- en detailhandel in en reparatie van auto’s en motorfietsen,Tussen 10 en 19,2020,4116925,484819,7504,549
45 Groot- en detailhandel in en reparatie van auto’s en motorfietsen,Tussen 20 en 49,2020,7635693,908792,9442,809
45 Groot- en detailhandel in en reparatie van auto’s en motorfietsen,Tussen 50 en 249,2020,15544008,1508415,14357,1083
45 Groot- en detailhandel in en reparatie van auto’s en motorfietsen,250 of meer,2020,48623165,2286823,17407,2793
"46 Groothandel, met uitzondering van de handel in auto’s en motorfietsen",Tussen 0 en 1,2020,42698012,3991188,33468,1276
"46 Groothandel, met uitzondering van de handel in auto’s en motorfietsen",Tussen 2 en 9,2020,42475182,4341440,38454,1105
"46 Groothandel, met uitzondering van de handel in auto’s en motorfietsen",Tussen 10 en 19,2020,35040626,2863311,26575,1319
"46 Groothandel, met uitzondering van de handel in auto’s en motorfietsen",Tussen 20 en 49,2020,50815129,5568744,47149,1078
"46 Groothandel, met uitzondering van de handel in auto’s en motorfietsen",Tussen 50 en 249,2020,51023252,6560120,50536,1010
"46 Groothandel, met uitzondering van de handel in auto’s en motorfietsen",250 of meer,2020,68773358,4941456,40467,1699
"47 Detailhandel, met uitzondering van de handel in auto’s en motorfietsen",Tussen 0 en 1,2020,11835746,3144599,52620,225
"47 Detailhandel, met uitzondering van de handel in auto’s en motorfietsen",Tussen 2 en 9,2020,18726743,3008404,65189,287
"47 Detailhandel, met uitzondering van de handel in auto’s en motorfietsen",Tussen 10 en 19,2020,7783637,1215377,25880,301
"47 Detailhandel, met uitzondering van de handel in auto’s en motorfietsen",Tussen 20 en 49,2020,8565464,1342667,24733,346
"47 Detailhandel, met uitzondering van de handel in auto’s en motorfietsen",Tussen 50 en 249,2020,6086608,1169610,21956,277
"47 Detailhandel, met uitzondering van de handel in auto’s en motorfietsen",250 of meer,2020,38118089,8004921,137376,277
