Alle producten,Product groep,Product niveau 1,Alle indicatoren,Indicator groep,Indicator niveau 1,Indicator niveau 2,Gigawattuur
Alle producten,Kernenergie,Kernenergie,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Elektriciteitscentrale,50326.2
Alle producten,Kernenergie,Kernenergie,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Warmtekrachtcentrale,
Alle producten,Kernenergie,Kernenergie,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Elektriciteitscentrale,
Alle producten,Kernenergie,Kernenergie,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Warmtekrachtcentrale,
Alle producten,Kernenergie,Kernenergie,Alle indicatoren,,,,50326.2
Alle producten,Vaste fossiele brandstoffen,Andere bitumineuze kool,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Elektriciteitscentrale,
Alle producten,Vaste fossiele brandstoffen,Andere bitumineuze kool,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Warmtekrachtcentrale,
Alle producten,Vaste fossiele brandstoffen,Andere bitumineuze kool,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Elektriciteitscentrale,
Alle producten,Vaste fossiele brandstoffen,Andere bitumineuze kool,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Warmtekrachtcentrale,44.0
Alle producten,Vaste fossiele brandstoffen,Andere bitumineuze kool,Alle indicatoren,,,,44.0
Alle producten,Siderurgische gassen,Cokesovengas,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Elektriciteitscentrale,6.6
Alle producten,Siderurgische gassen,Cokesovengas,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Warmtekrachtcentrale,
Alle producten,Siderurgische gassen,Cokesovengas,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Elektriciteitscentrale,
Alle producten,Siderurgische gassen,Cokesovengas,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Warmtekrachtcentrale,
Alle producten,Siderurgische gassen,Cokesovengas,Alle indicatoren,,,,6.6
Alle producten,Siderurgische gassen,Hoogovengas,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Elektriciteitscentrale,1893.9
Alle producten,Siderurgische gassen,Hoogovengas,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Warmtekrachtcentrale,
Alle producten,Siderurgische gassen,Hoogovengas,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Elektriciteitscentrale,
Alle producten,Siderurgische gassen,Hoogovengas,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Warmtekrachtcentrale,
Alle producten,Siderurgische gassen,Hoogovengas,Alle indicatoren,,,,1893.9
Alle producten,Siderurgische gassen,Andere teruggewonnen gassen,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Elektriciteitscentrale,83.6
Alle producten,Siderurgische gassen,Andere teruggewonnen gassen,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Warmtekrachtcentrale,
Alle producten,Siderurgische gassen,Andere teruggewonnen gassen,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Elektriciteitscentrale,
Alle producten,Siderurgische gassen,Andere teruggewonnen gassen,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Warmtekrachtcentrale,
Alle producten,Siderurgische gassen,Andere teruggewonnen gassen,Alle indicatoren,,,,83.6
Alle producten,Aardolie en aardolieproducten,Raffinaderijgas,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Elektriciteitscentrale,
Alle producten,Aardolie en aardolieproducten,Raffinaderijgas,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Warmtekrachtcentrale,
Alle producten,Aardolie en aardolieproducten,Raffinaderijgas,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Elektriciteitscentrale,
Alle producten,Aardolie en aardolieproducten,Raffinaderijgas,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Warmtekrachtcentrale,152.3
Alle producten,Aardolie en aardolieproducten,Raffinaderijgas,Alle indicatoren,,,,152.3
Alle producten,Aardolie en aardolieproducten,LPG,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Elektriciteitscentrale,
Alle producten,Aardolie en aardolieproducten,LPG,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Warmtekrachtcentrale,
Alle producten,Aardolie en aardolieproducten,LPG,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Elektriciteitscentrale,
Alle producten,Aardolie en aardolieproducten,LPG,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Warmtekrachtcentrale,4.3
Alle producten,Aardolie en aardolieproducten,LPG,Alle indicatoren,,,,4.3
Alle producten,Aardolie en aardolieproducten,Lamppetroleum,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Elektriciteitscentrale,3.8
Alle producten,Aardolie en aardolieproducten,Lamppetroleum,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Warmtekrachtcentrale,
