Alle grootteklassen,Grootteklasse werknemers,Jaar,Maand,Aantal faillissementen
Alle grootteklassen,0 - 4 werknemers,2021,December 2021,629.0
Alle grootteklassen,0 - 4 werknemers,2022,Januari 2022,575.0
Alle grootteklassen,0 - 4 werknemers,2022,Februari 2022,674.0
Alle grootteklassen,0 - 4 werknemers,2022,Maart 2022,849.0
Alle grootteklassen,0 - 4 werknemers,2022,April 2022,559.0
Alle grootteklassen,0 - 4 werknemers,2022,Mei 2022,885.0
Alle grootteklassen,0 - 4 werknemers,2022,Juni 2022,1000.0
Alle grootteklassen,0 - 4 werknemers,2022,Juli 2022,483.0
Alle grootteklassen,0 - 4 werknemers,2022,Augustus 2022,288.0
Alle grootteklassen,0 - 4 werknemers,2022,September 2022,881.0
Alle grootteklassen,0 - 4 werknemers,2022,Oktober 2022,824.0
Alle grootteklassen,0 - 4 werknemers,2022,November 2022,712.0
Alle grootteklassen,0 - 4 werknemers,2022,December 2022,720.0
Alle grootteklassen,5 - 9 werknemers,2021,December 2021,51.0
Alle grootteklassen,5 - 9 werknemers,2022,Januari 2022,51.0
Alle grootteklassen,5 - 9 werknemers,2022,Februari 2022,37.0
Alle grootteklassen,5 - 9 werknemers,2022,Maart 2022,41.0
Alle grootteklassen,5 - 9 werknemers,2022,April 2022,38.0
Alle grootteklassen,5 - 9 werknemers,2022,Mei 2022,40.0
Alle grootteklassen,5 - 9 werknemers,2022,Juni 2022,55.0
Alle grootteklassen,5 - 9 werknemers,2022,Juli 2022,33.0
Alle grootteklassen,5 - 9 werknemers,2022,Augustus 2022,24.0
Alle grootteklassen,5 - 9 werknemers,2022,September 2022,54.0
Alle grootteklassen,5 - 9 werknemers,2022,Oktober 2022,64.0
Alle grootteklassen,5 - 9 werknemers,2022,November 2022,42.0
Alle grootteklassen,5 - 9 werknemers,2022,December 2022,51.0
Alle grootteklassen,10 - 19 werknemers,2021,December 2021,18.0
Alle grootteklassen,10 - 19 werknemers,2022,Januari 2022,16.0
Alle grootteklassen,10 - 19 werknemers,2022,Februari 2022,14.0
Alle grootteklassen,10 - 19 werknemers,2022,Maart 2022,18.0
Alle grootteklassen,10 - 19 werknemers,2022,April 2022,15.0
Alle grootteklassen,10 - 19 werknemers,2022,Mei 2022,12.0
Alle grootteklassen,10 - 19 werknemers,2022,Juni 2022,23.0
Alle grootteklassen,10 - 19 werknemers,2022,Juli 2022,8.0
Alle grootteklassen,10 - 19 werknemers,2022,Augustus 2022,7.0
Alle grootteklassen,10 - 19 werknemers,2022,September 2022,21.0
Alle grootteklassen,10 - 19 werknemers,2022,Oktober 2022,24.0
Alle grootteklassen,10 - 19 werknemers,2022,November 2022,11.0
Alle grootteklassen,10 - 19 werknemers,2022,December 2022,19.0
Alle grootteklassen,20-49 werknemers,2021,December 2021,7.0
Alle grootteklassen,20-49 werknemers,2022,Januari 2022,2.0
Alle grootteklassen,20-49 werknemers,2022,Februari 2022,11.0
Alle grootteklassen,20-49 werknemers,2022,Maart 2022,11.0
Alle grootteklassen,20-49 werknemers,2022,April 2022,7.0
Alle grootteklassen,20-49 werknemers,2022,Mei 2022,6.0
Alle grootteklassen,20-49 werknemers,2022,Juni 2022,2.0
Alle grootteklassen,20-49 werknemers,2022,Juli 2022,3.0
Alle grootteklassen,20-49 werknemers,2022,Augustus 2022,5.0
Alle grootteklassen,20-49 werknemers,2022,September 2022,9.0
Alle grootteklassen,20-49 werknemers,2022,Oktober 2022,6.0
Alle grootteklassen,20-49 werknemers,2022,November 2022,7.0
Alle grootteklassen,20-49 werknemers,2022,December 2022,9.0
Alle grootteklassen,50 - 99 werknemers,2021,December 2021,
Alle grootteklassen,50 - 99 werknemers,2022,Januari 2022,3.0
Alle grootteklassen,50 - 99 werknemers,2022,Februari 2022,
Alle grootteklassen,50 - 99 werknemers,2022,Maart 2022,3.0
Alle grootteklassen,50 - 99 werknemers,2022,April 2022,1.0
Alle grootteklassen,50 - 99 werknemers,2022,Mei 2022,
Alle grootteklassen,50 - 99 werknemers,2022,Juni 2022,2.0
Alle grootteklassen,50 - 99 werknemers,2022,Juli 2022,1.0
Alle grootteklassen,50 - 99 werknemers,2022,Augustus 2022,1.0
Alle grootteklassen,50 - 99 werknemers,2022,September 2022,3.0
Alle grootteklassen,50 - 99 werknemers,2022,Oktober 2022,1.0
Alle grootteklassen,50 - 99 werknemers,2022,November 2022,1.0
Alle grootteklassen,50 - 99 werknemers,2022,December 2022,1.0
Alle grootteklassen,100 - 199 werknemers,2021,December 2021,
Alle grootteklassen,100 - 199 werknemers,2022,Januari 2022,
Alle grootteklassen,100 - 199 werknemers,2022,Februari 2022,
Alle grootteklassen,100 - 199 werknemers,2022,Maart 2022,
Alle grootteklassen,100 - 199 werknemers,2022,April 2022,
Alle grootteklassen,100 - 199 werknemers,2022,Mei 2022,
Alle grootteklassen,100 - 199 werknemers,2022,Juni 2022,
Alle grootteklassen,100 - 199 werknemers,2022,Juli 2022,
Alle grootteklassen,100 - 199 werknemers,2022,Augustus 2022,
Alle grootteklassen,100 - 199 werknemers,2022,September 2022,
Alle grootteklassen,100 - 199 werknemers,2022,Oktober 2022,1.0
Alle grootteklassen,100 - 199 werknemers,2022,November 2022,1.0
Alle grootteklassen,100 - 199 werknemers,2022,December 2022,
Alle grootteklassen,200 - 249 werknemers,2021,December 2021,1.0
Alle grootteklassen,200 - 249 werknemers,2022,Januari 2022,
Alle grootteklassen,200 - 249 werknemers,2022,Februari 2022,
Alle grootteklassen,200 - 249 werknemers,2022,Maart 2022,
Alle grootteklassen,200 - 249 werknemers,2022,April 2022,
Alle grootteklassen,200 - 249 werknemers,2022,Mei 2022,
Alle grootteklassen,200 - 249 werknemers,2022,Juni 2022,
