België,Gewest,Provincie,totaal,Burgerlijke staat niveau 1,Bevolking
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Nooit gehuwd en nooit in een geregistreerd partnerschap,552167
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Gehuwd,381403
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Weduwnaar/weduwe (en niet opnieuw gehuwd of in een geregistreerd partnerschap),58122
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Gescheiden (en niet opnieuw gehuwd of in een geregistreerd partnerschap),91920
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,In een geregistreerd partnerschap,19498
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Geregistreerd partnerschap beëindigd door overlijden van partner (en niet gehuwd of in een nieuw geregistreerd partnerschap),270
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Geregistreerd partnerschap wettelijk ontbonden (en niet gehuwd of in een nieuw geregistreerd partnerschap),2231
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Niet aangegeven,31167
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,,1136778
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Nooit gehuwd en nooit in een geregistreerd partnerschap,720098
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Gehuwd,743288
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Weduwnaar/weduwe (en niet opnieuw gehuwd of in een geregistreerd partnerschap),106774
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Gescheiden (en niet opnieuw gehuwd of in een geregistreerd partnerschap),131320
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,In een geregistreerd partnerschap,44816
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Geregistreerd partnerschap beëindigd door overlijden van partner (en niet gehuwd of in een nieuw geregistreerd partnerschap),219
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Geregistreerd partnerschap wettelijk ontbonden (en niet gehuwd of in een nieuw geregistreerd partnerschap),4421
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Niet aangegeven,22331
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,,1773267
België,Vlaams Gewest  ,Provincie Limburg,totaal,Nooit gehuwd en nooit in een geregistreerd partnerschap,327549
België,Vlaams Gewest  ,Provincie Limburg,totaal,Gehuwd,390851
België,Vlaams Gewest  ,Provincie Limburg,totaal,Weduwnaar/weduwe (en niet opnieuw gehuwd of in een geregistreerd partnerschap),48779
België,Vlaams Gewest  ,Provincie Limburg,totaal,Gescheiden (en niet opnieuw gehuwd of in een geregistreerd partnerschap),55159
België,Vlaams Gewest  ,Provincie Limburg,totaal,In een geregistreerd partnerschap,17696
België,Vlaams Gewest  ,Provincie Limburg,totaal,Geregistreerd partnerschap beëindigd door overlijden van partner (en niet gehuwd of in een nieuw geregistreerd partnerschap),85
België,Vlaams Gewest  ,Provincie Limburg,totaal,Geregistreerd partnerschap wettelijk ontbonden (en niet gehuwd of in een nieuw geregistreerd partnerschap),1831
België,Vlaams Gewest  ,Provincie Limburg,totaal,Niet aangegeven,4901
België,Vlaams Gewest  ,Provincie Limburg,totaal,,846851
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Nooit gehuwd en nooit in een geregistreerd partnerschap,584407
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Gehuwd,614725
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Weduwnaar/weduwe (en niet opnieuw gehuwd of in een geregistreerd partnerschap),93649
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Gescheiden (en niet opnieuw gehuwd of in een geregistreerd partnerschap),108643
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,In een geregistreerd partnerschap,37054
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Geregistreerd partnerschap beëindigd door overlijden van partner (en niet gehuwd of in een nieuw geregistreerd partnerschap),194
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Geregistreerd partnerschap wettelijk ontbonden (en niet gehuwd of in een nieuw geregistreerd partnerschap),4241
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Niet aangegeven,6015
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,,1448928
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Nooit gehuwd en nooit in een geregistreerd partnerschap,444998
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Gehuwd,462956
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Weduwnaar/weduwe (en niet opnieuw gehuwd of in een geregistreerd partnerschap),65758
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Gescheiden (en niet opnieuw gehuwd of in een geregistreerd partnerschap),74678
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,In een geregistreerd partnerschap,25452
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Geregistreerd partnerschap beëindigd door overlijden van partner (en niet gehuwd of in een nieuw geregistreerd partnerschap),157
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Geregistreerd partnerschap wettelijk ontbonden (en niet gehuwd of in een nieuw geregistreerd partnerschap),2140
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Niet aangegeven,12553
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,,1088692
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Nooit gehuwd en nooit in een geregistreerd partnerschap,433140
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Gehuwd,525610
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Weduwnaar/weduwe (en niet opnieuw gehuwd of in een geregistreerd partnerschap),81543
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Gescheiden (en niet opnieuw gehuwd of in een geregistreerd partnerschap),88424
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,In een geregistreerd partnerschap,27942
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Geregistreerd partnerschap beëindigd door overlijden van partner (en niet gehuwd of in een nieuw geregistreerd partnerschap),263
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Geregistreerd partnerschap wettelijk ontbonden (en niet gehuwd of in een nieuw geregistreerd partnerschap),4799
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Niet aangegeven,6281
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,,1168002
België,Waals Gewest,Provincie Waals-Brabant,totaal,Nooit gehuwd en nooit in een geregistreerd partnerschap,168272
België,Waals Gewest,Provincie Waals-Brabant,totaal,Gehuwd,147810
België,Waals Gewest,Provincie Waals-Brabant,totaal,Weduwnaar/weduwe (en niet opnieuw gehuwd of in een geregistreerd partnerschap),22452
België,Waals Gewest,Provincie Waals-Brabant,totaal,Gescheiden (en niet opnieuw gehuwd of in een geregistreerd partnerschap),30411
België,Waals Gewest,Provincie Waals-Brabant,totaal,In een geregistreerd partnerschap,11032
België,Waals Gewest,Provincie Waals-Brabant,totaal,Geregistreerd partnerschap beëindigd door overlijden van partner (en niet gehuwd of in een nieuw geregistreerd partnerschap),100
België,Waals Gewest,Provincie Waals-Brabant,totaal,Geregistreerd partnerschap wettelijk ontbonden (en niet gehuwd of in een nieuw geregistreerd partnerschap),1019
België,Waals Gewest,Provincie Waals-Brabant,totaal,Niet aangegeven,2552
België,Waals Gewest,Provincie Waals-Brabant,totaal,,383648
België,Waals Gewest,Provincie Henegouwen,totaal,Nooit gehuwd en nooit in een geregistreerd partnerschap,579780
België,Waals Gewest,Provincie Henegouwen,totaal,Gehuwd,479717
België,Waals Gewest,Provincie Henegouwen,totaal,Weduwnaar/weduwe (en niet opnieuw gehuwd of in een geregistreerd partnerschap),100029
België,Waals Gewest,Provincie Henegouwen,totaal,Gescheiden (en niet opnieuw gehuwd of in een geregistreerd partnerschap),118753
België,Waals Gewest,Provincie Henegouwen,totaal,In een geregistreerd partnerschap,32422
België,Waals Gewest,Provincie Henegouwen,totaal,Geregistreerd partnerschap beëindigd door overlijden van partner (en niet gehuwd of in een nieuw geregistreerd partnerschap),343
België,Waals Gewest,Provincie Henegouwen,totaal,Geregistreerd partnerschap wettelijk ontbonden (en niet gehuwd of in een nieuw geregistreerd partnerschap),3646
België,Waals Gewest,Provincie Henegouwen,totaal,Niet aangegeven,5055
België,Waals Gewest,Provincie Henegouwen,totaal,,1319745
België,Waals Gewest,Provincie Luik,totaal,Nooit gehuwd en nooit in een geregistreerd partnerschap,465479
België,Waals Gewest,Provincie Luik,totaal,Gehuwd,397779
België,Waals Gewest,Provincie Luik,totaal,Weduwnaar/weduwe (en niet opnieuw gehuwd of in een geregistreerd partnerschap),74000
België,Waals Gewest,Provincie Luik,totaal,Gescheiden (en niet opnieuw gehuwd of in een geregistreerd partnerschap),98922
België,Waals Gewest,Provincie Luik,totaal,In een geregistreerd partnerschap,28258
België,Waals Gewest,Provincie Luik,totaal,Geregistreerd partnerschap beëindigd door overlijden van partner (en niet gehuwd of in een nieuw geregistreerd partnerschap),263
België,Waals Gewest,Provincie Luik,totaal,Geregistreerd partnerschap wettelijk ontbonden (en niet gehuwd of in een nieuw geregistreerd partnerschap),3260
België,Waals Gewest,Provincie Luik,totaal,Niet aangegeven,14175
België,Waals Gewest,Provincie Luik,totaal,,1082136
