België,Gewest,Provincie,Arrondissement,Gemiddelde grootte van particuliere huishoudens
België,Vlaams Gewest,Provincie Antwerpen,,2.32
België,Vlaams Gewest,Provincie Vlaams-Brabant,,2.4
België,Vlaams Gewest,Provincie West-Vlaanderen,,2.3
België,Vlaams Gewest,Provincie Oost-Vlaanderen,,2.32
België,Vlaams Gewest,Provincie Limburg,,2.47
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,2.07
België,Waals Gewest,Provincie Waals-Brabant,,2.46
België,Waals Gewest,Provincie Henegouwen,,2.27
België,Waals Gewest,Provincie Luik,,2.22
België,Waals Gewest,Provincie Luxemburg,,2.4
België,Waals Gewest,Provincie Namen,,2.33
België,,,,2.3
