Sectie,Grootteklasse tewerkstelling,Referentiejaar,Omzet,Productiewaarde,Aankopen goederen en diensten,Arbeidsproductiviteit,Omzet per werkzame persoon,Gemiddelde personeelskosten
B Winning van delfstoffen,Tussen 0 en 9,2020,116635.0,112544.0,85626.0,100.0,430.0,55.0
B Winning van delfstoffen,Tussen 10 en 19,2020,,,,,,
B Winning van delfstoffen,Tussen 20 en 49,2020,143741.0,122828.0,92931.0,88.0,259.0,48.0
B Winning van delfstoffen,Tussen 50 en 249,2020,229483.0,213952.0,147254.0,110.0,328.0,66.0
B Winning van delfstoffen,250 of meer,2020,,,,,,
C Industrie,Tussen 0 en 9,2020,11370926.0,10851052.0,8416982.0,47.0,180.0,34.0
C Industrie,Tussen 10 en 19,2020,6189559.0,5924679.0,4420491.0,64.0,220.0,38.0
C Industrie,Tussen 20 en 49,2020,16081045.0,15304536.0,11587659.0,85.0,297.0,48.0
C Industrie,Tussen 50 en 249,2020,42066897.0,38256868.0,30494592.0,94.0,350.0,60.0
C Industrie,250 of meer,2020,169708580.0,154191267.0,134189525.0,165.0,692.0,80.0
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",Tussen 0 en 9,2020,4942869.0,4998209.0,3306208.0,1621.0,4712.0,67.0
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",Tussen 10 en 19,2020,416268.0,416257.0,144964.0,3936.0,6033.0,78.0
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",Tussen 20 en 49,2020,696669.0,633882.0,315011.0,518.0,933.0,90.0
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",Tussen 50 en 249,2020,4258528.0,3513047.0,3618874.0,482.0,3353.0,99.0
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",250 of meer,2020,18142584.0,10255425.0,14633084.0,200.0,988.0,106.0
E Distributie van water/ afval- en afvalwaterbeheer en sanering,Tussen 0 en 9,2020,962342.0,949838.0,751838.0,81.0,419.0,42.0
E Distributie van water/ afval- en afvalwaterbeheer en sanering,Tussen 10 en 19,2020,,,,,,
E Distributie van water/ afval- en afvalwaterbeheer en sanering,Tussen 20 en 49,2020,1063082.0,1050937.0,719863.0,110.0,343.0,54.0
E Distributie van water/ afval- en afvalwaterbeheer en sanering,Tussen 50 en 249,2020,2018279.0,1707740.0,1406597.0,148.0,456.0,64.0
E Distributie van water/ afval- en afvalwaterbeheer en sanering,250 of meer,2020,,,,,,
F Bouwnijverheid,Tussen 0 en 9,2020,35820866.0,34941349.0,27866713.0,44.0,189.0,42.0
F Bouwnijverheid,Tussen 10 en 19,2020,6717572.0,6632122.0,4896231.0,61.0,209.0,46.0
F Bouwnijverheid,Tussen 20 en 49,2020,9550962.0,9062834.0,6528678.0,76.0,257.0,48.0
F Bouwnijverheid,Tussen 50 en 249,2020,9808697.0,9675292.0,6910593.0,75.0,229.0,54.0
F Bouwnijverheid,250 of meer,2020,13506469.0,12906964.0,9714053.0,81.0,300.0,66.0
