België,Gewest,Provincie,Arrondissement,Bevolking jonger dan 15 jaar
België,Vlaams Gewest,Provincie Antwerpen,,0.166
België,Vlaams Gewest,Provincie Vlaams-Brabant,,0.169
België,Vlaams Gewest,Provincie West-Vlaanderen,,0.152
België,Vlaams Gewest,Provincie Oost-Vlaanderen,,0.163
België,Vlaams Gewest,Provincie Limburg,,0.156
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,0.191
België,Waals Gewest,Provincie Waals-Brabant,,0.181
België,Waals Gewest,Provincie Henegouwen,,0.177
België,Waals Gewest,Provincie Luik,,0.172
België,Waals Gewest,Provincie Luxemburg,,0.192
België,Waals Gewest,Provincie Namen,,0.178
België,,,,0.17
