België,Gewest,Provincie,totaal,Type familiekern niveau 1,Familiekernen
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Familiekern met echtpaar,166108
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Familiekern met partners in een geregistreerd partnerschap,9748
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Familiekern met samenwonende partners,27261
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Familiekern met alleenstaande vader,10064
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Familiekern met alleenstaande moeder,55345
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,,268526
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Familiekern met echtpaar,356725
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Familiekern met partners in een geregistreerd partnerschap,22404
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Familiekern met samenwonende partners,53946
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Familiekern met alleenstaande vader,15045
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Familiekern met alleenstaande moeder,54425
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,,502545
België,Vlaams Gewest  ,Provincie Limburg,totaal,Familiekern met echtpaar,189579
België,Vlaams Gewest  ,Provincie Limburg,totaal,Familiekern met partners in een geregistreerd partnerschap,8848
België,Vlaams Gewest  ,Provincie Limburg,totaal,Familiekern met samenwonende partners,25452
België,Vlaams Gewest  ,Provincie Limburg,totaal,Familiekern met alleenstaande vader,6386
België,Vlaams Gewest  ,Provincie Limburg,totaal,Familiekern met alleenstaande moeder,24229
België,Vlaams Gewest  ,Provincie Limburg,totaal,,254494
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Familiekern met echtpaar,297447
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Familiekern met partners in een geregistreerd partnerschap,18527
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Familiekern met samenwonende partners,55208
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Familiekern met alleenstaande vader,10704
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Familiekern met alleenstaande moeder,42909
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,,424795
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Familiekern met echtpaar,223472
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Familiekern met partners in een geregistreerd partnerschap,12726
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Familiekern met samenwonende partners,38672
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Familiekern met alleenstaande vader,7958
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Familiekern met alleenstaande moeder,33864
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,,316692
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Familiekern met echtpaar,255377
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Familiekern met partners in een geregistreerd partnerschap,13969
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Familiekern met samenwonende partners,36848
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Familiekern met alleenstaande vader,7985
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Familiekern met alleenstaande moeder,30942
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,,345121
België,Waals Gewest,Provincie Waals-Brabant,totaal,Familiekern met echtpaar,70410
België,Waals Gewest,Provincie Waals-Brabant,totaal,Familiekern met partners in een geregistreerd partnerschap,5516
België,Waals Gewest,Provincie Waals-Brabant,totaal,Familiekern met samenwonende partners,14543
België,Waals Gewest,Provincie Waals-Brabant,totaal,Familiekern met alleenstaande vader,3404
België,Waals Gewest,Provincie Waals-Brabant,totaal,Familiekern met alleenstaande moeder,15070
België,Waals Gewest,Provincie Waals-Brabant,totaal,,108943
België,Waals Gewest,Provincie Henegouwen,totaal,Familiekern met echtpaar,222835
België,Waals Gewest,Provincie Henegouwen,totaal,Familiekern met partners in een geregistreerd partnerschap,16209
België,Waals Gewest,Provincie Henegouwen,totaal,Familiekern met samenwonende partners,49724
België,Waals Gewest,Provincie Henegouwen,totaal,Familiekern met alleenstaande vader,12979
België,Waals Gewest,Provincie Henegouwen,totaal,Familiekern met alleenstaande moeder,69041
België,Waals Gewest,Provincie Henegouwen,totaal,,370788
België,Waals Gewest,Provincie Luik,totaal,Familiekern met echtpaar,185455
België,Waals Gewest,Provincie Luik,totaal,Familiekern met partners in een geregistreerd partnerschap,14126
België,Waals Gewest,Provincie Luik,totaal,Familiekern met samenwonende partners,36568
België,Waals Gewest,Provincie Luik,totaal,Familiekern met alleenstaande vader,9960
België,Waals Gewest,Provincie Luik,totaal,Familiekern met alleenstaande moeder,50293
België,Waals Gewest,Provincie Luik,totaal,,296402
België,Waals Gewest,Provincie Luxemburg,totaal,Familiekern met echtpaar,51161
België,Waals Gewest,Provincie Luxemburg,totaal,Familiekern met partners in een geregistreerd partnerschap,4312
België,Waals Gewest,Provincie Luxemburg,totaal,Familiekern met samenwonende partners,8289
België,Waals Gewest,Provincie Luxemburg,totaal,Familiekern met alleenstaande vader,2378
België,Waals Gewest,Provincie Luxemburg,totaal,Familiekern met alleenstaande moeder,9433
België,Waals Gewest,Provincie Luxemburg,totaal,,75573
België,Waals Gewest,Provincie Namen,totaal,Familiekern met echtpaar,82710
België,Waals Gewest,Provincie Namen,totaal,Familiekern met partners in een geregistreerd partnerschap,7819
België,Waals Gewest,Provincie Namen,totaal,Familiekern met samenwonende partners,18395
België,Waals Gewest,Provincie Namen,totaal,Familiekern met alleenstaande vader,4503
België,Waals Gewest,Provincie Namen,totaal,Familiekern met alleenstaande moeder,20336
België,Waals Gewest,Provincie Namen,totaal,,133763
België,,,totaal,Familiekern met echtpaar,2101279
België,,,totaal,Familiekern met partners in een geregistreerd partnerschap,134204
België,,,totaal,Familiekern met samenwonende partners,364906
België,,,totaal,Familiekern met alleenstaande vader,91366
België,,,totaal,Familiekern met alleenstaande moeder,405887
België,,,totaal,,3097642
