België,Gewest,Jaar,Maand,Primo-onderwerpingen
België,Waals Gewest,2020,februari,1859.0
België,Waals Gewest,2020,maart,1169.0
België,Waals Gewest,2020,april,1317.0
België,Waals Gewest,2020,mei,993.0
België,Waals Gewest,2020,juni,1077.0
België,Waals Gewest,2020,juli,2610.0
België,Waals Gewest,2020,augustus,1493.0
België,Waals Gewest,2020,september,1323.0
België,Waals Gewest,2020,oktober,3123.0
België,Waals Gewest,2020,november,1475.0
België,Waals Gewest,2020,december,1202.0
België,Waals Gewest,2021,januari,
België,Waals Gewest,2021,februari,
België,Vlaams Gewest,2020,februari,5374.0
België,Vlaams Gewest,2020,maart,3956.0
België,Vlaams Gewest,2020,april,4276.0
België,Vlaams Gewest,2020,mei,3467.0
België,Vlaams Gewest,2020,juni,3653.0
België,Vlaams Gewest,2020,juli,7307.0
België,Vlaams Gewest,2020,augustus,4755.0
België,Vlaams Gewest,2020,september,4476.0
België,Vlaams Gewest,2020,oktober,8491.0
België,Vlaams Gewest,2020,november,4409.0
België,Vlaams Gewest,2020,december,3892.0
België,Vlaams Gewest,2021,januari,
België,Vlaams Gewest,2021,februari,
België,Brussels Hoofdstedelijk Gewest,2020,februari,965.0
België,Brussels Hoofdstedelijk Gewest,2020,maart,728.0
België,Brussels Hoofdstedelijk Gewest,2020,april,752.0
België,Brussels Hoofdstedelijk Gewest,2020,mei,579.0
België,Brussels Hoofdstedelijk Gewest,2020,juni,633.0
België,Brussels Hoofdstedelijk Gewest,2020,juli,1029.0
België,Brussels Hoofdstedelijk Gewest,2020,augustus,631.0
België,Brussels Hoofdstedelijk Gewest,2020,september,651.0
België,Brussels Hoofdstedelijk Gewest,2020,oktober,1363.0
België,Brussels Hoofdstedelijk Gewest,2020,november,783.0
België,Brussels Hoofdstedelijk Gewest,2020,december,737.0
België,Brussels Hoofdstedelijk Gewest,2021,januari,
België,Brussels Hoofdstedelijk Gewest,2021,februari,
België,,2020,februari,8198.0
België,,2020,maart,5853.0
België,,2020,april,6345.0
België,,2020,mei,5039.0
België,,2020,juni,5363.0
België,,2020,juli,10946.0
België,,2020,augustus,6879.0
België,,2020,september,6450.0
België,,2020,oktober,12977.0
België,,2020,november,6667.0
België,,2020,december,5831.0
België,,2021,januari,
België,,2021,februari,
