Jaar,Maand,Basisjaar,Gezondheidsindex,Afgevlakte index
2022,Januari 2022,1996 = 100,162.42,155.84
2022,Januari 2022,2004 = 100,142.76,136.98
2022,Januari 2022,2013 = 100,118.21,113.42
2022,Februari 2022,1996 = 100,163.15,157.46
2022,Februari 2022,2004 = 100,143.4,138.4
2022,Februari 2022,2013 = 100,118.74,114.6
2022,Maart 2022,1996 = 100,163.57,158.75
2022,Maart 2022,2004 = 100,143.78,139.54
2022,Maart 2022,2013 = 100,119.05,115.54
2022,April 2022,1996 = 100,164.32,160.1
2022,April 2022,2004 = 100,144.43,140.72
2022,April 2022,2013 = 100,119.59,116.52
2022,Mei 2022,1996 = 100,165.22,160.79
2022,Mei 2022,2004 = 100,145.23,141.33
2022,Mei 2022,2013 = 100,120.25,117.02
2022,Juni 2022,1996 = 100,166.28,161.55
2022,Juni 2022,2004 = 100,146.16,142.0
2022,Juni 2022,2013 = 100,121.02,117.58
2022,Juli 2022,1996 = 100,168.11,162.67
2022,Juli 2022,2004 = 100,147.76,142.98
2022,Juli 2022,2013 = 100,122.35,118.39
2022,Augustus 2022,1996 = 100,169.94,164.04
2022,Augustus 2022,2004 = 100,149.37,144.19
2022,Augustus 2022,2013 = 100,123.68,119.39
2022,September 2022,1996 = 100,171.64,165.61
2022,September 2022,2004 = 100,150.87,145.56
2022,September 2022,2013 = 100,124.92,120.53
2022,Oktober 2022,1996 = 100,175.76,167.93
2022,Oktober 2022,2004 = 100,154.49,147.61
2022,Oktober 2022,2013 = 100,127.92,122.22
2022,November 2022,1996 = 100,175.1,169.65
2022,November 2022,2004 = 100,153.91,149.11
2022,November 2022,2013 = 100,127.44,123.47
2022,December 2022,1996 = 100,175.72,171.06
2022,December 2022,2004 = 100,154.45,150.36
2022,December 2022,2013 = 100,127.89,124.5
2023,Januari 2023,1996 = 100,175.87,172.11
2023,Januari 2023,2004 = 100,154.59,151.28
2023,Januari 2023,2013 = 100,128.0,125.26
