totaal,Plaats van tewerkstelling niveau 1,totaal.1,Land van staatsburgerschap niveau 1,Werkende bevolking
totaal,In het buitenland,totaal,Belgen,51761.0
totaal,In het buitenland,totaal,Buitenlanders,40528.0
totaal,In het buitenland,totaal,Staatloos,
totaal,In het buitenland,totaal,Niet aangegeven,7.0
totaal,In het buitenland,totaal,,92296.0
totaal,In België,totaal,Belgen,3994160.0
totaal,In België,totaal,Buitenlanders,344129.0
totaal,In België,totaal,Staatloos,162.0
totaal,In België,totaal,Niet aangegeven,2224.0
totaal,In België,totaal,,4340675.0
totaal,,totaal,Belgen,4045921.0
totaal,,totaal,Buitenlanders,384657.0
totaal,,totaal,Staatloos,162.0
totaal,,totaal,Niet aangegeven,2231.0
totaal,,totaal,,4432971.0
