België,Gewest,Provincie,Arrondissement,Gemeente,Bevolkingsdichtheid
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Daverdisse,24.91
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Sainte-Ode,24.95
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Herbeumont,26.48
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Léglise,27.53
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Vresse-sur-Semois,28.24
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Manhay,28.73
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Bièvre,28.94
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,La Roche-en-Ardenne,29.19
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Tenneville,29.31
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Gedinne,29.46
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Stoumont,29.58
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Fauvillers,30.17
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Houffalize,30.19
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Gouvy,32.67
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Doische,34.47
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Bertogne,34.65
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Libin,34.72
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Trois-Ponts,36.45
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Burg-Reuland,36.48
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Bouillon,36.67
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Houyet,37.3
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Florenville,37.32
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Vaux-sur-Sûre,37.76
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Lierneux,37.86
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Büllingen,38.01
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Rendeux,39.05
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Erezée,39.74
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Amel,43.47
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Froidchapelle,43.9
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Tellin,44.14
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Wellin,44.43
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Chiny,45.33
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Paliseul,46.11
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Nassogne,46.52
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Tintigny,47.72
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Onhaye,47.76
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Havelange,48.29
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Viroinval,48.92
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Baelen,49.66
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Chimay,50.08
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Meix-devant-Virton,50.52
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Saint-Hubert,51.36
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Beauraing,51.59
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Somme-Leuze,52.19
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Lo-Reninge,52.75
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Vielsalm,53.92
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Clavier,56.05
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Zuienkerke,56.63
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Philippeville,57.77
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Cerfontaine,57.91
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Martelange,58.34
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Bütgenbach,58.76
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Libramont-Chevigny,58.97
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Bertrix,61.16
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Momignies,61.63
