Soort zuivelproduct,Jaar,Hoeveelheid in voorraad
Room (in l),2012,1810748.0
Room (in l),2013,4414010.0
Room (in l),2014,4473888.0
Room (in l),2015,3975681.0
Room (in l),2016,3915566.0
Room (in l),2017,3596916.0
Room (in l),2018,3163647.0
Room (in l),2019,3743078.0
Room (in l),2020,2939495.0
Room (in l),2021,12202870.0
Melkerijboter,2012,
Melkerijboter,2013,3442833.0
Melkerijboter,2014,5662317.0
Melkerijboter,2015,5812456.0
Melkerijboter,2016,4948288.0
Melkerijboter,2017,6270469.0
Melkerijboter,2018,8384067.0
Melkerijboter,2019,14041979.0
Melkerijboter,2020,10591264.0
Melkerijboter,2021,8941204.0
Herbewerkte boter,2012,1259765.0
Herbewerkte boter,2013,2091765.0
Herbewerkte boter,2014,1582273.0
Herbewerkte boter,2015,1942816.0
Herbewerkte boter,2016,1497541.0
Herbewerkte boter,2017,1712385.0
Herbewerkte boter,2018,1783372.0
Herbewerkte boter,2019,1753667.0
Herbewerkte boter,2020,1998232.0
Herbewerkte boter,2021,1542458.0
Poeder op basis van room (vet : 42 % en meer),2012,
Poeder op basis van room (vet : 42 % en meer),2013,61590.0
Poeder op basis van room (vet : 42 % en meer),2014,18328.0
Poeder op basis van room (vet : 42 % en meer),2015,10193.0
Poeder op basis van room (vet : 42 % en meer),2016,8444.0
Poeder op basis van room (vet : 42 % en meer),2017,13869.0
Poeder op basis van room (vet : 42 % en meer),2018,1344.0
Poeder op basis van room (vet : 42 % en meer),2019,12189.0
Poeder op basis van room (vet : 42 % en meer),2020,1883.0
Poeder op basis van room (vet : 42 % en meer),2021,78059.0
Poeder op basis van volle melk (vet : 26 tot 42%),2012,3443325.0
Poeder op basis van volle melk (vet : 26 tot 42%),2013,7307066.0
Poeder op basis van volle melk (vet : 26 tot 42%),2014,5772377.0
Poeder op basis van volle melk (vet : 26 tot 42%),2015,8189767.0
Poeder op basis van volle melk (vet : 26 tot 42%),2016,7820809.0
Poeder op basis van volle melk (vet : 26 tot 42%),2017,7318862.0
Poeder op basis van volle melk (vet : 26 tot 42%),2018,6320258.0
Poeder op basis van volle melk (vet : 26 tot 42%),2019,6538417.0
Poeder op basis van volle melk (vet : 26 tot 42%),2020,7885589.0
Poeder op basis van volle melk (vet : 26 tot 42%),2021,2618817.0
"Poeder op basis van halfvolle melk en gedeeltelijk afgeroomde melk  (vet : 1,5 tot 26 %) voor menselijke voeding",2012,
"Poeder op basis van halfvolle melk en gedeeltelijk afgeroomde melk  (vet : 1,5 tot 26 %) voor menselijke voeding",2013,6733759.0
"Poeder op basis van halfvolle melk en gedeeltelijk afgeroomde melk  (vet : 1,5 tot 26 %) voor menselijke voeding",2014,6996623.0
"Poeder op basis van halfvolle melk en gedeeltelijk afgeroomde melk  (vet : 1,5 tot 26 %) voor menselijke voeding",2015,6976302.0
"Poeder op basis van halfvolle melk en gedeeltelijk afgeroomde melk  (vet : 1,5 tot 26 %) voor menselijke voeding",2016,16833741.0
"Poeder op basis van halfvolle melk en gedeeltelijk afgeroomde melk  (vet : 1,5 tot 26 %) voor menselijke voeding",2017,6571303.0
"Poeder op basis van halfvolle melk en gedeeltelijk afgeroomde melk  (vet : 1,5 tot 26 %) voor menselijke voeding",2018,4684945.0
"Poeder op basis van halfvolle melk en gedeeltelijk afgeroomde melk  (vet : 1,5 tot 26 %) voor menselijke voeding",2019,5590886.0
"Poeder op basis van halfvolle melk en gedeeltelijk afgeroomde melk  (vet : 1,5 tot 26 %) voor menselijke voeding",2020,691376.0
"Poeder op basis van halfvolle melk en gedeeltelijk afgeroomde melk  (vet : 1,5 tot 26 %) voor menselijke voeding",2021,736245.0
"Poeder op basis van magere melk (vet : 1,5 % max.)",2012,8324881.0
"Poeder op basis van magere melk (vet : 1,5 % max.)",2013,9533650.0
"Poeder op basis van magere melk (vet : 1,5 % max.)",2014,16279800.0
"Poeder op basis van magere melk (vet : 1,5 % max.)",2015,20503429.0
"Poeder op basis van magere melk (vet : 1,5 % max.)",2016,9733698.0
"Poeder op basis van magere melk (vet : 1,5 % max.)",2017,14192006.0
"Poeder op basis van magere melk (vet : 1,5 % max.)",2018,14899218.0
"Poeder op basis van magere melk (vet : 1,5 % max.)",2019,18012753.0
