Jaar/Maand,Dag,Productgroep,Product,Prijs incl. BTW
jan23,08jan23,Benzines,Benzine 95 RON E5 (€/L),1.814
jan23,08jan23,Benzines,Benzine 95 RON E10 (€/L),1.761
jan23,08jan23,Benzines,Benzine 98 RON E5 (€/L),1.95
jan23,08jan23,Benzines,Benzine 98 RON E10 (€/L),1.895
jan23,08jan23,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.773
jan23,08jan23,Gasolie Diesel wegvervoer,Diesel B10 (€/L),1.752
jan23,08jan23,Gasolie Diesel wegvervoer,Diesel B20 (€/L),1.787
jan23,08jan23,Gasolie Diesel wegvervoer,Diesel B30 (€/L),1.868
jan23,08jan23,Gasolie Diesel wegvervoer,Diesel XTL (€/L),3.21
jan23,08jan23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),1.018
jan23,08jan23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),1.053
jan23,08jan23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (vanaf 2000 l) (€/L),0.995
jan23,08jan23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (minder dan 2000 l) (€/L),1.03
jan23,08jan23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (vanaf 2000 l) (€/L),1.023
jan23,08jan23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (minder dan 2000 l) (€/L),1.058
jan23,08jan23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (aan de pomp) (€/L),1.159
jan23,08jan23,Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),1.002
jan23,08jan23,Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),1.038
jan23,08jan23,Gasolie verwarming,Gasolie verwarming 50S (aan de pomp) (€/L),1.144
jan23,08jan23,Lamppetroleum,lamppetroleum (type B) (minder dan 2000 l) (€/L),1.14
jan23,08jan23,Lamppetroleum,lamppetroleum (type B) (vanaf 2000 l) (€/L),1.105
jan23,08jan23,Lamppetroleum,lamppetroleum (type B) (aan de pomp) (€/L),1.244
jan23,08jan23,Lamppetroleum,lamppetroleum (type C) (minder dan 2000 l) (€/L),1.183
jan23,08jan23,Lamppetroleum,lamppetroleum (type C) (vanaf 2000 l) (€/L),1.147
jan23,08jan23,Lamppetroleum,lamppetroleum (type C) (aan de pomp) (€/L),1.287
jan23,08jan23,Propaan,propaan (in bulk) (vanaf 2000 l) (€/L),0.721
jan23,08jan23,Propaan,propaan (in bulk) (minder dan 2000 l) (€/L),0.8
jan23,08jan23,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.695
jan23,08jan23,Butaan + LPG,Autogas LPG (minder dan 2000 l) (€/L),0.832
jan23,08jan23,Butaan + LPG,Autogas LPG (vanaf 2000 l) (€/L),0.752
jan23,08jan23,Stookolie,Extra zware stookolie met 1 % S (per tankwagen) (€/T),549.46
jan23,09jan23,Benzines,Benzine 95 RON E5 (€/L),1.814
jan23,09jan23,Benzines,Benzine 95 RON E10 (€/L),1.761
jan23,09jan23,Benzines,Benzine 98 RON E5 (€/L),1.95
jan23,09jan23,Benzines,Benzine 98 RON E10 (€/L),1.895
jan23,09jan23,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.773
jan23,09jan23,Gasolie Diesel wegvervoer,Diesel B10 (€/L),1.752
jan23,09jan23,Gasolie Diesel wegvervoer,Diesel B20 (€/L),1.787
jan23,09jan23,Gasolie Diesel wegvervoer,Diesel B30 (€/L),1.868
jan23,09jan23,Gasolie Diesel wegvervoer,Diesel XTL (€/L),3.21
jan23,09jan23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),1.018
jan23,09jan23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),1.053
jan23,09jan23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (vanaf 2000 l) (€/L),0.995
jan23,09jan23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (minder dan 2000 l) (€/L),1.03
jan23,09jan23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (vanaf 2000 l) (€/L),1.023
jan23,09jan23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (minder dan 2000 l) (€/L),1.058
jan23,09jan23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (aan de pomp) (€/L),1.159
jan23,09jan23,Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),1.002
jan23,09jan23,Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),1.038
jan23,09jan23,Gasolie verwarming,Gasolie verwarming 50S (aan de pomp) (€/L),1.144
jan23,09jan23,Lamppetroleum,lamppetroleum (type B) (minder dan 2000 l) (€/L),1.14
jan23,09jan23,Lamppetroleum,lamppetroleum (type B) (vanaf 2000 l) (€/L),1.105
jan23,09jan23,Lamppetroleum,lamppetroleum (type B) (aan de pomp) (€/L),1.244
jan23,09jan23,Lamppetroleum,lamppetroleum (type C) (minder dan 2000 l) (€/L),1.183
