Indicator Groep,Indicator Niveau 1,Indicator Niveau 2,Product Niveau 1,Kiloton olie equivalent (ovw)
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Ruwe aardolie,
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Intermediaire producten,
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Andere koolwaterstoffen,
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Raffinaderijgas,
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,LPG,
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Motorbenzine,
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Vliegtuigbenzine,
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Kerosine,
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Lamppetroleum,
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Nafta,
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Gas-/dieselolie,
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Zware stookolie,36.861
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,White spirit en kookpuntbenzine,
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Smeermiddelen,
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Bitumen,
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Petroleumcokes,
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Paraffine-wassen,
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Overige olieproducten,
Totale energievoorziening,Invoer,,Ruwe aardolie,29083.827
Totale energievoorziening,Invoer,,Intermediaire producten,2937.257
Totale energievoorziening,Invoer,,Andere koolwaterstoffen,
Totale energievoorziening,Invoer,,Raffinaderijgas,
Totale energievoorziening,Invoer,,LPG,2532.541
Totale energievoorziening,Invoer,,Motorbenzine,925.826
Totale energievoorziening,Invoer,,Vliegtuigbenzine,8.571
Totale energievoorziening,Invoer,,Kerosine,1110.4
Totale energievoorziening,Invoer,,Lamppetroleum,30.234
Totale energievoorziening,Invoer,,Nafta,5807.278
Totale energievoorziening,Invoer,,Gas-/dieselolie,6989.708
Totale energievoorziening,Invoer,,Zware stookolie,5532.083
Totale energievoorziening,Invoer,,White spirit en kookpuntbenzine,32.645
Totale energievoorziening,Invoer,,Smeermiddelen,1593.674
Totale energievoorziening,Invoer,,Bitumen,848.974
Totale energievoorziening,Invoer,,Petroleumcokes,302.737
Totale energievoorziening,Invoer,,Paraffine-wassen,16.323
Totale energievoorziening,Invoer,,Overige olieproducten,742.108
Totale energievoorziening,Uitvoer,,Ruwe aardolie,-194.864
Totale energievoorziening,Uitvoer,,Intermediaire producten,-3681.736
Totale energievoorziening,Uitvoer,,Andere koolwaterstoffen,
Totale energievoorziening,Uitvoer,,Raffinaderijgas,
