Gewest,Provincie,Arrondissement,Eenpersoonshuishoudens
Vlaams Gewest,Provincie Antwerpen,,0.327
Vlaams Gewest,Provincie Vlaams-Brabant,,0.292
Vlaams Gewest,Provincie West-Vlaanderen,,0.308
Vlaams Gewest,Provincie Oost-Vlaanderen,,0.308
Vlaams Gewest,Provincie Limburg,,0.255
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,0.492
Waals Gewest,Provincie Waals-Brabant,,0.296
Waals Gewest,Provincie Henegouwen,,0.35
Waals Gewest,Provincie Luik,,0.381
Waals Gewest,Provincie Luxemburg,,0.325
Waals Gewest,Provincie Namen,,0.339
