Alle groepen/getuigen,Groep,Subgroep 1,Subgroep 2,Basisjaar,Jaar,Index
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Graangewassen,2015,2015,100.0
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Graangewassen,2015,2016,85.716
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Graangewassen,2015,2017,91.758
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Graangewassen,2015,2018,110.932
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Graangewassen,2015,2019,100.917
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Graangewassen,2015,2020,112.656
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Hakvruchten,2015,2015,100.0
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Hakvruchten,2015,2016,167.283
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Hakvruchten,2015,2017,115.427
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Hakvruchten,2015,2018,184.87
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Hakvruchten,2015,2019,143.934
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Hakvruchten,2015,2020,94.878
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Andere Plantaardige producten,2015,2015,100.0
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Andere Plantaardige producten,2015,2016,94.51
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Andere Plantaardige producten,2015,2017,95.725
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Andere Plantaardige producten,2015,2018,122.989
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Andere Plantaardige producten,2015,2019,117.776
Alle groepen/getuigen,Landbouwproducten,Plantaardige producten,Andere Plantaardige producten,2015,2020,121.837
Alle groepen/getuigen,Landbouwproducten,Dieren en dierlijke producten,Dieren,2015,2015,100.0
Alle groepen/getuigen,Landbouwproducten,Dieren en dierlijke producten,Dieren,2015,2016,100.176
Alle groepen/getuigen,Landbouwproducten,Dieren en dierlijke producten,Dieren,2015,2017,105.671
Alle groepen/getuigen,Landbouwproducten,Dieren en dierlijke producten,Dieren,2015,2018,97.153
Alle groepen/getuigen,Landbouwproducten,Dieren en dierlijke producten,Dieren,2015,2019,109.235
Alle groepen/getuigen,Landbouwproducten,Dieren en dierlijke producten,Dieren,2015,2020,102.175
Alle groepen/getuigen,Landbouwproducten,Dieren en dierlijke producten,Dierlijke producten,2015,2015,100.0
Alle groepen/getuigen,Landbouwproducten,Dieren en dierlijke producten,Dierlijke producten,2015,2016,91.436
Alle groepen/getuigen,Landbouwproducten,Dieren en dierlijke producten,Dierlijke producten,2015,2017,122.942
Alle groepen/getuigen,Landbouwproducten,Dieren en dierlijke producten,Dierlijke producten,2015,2018,111.155
Alle groepen/getuigen,Landbouwproducten,Dieren en dierlijke producten,Dierlijke producten,2015,2019,112.543
Alle groepen/getuigen,Landbouwproducten,Dieren en dierlijke producten,Dierlijke producten,2015,2020,107.445
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Volle grond,2015,2015,100.0
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Volle grond,2015,2016,111.76
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Volle grond,2015,2017,96.854
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Volle grond,2015,2018,131.29
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Volle grond,2015,2019,141.217
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Volle grond,2015,2020,145.102
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Onder glas,2015,2015,100.0
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Onder glas,2015,2016,102.797
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Onder glas,2015,2017,98.829
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Onder glas,2015,2018,108.997
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Onder glas,2015,2019,109.96
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Onder glas,2015,2020,94.921
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Champignons,2015,2015,100.0
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Champignons,2015,2016,92.935
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Champignons,2015,2017,79.396
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Champignons,2015,2018,76.807
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Champignons,2015,2019,113.742
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Champignons,2015,2020,124.591
Alle groepen/getuigen,Tuinbouwproducten,Fruit,Verse vruchten,2015,2015,100.0
Alle groepen/getuigen,Tuinbouwproducten,Fruit,Verse vruchten,2015,2016,94.058
Alle groepen/getuigen,Tuinbouwproducten,Fruit,Verse vruchten,2015,2017,151.709
Alle groepen/getuigen,Tuinbouwproducten,Fruit,Verse vruchten,2015,2018,176.912
Alle groepen/getuigen,Tuinbouwproducten,Fruit,Verse vruchten,2015,2019,123.088
Alle groepen/getuigen,Tuinbouwproducten,Fruit,Verse vruchten,2015,2020,176.527
Alle groepen/getuigen,Tuinbouwproducten,Tuinbouwproducten Niet-eetbare,Snijbloemen,2015,2015,100.0
Alle groepen/getuigen,Tuinbouwproducten,Tuinbouwproducten Niet-eetbare,Snijbloemen,2015,2016,105.458
Alle groepen/getuigen,Tuinbouwproducten,Tuinbouwproducten Niet-eetbare,Snijbloemen,2015,2017,99.428
Alle groepen/getuigen,Tuinbouwproducten,Tuinbouwproducten Niet-eetbare,Snijbloemen,2015,2018,106.847
Alle groepen/getuigen,Tuinbouwproducten,Tuinbouwproducten Niet-eetbare,Snijbloemen,2015,2019,107.823
Alle groepen/getuigen,Tuinbouwproducten,Tuinbouwproducten Niet-eetbare,Snijbloemen,2015,2020,123.925
Alle groepen/getuigen,Tuinbouwproducten,Tuinbouwproducten Niet-eetbare,Andere Niet-eetbare,2015,2015,100.0
Alle groepen/getuigen,Tuinbouwproducten,Tuinbouwproducten Niet-eetbare,Andere Niet-eetbare,2015,2016,104.071
Alle groepen/getuigen,Tuinbouwproducten,Tuinbouwproducten Niet-eetbare,Andere Niet-eetbare,2015,2017,103.685
Alle groepen/getuigen,Tuinbouwproducten,Tuinbouwproducten Niet-eetbare,Andere Niet-eetbare,2015,2018,112.402
Alle groepen/getuigen,Tuinbouwproducten,Tuinbouwproducten Niet-eetbare,Andere Niet-eetbare,2015,2019,123.362
Alle groepen/getuigen,Tuinbouwproducten,Tuinbouwproducten Niet-eetbare,Andere Niet-eetbare,2015,2020,129.483
Alle groepen/getuigen,,,,2015,2015,100.0
Alle groepen/getuigen,,,,2015,2016,104.368
Alle groepen/getuigen,,,,2015,2017,110.278
Alle groepen/getuigen,,,,2015,2018,125.428
Alle groepen/getuigen,,,,2015,2019,116.453
Alle groepen/getuigen,,,,2015,2020,112.469
