België,Gewest,Provincie,totaal,Type particulier huishouden niveau 1,Particuliere huishoudens
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Huishouden zonder familiekern,280454
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Huishouden met één familiekern,257026
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Huishouden met meerdere familiekernen,5600
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Type huishouden niet gekend,1449
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,,544529
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Huishouden zonder familiekern,260622
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Huishouden met één familiekern,485321
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Huishouden met meerdere familiekernen,8449
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Type huishouden niet gekend,284
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,,754676
België,Vlaams Gewest  ,Provincie Limburg,totaal,Huishouden zonder familiekern,91358
België,Vlaams Gewest  ,Provincie Limburg,totaal,Huishouden met één familiekern,241700
België,Vlaams Gewest  ,Provincie Limburg,totaal,Huishouden met meerdere familiekernen,6293
België,Vlaams Gewest  ,Provincie Limburg,totaal,Type huishouden niet gekend,63
België,Vlaams Gewest  ,Provincie Limburg,totaal,,339414
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Huishouden zonder familiekern,197427
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Huishouden met één familiekern,411017
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Huishouden met meerdere familiekernen,6787
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Type huishouden niet gekend,76
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,,615307
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Huishouden zonder familiekern,137159
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Huishouden met één familiekern,305201
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Huishouden met meerdere familiekernen,5665
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Type huishouden niet gekend,117
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,,448142
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Huishouden zonder familiekern,160211
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Huishouden met één familiekern,336868
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Huishouden met meerdere familiekernen,4086
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Type huishouden niet gekend,47
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,,501212
België,Waals Gewest,Provincie Waals-Brabant,totaal,Huishouden zonder familiekern,47799
België,Waals Gewest,Provincie Waals-Brabant,totaal,Huishouden met één familiekern,104163
België,Waals Gewest,Provincie Waals-Brabant,totaal,Huishouden met meerdere familiekernen,2354
België,Waals Gewest,Provincie Waals-Brabant,totaal,Type huishouden niet gekend,66
België,Waals Gewest,Provincie Waals-Brabant,totaal,,154382
België,Waals Gewest,Provincie Henegouwen,totaal,Huishouden zonder familiekern,209693
België,Waals Gewest,Provincie Henegouwen,totaal,Huishouden met één familiekern,356091
België,Waals Gewest,Provincie Henegouwen,totaal,Huishouden met meerdere familiekernen,7258
België,Waals Gewest,Provincie Henegouwen,totaal,Type huishouden niet gekend,177
België,Waals Gewest,Provincie Henegouwen,totaal,,573219
België,Waals Gewest,Provincie Luik,totaal,Huishouden zonder familiekern,190312
België,Waals Gewest,Provincie Luik,totaal,Huishouden met één familiekern,286765
België,Waals Gewest,Provincie Luik,totaal,Huishouden met meerdere familiekernen,4765
België,Waals Gewest,Provincie Luik,totaal,Type huishouden niet gekend,150
België,Waals Gewest,Provincie Luik,totaal,,481992
België,Waals Gewest,Provincie Luxemburg,totaal,Huishouden zonder familiekern,37927
België,Waals Gewest,Provincie Luxemburg,totaal,Huishouden met één familiekern,73450
België,Waals Gewest,Provincie Luxemburg,totaal,Huishouden met meerdere familiekernen,1048
België,Waals Gewest,Provincie Luxemburg,totaal,Type huishouden niet gekend,49
België,Waals Gewest,Provincie Luxemburg,totaal,,112474
België,Waals Gewest,Provincie Namen,totaal,Huishouden zonder familiekern,71285
België,Waals Gewest,Provincie Namen,totaal,Huishouden met één familiekern,128554
België,Waals Gewest,Provincie Namen,totaal,Huishouden met meerdere familiekernen,2566
België,Waals Gewest,Provincie Namen,totaal,Type huishouden niet gekend,79
België,Waals Gewest,Provincie Namen,totaal,,202484
België,,,totaal,Huishouden zonder familiekern,1684247
België,,,totaal,Huishouden met één familiekern,2986156
België,,,totaal,Huishouden met meerdere familiekernen,54871
België,,,totaal,Type huishouden niet gekend,2557
België,,,totaal,,4727831
