Leeftijd (15-19 / 20-64),België,Gewest,Jaar,Totaal,Geslacht,Werkgelegenheidsgraad
Van 20 tot 64 jaar,België,Brussels Hoofdstedelijk Gewest,2017,Totaal,Mannen,0.67
Van 20 tot 64 jaar,België,Brussels Hoofdstedelijk Gewest,2017,Totaal,Vrouwen,0.546
Van 20 tot 64 jaar,België,Brussels Hoofdstedelijk Gewest,2017,Totaal,,0.608
Van 20 tot 64 jaar,België,Brussels Hoofdstedelijk Gewest,2018,Totaal,Mannen,0.663
Van 20 tot 64 jaar,België,Brussels Hoofdstedelijk Gewest,2018,Totaal,Vrouwen,0.566
Van 20 tot 64 jaar,België,Brussels Hoofdstedelijk Gewest,2018,Totaal,,0.614
Van 20 tot 64 jaar,België,Brussels Hoofdstedelijk Gewest,2019,Totaal,Mannen,0.674
Van 20 tot 64 jaar,België,Brussels Hoofdstedelijk Gewest,2019,Totaal,Vrouwen,0.56
Van 20 tot 64 jaar,België,Brussels Hoofdstedelijk Gewest,2019,Totaal,,0.617
Van 20 tot 64 jaar,België,Brussels Hoofdstedelijk Gewest,2020,Totaal,Mannen,0.673
Van 20 tot 64 jaar,België,Brussels Hoofdstedelijk Gewest,2020,Totaal,Vrouwen,0.553
Van 20 tot 64 jaar,België,Brussels Hoofdstedelijk Gewest,2020,Totaal,,0.613
Van 20 tot 64 jaar,België,Brussels Hoofdstedelijk Gewest,2021,Totaal,Mannen,0.682
Van 20 tot 64 jaar,België,Brussels Hoofdstedelijk Gewest,2021,Totaal,Vrouwen,0.562
Van 20 tot 64 jaar,België,Brussels Hoofdstedelijk Gewest,2021,Totaal,,0.622
Van 20 tot 64 jaar,België,Vlaams Gewest,2017,Totaal,Mannen,0.777
Van 20 tot 64 jaar,België,Vlaams Gewest,2017,Totaal,Vrouwen,0.682
Van 20 tot 64 jaar,België,Vlaams Gewest,2017,Totaal,,0.73
Van 20 tot 64 jaar,België,Vlaams Gewest,2018,Totaal,Mannen,0.785
Van 20 tot 64 jaar,België,Vlaams Gewest,2018,Totaal,Vrouwen,0.707
Van 20 tot 64 jaar,België,Vlaams Gewest,2018,Totaal,,0.746
Van 20 tot 64 jaar,België,Vlaams Gewest,2019,Totaal,Mannen,0.793
Van 20 tot 64 jaar,België,Vlaams Gewest,2019,Totaal,Vrouwen,0.715
Van 20 tot 64 jaar,België,Vlaams Gewest,2019,Totaal,,0.755
Van 20 tot 64 jaar,België,Vlaams Gewest,2020,Totaal,Mannen,0.785
Van 20 tot 64 jaar,België,Vlaams Gewest,2020,Totaal,Vrouwen,0.709
Van 20 tot 64 jaar,België,Vlaams Gewest,2020,Totaal,,0.747
Van 20 tot 64 jaar,België,Vlaams Gewest,2021,Totaal,Mannen,0.786
Van 20 tot 64 jaar,België,Vlaams Gewest,2021,Totaal,Vrouwen,0.719
Van 20 tot 64 jaar,België,Vlaams Gewest,2021,Totaal,,0.753
Van 20 tot 64 jaar,België,Waals Gewest,2017,Totaal,Mannen,0.677
Van 20 tot 64 jaar,België,Waals Gewest,2017,Totaal,Vrouwen,0.587
Van 20 tot 64 jaar,België,Waals Gewest,2017,Totaal,,0.632
Van 20 tot 64 jaar,België,Waals Gewest,2018,Totaal,Mannen,0.682
Van 20 tot 64 jaar,België,Waals Gewest,2018,Totaal,Vrouwen,0.593
Van 20 tot 64 jaar,België,Waals Gewest,2018,Totaal,,0.637
Van 20 tot 64 jaar,België,Waals Gewest,2019,Totaal,Mannen,0.682
Van 20 tot 64 jaar,België,Waals Gewest,2019,Totaal,Vrouwen,0.611
Van 20 tot 64 jaar,België,Waals Gewest,2019,Totaal,,0.646
Van 20 tot 64 jaar,België,Waals Gewest,2020,Totaal,Mannen,0.685
Van 20 tot 64 jaar,België,Waals Gewest,2020,Totaal,Vrouwen,0.607
Van 20 tot 64 jaar,België,Waals Gewest,2020,Totaal,,0.646
Van 20 tot 64 jaar,België,Waals Gewest,2021,Totaal,Mannen,0.692
Van 20 tot 64 jaar,België,Waals Gewest,2021,Totaal,Vrouwen,0.612
Van 20 tot 64 jaar,België,Waals Gewest,2021,Totaal,,0.652
Van 20 tot 64 jaar,België,,2017,Totaal,Mannen,0.734
Van 20 tot 64 jaar,België,,2017,Totaal,Vrouwen,0.636
Van 20 tot 64 jaar,België,,2017,Totaal,,0.685
Van 20 tot 64 jaar,België,,2018,Totaal,Mannen,0.739
Van 20 tot 64 jaar,België,,2018,Totaal,Vrouwen,0.655
Van 20 tot 64 jaar,België,,2018,Totaal,,0.697
Van 20 tot 64 jaar,België,,2019,Totaal,Mannen,0.745
Van 20 tot 64 jaar,België,,2019,Totaal,Vrouwen,0.665
Van 20 tot 64 jaar,België,,2019,Totaal,,0.705
Van 20 tot 64 jaar,België,,2020,Totaal,Mannen,0.741
Van 20 tot 64 jaar,België,,2020,Totaal,Vrouwen,0.659
Van 20 tot 64 jaar,België,,2020,Totaal,,0.7
Van 20 tot 64 jaar,België,,2021,Totaal,Mannen,0.745
Van 20 tot 64 jaar,België,,2021,Totaal,Vrouwen,0.668
Van 20 tot 64 jaar,België,,2021,Totaal,,0.706
