"PROVINCE","DATE","REGION.x","NR_REPORTING","TOTAL_IN","TOTAL_IN_ICU","NEW_IN","REGION.y"
"Antwerpen",2020-03-15,"Flanders",14,0,0,7,"Flanders"
"Antwerpen",2020-03-16,"Flanders",14,0,0,10,"Flanders"
"Antwerpen",2020-03-17,"Flanders",14,85,14,20,"Flanders"
"Antwerpen",2020-03-18,"Flanders",14,0,0,35,"Flanders"
"Antwerpen",2020-03-19,"Flanders",14,0,0,42,"Flanders"
"Antwerpen",2020-03-20,"Flanders",14,0,0,46,"Flanders"
"Antwerpen",2020-03-21,"Flanders",14,0,0,48,"Flanders"
"Antwerpen",2020-03-22,"Flanders",14,0,0,51,"Flanders"
"Antwerpen",2020-03-23,"Flanders",14,0,0,57,"Flanders"
"Antwerpen",2020-03-24,"Flanders",14,382,71,92,"Flanders"
"Antwerpen",2020-03-25,"Flanders",14,0,0,107,"Flanders"
"Antwerpen",2020-03-26,"Flanders",14,0,0,78,"Flanders"
"Antwerpen",2020-03-27,"Flanders",14,0,0,88,"Flanders"
"Antwerpen",2020-03-28,"Flanders",14,0,0,131,"Flanders"
"Antwerpen",2020-03-29,"Flanders",14,0,0,64,"Flanders"
"Antwerpen",2020-03-30,"Flanders",14,0,0,85,"Flanders"
"Antwerpen",2020-03-31,"Flanders",14,816,179,85,"Flanders"
"Antwerpen",2020-04-01,"Flanders",14,0,0,111,"Flanders"
"Antwerpen",2020-04-02,"Flanders",14,0,0,89,"Flanders"
"Antwerpen",2020-04-03,"Flanders",14,0,0,75,"Flanders"
"Antwerpen",2020-04-04,"Flanders",14,0,0,71,"Flanders"
"Antwerpen",2020-04-05,"Flanders",14,0,0,61,"Flanders"
"Antwerpen",2020-04-06,"Flanders",14,0,0,56,"Flanders"
"Antwerpen",2020-04-07,"Flanders",14,960,230,74,"Flanders"
"Antwerpen",2020-04-08,"Flanders",14,0,0,57,"Flanders"
"Antwerpen",2020-04-09,"Flanders",14,0,0,65,"Flanders"
"Antwerpen",2020-04-10,"Flanders",14,0,0,54,"Flanders"
"Antwerpen",2020-04-11,"Flanders",14,0,0,59,"Flanders"
"Antwerpen",2020-04-12,"Flanders",14,0,0,41,"Flanders"
"Antwerpen",2020-04-13,"Flanders",14,0,0,35,"Flanders"
"Antwerpen",2020-04-14,"Flanders",14,843,207,44,"Flanders"
"Antwerpen",2020-04-15,"Flanders",14,0,0,40,"Flanders"
"Antwerpen",2020-04-16,"Flanders",14,0,0,41,"Flanders"
"Antwerpen",2020-04-17,"Flanders",14,0,0,51,"Flanders"
"Antwerpen",2020-04-18,"Flanders",14,0,0,24,"Flanders"
"Antwerpen",2020-04-19,"Flanders",14,0,0,33,"Flanders"
"Antwerpen",2020-04-20,"Flanders",14,0,0,30,"Flanders"
"Antwerpen",2020-04-21,"Flanders",14,747,170,38,"Flanders"
"Antwerpen",2020-04-22,"Flanders",14,0,0,24,"Flanders"
"Antwerpen",2020-04-23,"Flanders",14,0,0,29,"Flanders"
"Antwerpen",2020-04-24,"Flanders",14,0,0,34,"Flanders"
"Antwerpen",2020-04-25,"Flanders",14,0,0,36,"Flanders"
"Antwerpen",2020-04-26,"Flanders",14,0,0,15,"Flanders"
"Antwerpen",2020-04-27,"Flanders",14,0,0,27,"Flanders"
"Antwerpen",2020-04-28,"Flanders",14,603,135,27,"Flanders"
"Antwerpen",2020-04-29,"Flanders",14,0,0,25,"Flanders"
"Antwerpen",2020-04-30,"Flanders",14,0,0,23,"Flanders"
"Antwerpen",2020-05-01,"Flanders",14,0,0,20,"Flanders"
"Antwerpen",2020-05-02,"Flanders",14,0,0,23,"Flanders"
"Antwerpen",2020-05-03,"Flanders",14,0,0,16,"Flanders"
"Antwerpen",2020-05-04,"Flanders",14,0,0,22,"Flanders"
"Antwerpen",2020-05-05,"Flanders",14,519,101,15,"Flanders"
"Antwerpen",2020-05-06,"Flanders",14,0,0,30,"Flanders"
"Antwerpen",2020-05-07,"Flanders",14,0,0,25,"Flanders"
"Antwerpen",2020-05-08,"Flanders",14,0,0,15,"Flanders"
"Antwerpen",2020-05-09,"Flanders",14,0,0,11,"Flanders"
"Antwerpen",2020-05-10,"Flanders",14,0,0,8,"Flanders"
"Antwerpen",2020-05-11,"Flanders",14,0,0,12,"Flanders"
"Antwerpen",2020-05-12,"Flanders",14,400,81,17,"Flanders"
"Antwerpen",2020-05-13,"Flanders",14,0,0,14,"Flanders"
"Antwerpen",2020-05-14,"Flanders",14,0,0,9,"Flanders"
"Antwerpen",2020-05-15,"Flanders",14,0,0,10,"Flanders"
"Antwerpen",2020-05-16,"Flanders",14,0,0,11,"Flanders"
"Antwerpen",2020-05-17,"Flanders",14,0,0,4,"Flanders"
"Antwerpen",2020-05-18,"Flanders",14,0,0,7,"Flanders"
"Antwerpen",2020-05-19,"Flanders",14,275,58,9,"Flanders"
"Antwerpen",2020-05-20,"Flanders",14,0,0,13,"Flanders"
"Antwerpen",2020-05-21,"Flanders",14,0,0,11,"Flanders"
"Antwerpen",2020-05-22,"Flanders",14,0,0,8,"Flanders"
"Antwerpen",2020-05-23,"Flanders",14,0,0,13,"Flanders"
"Antwerpen",2020-05-24,"Flanders",14,0,0,9,"Flanders"
