"REGION","AGEGROUP","SEX","DOSE","TOT"
"BXL","12_17","M","B",6
"BXL","18_24","M","B",7
"BXL","18_24","M","E",6
"BXL","25_34","F","A",5
"BXL","25_34","F","B",13
"BXL","25_34","F","E",8
"BXL","25_34","M","A",6
"BXL","25_34","M","B",10
"BXL","25_34","M","C",5
"BXL","25_34","M","E",19
"BXL","35_44","F","B",22
"BXL","35_44","F","E",14
"BXL","35_44","M","A",5
"BXL","35_44","M","B",49
"BXL","35_44","M","C",10
"BXL","35_44","M","E",30
"BXL","45_54","F","A",14
"BXL","45_54","F","B",77
"BXL","45_54","F","C",7
"BXL","45_54","F","E",51
"BXL","45_54","M","A",21
"BXL","45_54","M","B",108
"BXL","45_54","M","C",20
"BXL","45_54","M","E",89
"BXL","45_54","M","E2",9
"BXL","55_64","F","A",33
"BXL","55_64","F","B",152
"BXL","55_64","F","C",14
"BXL","55_64","F","E",109
"BXL","55_64","F","E2",16
"BXL","55_64","M","A",59
"BXL","55_64","M","B",251
"BXL","55_64","M","C",18
"BXL","55_64","M","E",219
"BXL","55_64","M","E2",31
"BXL","65_74","F","A",47
"BXL","65_74","F","B",258
"BXL","65_74","F","C",26
"BXL","65_74","F","E",308
"BXL","65_74","F","E2",44
"BXL","65_74","M","A",73
"BXL","65_74","M","B",393
"BXL","65_74","M","C",32
"BXL","65_74","M","E",481
"BXL","65_74","M","E2",84
"BXL","65_74","M","E3",5
"BXL","75_84","F","A",89
"BXL","75_84","F","B",452
"BXL","75_84","F","C",54
"BXL","75_84","F","E",675
"BXL","75_84","F","E2",122
"BXL","75_84","F","E3",7
"BXL","75_84","M","A",105
"BXL","75_84","M","B",477
"BXL","75_84","M","C",57
"BXL","75_84","M","E",696
"BXL","75_84","M","E2",137
"BXL","75_84","M","E3",10
"BXL","85+","F","A",277
"BXL","85+","F","B",1186
"BXL","85+","F","C",122
"BXL","85+","F","E",1771
"BXL","85+","F","E2",360
"BXL","85+","F","E3",12
"BXL","85+","M","A",154
"BXL","85+","M","B",635
"BXL","85+","M","C",65
"BXL","85+","M","E",922
"BXL","85+","M","E2",163
"BXL","85+","M","E3",7
"BXL",NA,"F","A",23
"BXL",NA,"F","B",95
"BXL",NA,"F","C",23
"BXL",NA,"F","E",56
"BXL",NA,"M","A",33
"BXL",NA,"M","B",142
"BXL",NA,"M","C",27
"BXL",NA,"M","E",80
"FLA","12_17","F","B",12
