Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Aantal personen geregistreerd met een betalingsachterstand,Aantal inwoners van 18 jaar en ouder,Procent
Vlaams Gewest,2000,/,Personen met betalingsachterstand,2007,107433,4943524,0.02173
Vlaams Gewest,2000,/,Personen met betalingsachterstand,2008,110275,4986507,0.02211
Vlaams Gewest,2000,/,Personen met betalingsachterstand,2009,116296,5026557,0.02314
Vlaams Gewest,2000,/,Personen met betalingsachterstand,2010,119631,5074519,0.02357
Vlaams Gewest,2000,/,Personen met betalingsachterstand,2011,124077,5113136,0.02427
Vlaams Gewest,2000,/,Personen met betalingsachterstand,2012,127720,5139069,0.02485
Vlaams Gewest,2000,/,Personen met betalingsachterstand,2013,130842,5163109,0.02534
Vlaams Gewest,2000,/,Personen met betalingsachterstand,2014,132956,5191757,0.02561
Vlaams Gewest,2000,/,Personen met betalingsachterstand,2015,137183,5220873,0.02628
Vlaams Gewest,2000,/,Personen met betalingsachterstand,2016,139444,5251635,0.02655
Vlaams Gewest,2000,/,Personen met betalingsachterstand,2017,135843,5281360,0.02572
Vlaams Gewest,2000,/,Personen met betalingsachterstand,2018,131499,5311613,0.02476
Vlaams Gewest,2000,/,Personen met betalingsachterstand,2019,126233,5343806,0.02362
Vlaams Gewest,2000,/,Personen met betalingsachterstand,2020,118181,5363075,0.02204
Vlaams Gewest,2000,/,Personen met betalingsachterstand,2021,108888,5363075,0.0203
Aartselaar,11001,Nee,Personen met betalingsachterstand,2007,123,11670,0.01054
Aartselaar,11001,Nee,Personen met betalingsachterstand,2008,121,11689,0.01035
Aartselaar,11001,Nee,Personen met betalingsachterstand,2009,141,11729,0.01202
Aartselaar,11001,Nee,Personen met betalingsachterstand,2010,154,11804,0.01305
Aartselaar,11001,Nee,Personen met betalingsachterstand,2011,176,11773,0.01495
Aartselaar,11001,Nee,Personen met betalingsachterstand,2012,189,11762,0.01607
Aartselaar,11001,Nee,Personen met betalingsachterstand,2013,199,11733,0.01696
Aartselaar,11001,Nee,Personen met betalingsachterstand,2014,184,11687,0.01574
Aartselaar,11001,Nee,Personen met betalingsachterstand,2015,176,11740,0.01499
Aartselaar,11001,Nee,Personen met betalingsachterstand,2016,208,11722,0.01774
Aartselaar,11001,Nee,Personen met betalingsachterstand,2017,195,11815,0.0165
Aartselaar,11001,Nee,Personen met betalingsachterstand,2018,186,11778,0.01579
Aartselaar,11001,Nee,Personen met betalingsachterstand,2019,199,11870,0.01676
Aartselaar,11001,Nee,Personen met betalingsachterstand,2020,193,11898,0.01622
Aartselaar,11001,Nee,Personen met betalingsachterstand,2021,181,11898,0.01521
Antwerpen,11002,Ja,Personen met betalingsachterstand,2007,13287,374958,0.03544
Antwerpen,11002,Ja,Personen met betalingsachterstand,2008,13586,379274,0.03582
Antwerpen,11002,Ja,Personen met betalingsachterstand,2009,14629,382414,0.03825
Antwerpen,11002,Ja,Personen met betalingsachterstand,2010,15065,389092,0.03872
Antwerpen,11002,Ja,Personen met betalingsachterstand,2011,15675,395173,0.03967
Antwerpen,11002,Ja,Personen met betalingsachterstand,2012,16112,398006,0.04048
Antwerpen,11002,Ja,Personen met betalingsachterstand,2013,16763,398964,0.04202
Antwerpen,11002,Ja,Personen met betalingsachterstand,2014,16829,400219,0.04205
Antwerpen,11002,Ja,Personen met betalingsachterstand,2015,17483,402054,0.04348
Antwerpen,11002,Ja,Personen met betalingsachterstand,2016,17793,403827,0.04406
Antwerpen,11002,Ja,Personen met betalingsachterstand,2017,17200,405176,0.04245
Antwerpen,11002,Ja,Personen met betalingsachterstand,2018,16367,407109,0.0402
Antwerpen,11002,Ja,Personen met betalingsachterstand,2019,15401,409350,0.03762
Antwerpen,11002,Ja,Personen met betalingsachterstand,2020,14375,409635,0.03509
Antwerpen,11002,Ja,Personen met betalingsachterstand,2021,13020,409635,0.03178
Boechout,11004,Nee,Personen met betalingsachterstand,2007,104,9676,0.01075
Boechout,11004,Nee,Personen met betalingsachterstand,2008,115,9915,0.0116
Boechout,11004,Nee,Personen met betalingsachterstand,2009,135,10079,0.01339
Boechout,11004,Nee,Personen met betalingsachterstand,2010,120,10133,0.01184
Boechout,11004,Nee,Personen met betalingsachterstand,2011,135,10192,0.01325
Boechout,11004,Nee,Personen met betalingsachterstand,2012,144,10254,0.01404
Boechout,11004,Nee,Personen met betalingsachterstand,2013,146,10288,0.01419
Boechout,11004,Nee,Personen met betalingsachterstand,2014,132,10303,0.01281
Boechout,11004,Nee,Personen met betalingsachterstand,2015,146,10397,0.01404
Boechout,11004,Nee,Personen met betalingsachterstand,2016,142,10473,0.01356
Boechout,11004,Nee,Personen met betalingsachterstand,2017,147,10631,0.01383
Boechout,11004,Nee,Personen met betalingsachterstand,2018,161,10779,0.01494
Boechout,11004,Nee,Personen met betalingsachterstand,2019,154,10878,0.01416
Boechout,11004,Nee,Personen met betalingsachterstand,2020,132,11025,0.01197
Boechout,11004,Nee,Personen met betalingsachterstand,2021,122,11025,0.01107
Boom,11005,Nee,Personen met betalingsachterstand,2007,383,12946,0.02958
Boom,11005,Nee,Personen met betalingsachterstand,2008,400,13033,0.03069
Boom,11005,Nee,Personen met betalingsachterstand,2009,418,13099,0.03191
Boom,11005,Nee,Personen met betalingsachterstand,2010,467,13276,0.03518
Boom,11005,Nee,Personen met betalingsachterstand,2011,454,13376,0.03394
Boom,11005,Nee,Personen met betalingsachterstand,2012,467,13401,0.03485
Boom,11005,Nee,Personen met betalingsachterstand,2013,499,13362,0.03734
Boom,11005,Nee,Personen met betalingsachterstand,2014,502,13566,0.037
Boom,11005,Nee,Personen met betalingsachterstand,2015,520,13631,0.03815
Boom,11005,Nee,Personen met betalingsachterstand,2016,526,13660,0.03851
Boom,11005,Nee,Personen met betalingsachterstand,2017,530,13838,0.0383
Boom,11005,Nee,Personen met betalingsachterstand,2018,492,14022,0.03509
Boom,11005,Nee,Personen met betalingsachterstand,2019,481,14232,0.0338
Boom,11005,Nee,Personen met betalingsachterstand,2020,450,14402,0.03125
Boom,11005,Nee,Personen met betalingsachterstand,2021,416,14402,0.02888
Borsbeek,11007,Nee,Personen met betalingsachterstand,2007,171,8288,0.02063
Borsbeek,11007,Nee,Personen met betalingsachterstand,2008,200,8304,0.02408
Borsbeek,11007,Nee,Personen met betalingsachterstand,2009,227,8271,0.02745
Borsbeek,11007,Nee,Personen met betalingsachterstand,2010,224,8351,0.02682
Borsbeek,11007,Nee,Personen met betalingsachterstand,2011,245,8372,0.02926
Borsbeek,11007,Nee,Personen met betalingsachterstand,2012,257,8388,0.03064
Borsbeek,11007,Nee,Personen met betalingsachterstand,2013,257,8472,0.03034
Borsbeek,11007,Nee,Personen met betalingsachterstand,2014,260,8481,0.03066
Borsbeek,11007,Nee,Personen met betalingsachterstand,2015,270,8505,0.03175
Borsbeek,11007,Nee,Personen met betalingsachterstand,2016,286,8480,0.03373
Borsbeek,11007,Nee,Personen met betalingsachterstand,2017,286,8512,0.0336
Borsbeek,11007,Nee,Personen met betalingsachterstand,2018,285,8575,0.03324
Borsbeek,11007,Nee,Personen met betalingsachterstand,2019,276,8656,0.03189
Borsbeek,11007,Nee,Personen met betalingsachterstand,2020,248,8725,0.02842
Borsbeek,11007,Nee,Personen met betalingsachterstand,2021,231,8725,0.02648
Brasschaat,11008,Nee,Personen met betalingsachterstand,2007,431,30153,0.01429
Brasschaat,11008,Nee,Personen met betalingsachterstand,2008,425,30150,0.0141
Brasschaat,11008,Nee,Personen met betalingsachterstand,2009,450,30190,0.01491
Brasschaat,11008,Nee,Personen met betalingsachterstand,2010,486,30428,0.01597
Brasschaat,11008,Nee,Personen met betalingsachterstand,2011,519,30539,0.01699
Brasschaat,11008,Nee,Personen met betalingsachterstand,2012,541,30576,0.01769
Brasschaat,11008,Nee,Personen met betalingsachterstand,2013,552,30770,0.01794
Brasschaat,11008,Nee,Personen met betalingsachterstand,2014,565,30778,0.01836
Brasschaat,11008,Nee,Personen met betalingsachterstand,2015,613,30957,0.0198
Brasschaat,11008,Nee,Personen met betalingsachterstand,2016,597,31050,0.01923
Brasschaat,11008,Nee,Personen met betalingsachterstand,2017,587,31141,0.01885
Brasschaat,11008,Nee,Personen met betalingsachterstand,2018,576,31182,0.01847
Brasschaat,11008,Nee,Personen met betalingsachterstand,2019,578,31348,0.01844
Brasschaat,11008,Nee,Personen met betalingsachterstand,2020,473,31310,0.01511
Brasschaat,11008,Nee,Personen met betalingsachterstand,2021,466,31310,0.01488
Brecht,11009,Nee,Personen met betalingsachterstand,2007,305,21291,0.01433
Brecht,11009,Nee,Personen met betalingsachterstand,2008,339,21637,0.01567
Brecht,11009,Nee,Personen met betalingsachterstand,2009,349,21928,0.01592
Brecht,11009,Nee,Personen met betalingsachterstand,2010,378,22146,0.01707
Brecht,11009,Nee,Personen met betalingsachterstand,2011,371,22386,0.01657
Brecht,11009,Nee,Personen met betalingsachterstand,2012,386,22544,0.01712
Brecht,11009,Nee,Personen met betalingsachterstand,2013,392,22686,0.01728
Brecht,11009,Nee,Personen met betalingsachterstand,2014,402,22820,0.01762
Brecht,11009,Nee,Personen met betalingsachterstand,2015,427,23095,0.01849
Brecht,11009,Nee,Personen met betalingsachterstand,2016,424,23428,0.0181
Brecht,11009,Nee,Personen met betalingsachterstand,2017,388,23651,0.01641
Brecht,11009,Nee,Personen met betalingsachterstand,2018,413,23916,0.01727
Brecht,11009,Nee,Personen met betalingsachterstand,2019,403,24090,0.01673
Brecht,11009,Nee,Personen met betalingsachterstand,2020,406,24340,0.01668
Brecht,11009,Nee,Personen met betalingsachterstand,2021,367,24340,0.01508
Edegem,11013,Nee,Personen met betalingsachterstand,2007,196,17492,0.01121
Edegem,11013,Nee,Personen met betalingsachterstand,2008,184,17448,0.01055
Edegem,11013,Nee,Personen met betalingsachterstand,2009,192,17460,0.011
Edegem,11013,Nee,Personen met betalingsachterstand,2010,191,17421,0.01096
Edegem,11013,Nee,Personen met betalingsachterstand,2011,206,17394,0.01184
Edegem,11013,Nee,Personen met betalingsachterstand,2012,207,17435,0.01187
Edegem,11013,Nee,Personen met betalingsachterstand,2013,212,17496,0.01212
Edegem,11013,Nee,Personen met betalingsachterstand,2014,225,17470,0.01288
