Gemeente,NIS-code,Centrumstad,Indicator,Jaar,Procent
Vlaams Gewest,2000,/,Kansarmoede-index Kind en Gezin,2001,0.06038
Vlaams Gewest,2000,/,Kansarmoede-index Kind en Gezin,2002,0.06331
Vlaams Gewest,2000,/,Kansarmoede-index Kind en Gezin,2003,0.06407
Vlaams Gewest,2000,/,Kansarmoede-index Kind en Gezin,2004,0.0639
Vlaams Gewest,2000,/,Kansarmoede-index Kind en Gezin,2005,0.06494
Vlaams Gewest,2000,/,Kansarmoede-index Kind en Gezin,2006,0.06892
Vlaams Gewest,2000,/,Kansarmoede-index Kind en Gezin,2007,0.07417
Vlaams Gewest,2000,/,Kansarmoede-index Kind en Gezin,2008,0.0788
Vlaams Gewest,2000,/,Kansarmoede-index Kind en Gezin,2009,0.08157
Vlaams Gewest,2000,/,Kansarmoede-index Kind en Gezin,2010,0.08585
Vlaams Gewest,2000,/,Kansarmoede-index Kind en Gezin,2011,0.09749
Vlaams Gewest,2000,/,Kansarmoede-index Kind en Gezin,2012,0.10454
Vlaams Gewest,2000,/,Kansarmoede-index Kind en Gezin,2013,0.11186
Vlaams Gewest,2000,/,Kansarmoede-index Kind en Gezin,2014,0.11382
Vlaams Gewest,2000,/,Kansarmoede-index Kind en Gezin,2015,0.12141
Vlaams Gewest,2000,/,Kansarmoede-index Kind en Gezin,2016,0.12822
Vlaams Gewest,2000,/,Kansarmoede-index Kind en Gezin,2017,0.13772
Vlaams Gewest,2000,/,Kansarmoede-index Kind en Gezin,2018,0.14064
Vlaams Gewest,2000,/,Kansarmoede-index Kind en Gezin,2019,0.14021
Vlaams Gewest,2000,/,Kansarmoede-index Kind en Gezin,2020,0.13657
Vlaams Gewest,2000,/,Kansarmoede-index Kind en Gezin,2021,0.12717
Aartselaar,11001,Nee,Kansarmoede-index Kind en Gezin,2001,0.0
Aartselaar,11001,Nee,Kansarmoede-index Kind en Gezin,2002,0.00225
Aartselaar,11001,Nee,Kansarmoede-index Kind en Gezin,2003,0.00253
Aartselaar,11001,Nee,Kansarmoede-index Kind en Gezin,2004,0.0
Aartselaar,11001,Nee,Kansarmoede-index Kind en Gezin,2005,0.0
Aartselaar,11001,Nee,Kansarmoede-index Kind en Gezin,2006,0.00487
Aartselaar,11001,Nee,Kansarmoede-index Kind en Gezin,2007,0.02513
Aartselaar,11001,Nee,Kansarmoede-index Kind en Gezin,2008,0.01995
Aartselaar,11001,Nee,Kansarmoede-index Kind en Gezin,2009,0.01064
Aartselaar,11001,Nee,Kansarmoede-index Kind en Gezin,2010,0.00549
Aartselaar,11001,Nee,Kansarmoede-index Kind en Gezin,2011,0.00573
Aartselaar,11001,Nee,Kansarmoede-index Kind en Gezin,2012,0.01983
Aartselaar,11001,Nee,Kansarmoede-index Kind en Gezin,2013,0.03371
Aartselaar,11001,Nee,Kansarmoede-index Kind en Gezin,2014,0.03846
Aartselaar,11001,Nee,Kansarmoede-index Kind en Gezin,2015,0.04098
Aartselaar,11001,Nee,Kansarmoede-index Kind en Gezin,2016,0.03846
Aartselaar,11001,Nee,Kansarmoede-index Kind en Gezin,2017,0.04644
Aartselaar,11001,Nee,Kansarmoede-index Kind en Gezin,2018,0.03988
Aartselaar,11001,Nee,Kansarmoede-index Kind en Gezin,2019,0.05747
Aartselaar,11001,Nee,Kansarmoede-index Kind en Gezin,2020,0.08333
Aartselaar,11001,Nee,Kansarmoede-index Kind en Gezin,2021,0.06767
Antwerpen,11002,Ja,Kansarmoede-index Kind en Gezin,2001,0.16344
Antwerpen,11002,Ja,Kansarmoede-index Kind en Gezin,2002,0.19247
Antwerpen,11002,Ja,Kansarmoede-index Kind en Gezin,2003,0.20223
Antwerpen,11002,Ja,Kansarmoede-index Kind en Gezin,2004,0.20991
Antwerpen,11002,Ja,Kansarmoede-index Kind en Gezin,2005,0.21955
Antwerpen,11002,Ja,Kansarmoede-index Kind en Gezin,2006,0.22974
Antwerpen,11002,Ja,Kansarmoede-index Kind en Gezin,2007,0.23595
Antwerpen,11002,Ja,Kansarmoede-index Kind en Gezin,2008,0.23391
Antwerpen,11002,Ja,Kansarmoede-index Kind en Gezin,2009,0.22776
Antwerpen,11002,Ja,Kansarmoede-index Kind en Gezin,2010,0.22653
Antwerpen,11002,Ja,Kansarmoede-index Kind en Gezin,2011,0.23953
Antwerpen,11002,Ja,Kansarmoede-index Kind en Gezin,2012,0.25072
Antwerpen,11002,Ja,Kansarmoede-index Kind en Gezin,2013,0.26102
Antwerpen,11002,Ja,Kansarmoede-index Kind en Gezin,2014,0.26444
Antwerpen,11002,Ja,Kansarmoede-index Kind en Gezin,2015,0.27074
Antwerpen,11002,Ja,Kansarmoede-index Kind en Gezin,2016,0.27663
Antwerpen,11002,Ja,Kansarmoede-index Kind en Gezin,2017,0.29554
Antwerpen,11002,Ja,Kansarmoede-index Kind en Gezin,2018,0.30315
Antwerpen,11002,Ja,Kansarmoede-index Kind en Gezin,2019,0.30367
Antwerpen,11002,Ja,Kansarmoede-index Kind en Gezin,2020,0.29573
Antwerpen,11002,Ja,Kansarmoede-index Kind en Gezin,2021,0.2732
Boechout,11004,Nee,Kansarmoede-index Kind en Gezin,2001,0.01604
Boechout,11004,Nee,Kansarmoede-index Kind en Gezin,2002,0.03209
Boechout,11004,Nee,Kansarmoede-index Kind en Gezin,2003,0.01983
