Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Aantal personen van 0 tot en met 59 jaar dat leeft in een gezin met zeer lage werkintensiteit,Aantal inwoners van 0 tot en met 59 jaar (KSZ-cijfers),Procent
Vlaams Gewest,2000,/,Personen in gezin met zeer lage werkintensiteit,2009,492870,4708839,0.104669
Vlaams Gewest,2000,/,Personen in gezin met zeer lage werkintensiteit,2010,533890,4725786,0.112974
Vlaams Gewest,2000,/,Personen in gezin met zeer lage werkintensiteit,2011,547403,4761420,0.114966
Vlaams Gewest,2000,/,Personen in gezin met zeer lage werkintensiteit,2012,538919,4780375,0.112736
Vlaams Gewest,2000,/,Personen in gezin met zeer lage werkintensiteit,2013,541230,4787744,0.113045
Vlaams Gewest,2000,/,Personen in gezin met zeer lage werkintensiteit,2014,551068,4788533,0.115081
Vlaams Gewest,2000,/,Personen in gezin met zeer lage werkintensiteit,2015,553414,4788713,0.115566
Vlaams Gewest,2000,/,Personen in gezin met zeer lage werkintensiteit,2016,551989,4793936,0.115143
Vlaams Gewest,2000,/,Personen in gezin met zeer lage werkintensiteit,2017,530925,4795799,0.110706
Vlaams Gewest,2000,/,Personen in gezin met zeer lage werkintensiteit,2018,512913,4798272,0.106895
Vlaams Gewest,2000,/,Personen in gezin met zeer lage werkintensiteit,2019,496604,4803408,0.103386
Vlaams Gewest,2000,/,Personen in gezin met zeer lage werkintensiteit,2020,480144,4811602,0.0997888
Aartselaar,11001,Nee,Personen in gezin met zeer lage werkintensiteit,2009,638,10470,0.060936
Aartselaar,11001,Nee,Personen in gezin met zeer lage werkintensiteit,2010,659,10373,0.0635303
Aartselaar,11001,Nee,Personen in gezin met zeer lage werkintensiteit,2011,671,10227,0.0656106
Aartselaar,11001,Nee,Personen in gezin met zeer lage werkintensiteit,2012,679,10100,0.0672277
Aartselaar,11001,Nee,Personen in gezin met zeer lage werkintensiteit,2013,696,10018,0.0694749
Aartselaar,11001,Nee,Personen in gezin met zeer lage werkintensiteit,2014,695,9916,0.0700887
Aartselaar,11001,Nee,Personen in gezin met zeer lage werkintensiteit,2015,638,9777,0.0652552
Aartselaar,11001,Nee,Personen in gezin met zeer lage werkintensiteit,2016,664,9810,0.067686
Aartselaar,11001,Nee,Personen in gezin met zeer lage werkintensiteit,2017,636,9734,0.065338
Aartselaar,11001,Nee,Personen in gezin met zeer lage werkintensiteit,2018,638,9714,0.0656784
Aartselaar,11001,Nee,Personen in gezin met zeer lage werkintensiteit,2019,581,9695,0.0599278
Aartselaar,11001,Nee,Personen in gezin met zeer lage werkintensiteit,2020,637,9783,0.065113
Antwerpen,11002,Ja,Personen in gezin met zeer lage werkintensiteit,2009,70876,364291,0.194559
Antwerpen,11002,Ja,Personen in gezin met zeer lage werkintensiteit,2010,79662,369975,0.215317
Antwerpen,11002,Ja,Personen in gezin met zeer lage werkintensiteit,2011,86836,382804,0.226842
Antwerpen,11002,Ja,Personen in gezin met zeer lage werkintensiteit,2012,87228,390882,0.223157
Antwerpen,11002,Ja,Personen in gezin met zeer lage werkintensiteit,2013,88687,396194,0.223847
Antwerpen,11002,Ja,Personen in gezin met zeer lage werkintensiteit,2014,89886,397808,0.225953
Antwerpen,11002,Ja,Personen in gezin met zeer lage werkintensiteit,2015,90339,399242,0.226276
Antwerpen,11002,Ja,Personen in gezin met zeer lage werkintensiteit,2016,88499,401593,0.22037
Antwerpen,11002,Ja,Personen in gezin met zeer lage werkintensiteit,2017,84390,403605,0.209091
Antwerpen,11002,Ja,Personen in gezin met zeer lage werkintensiteit,2018,80754,405584,0.199105
Antwerpen,11002,Ja,Personen in gezin met zeer lage werkintensiteit,2019,77294,408795,0.189078
Antwerpen,11002,Ja,Personen in gezin met zeer lage werkintensiteit,2020,74199,412073,0.180063
Boechout,11004,Nee,Personen in gezin met zeer lage werkintensiteit,2009,522,9624,0.0542394
Boechout,11004,Nee,Personen in gezin met zeer lage werkintensiteit,2010,600,9706,0.0618174
Boechout,11004,Nee,Personen in gezin met zeer lage werkintensiteit,2011,622,9669,0.0643293
Boechout,11004,Nee,Personen in gezin met zeer lage werkintensiteit,2012,582,9593,0.0606692
Boechout,11004,Nee,Personen in gezin met zeer lage werkintensiteit,2013,597,9548,0.0625262
Boechout,11004,Nee,Personen in gezin met zeer lage werkintensiteit,2014,576,9546,0.0603394
Boechout,11004,Nee,Personen in gezin met zeer lage werkintensiteit,2015,585,9437,0.06199
Boechout,11004,Nee,Personen in gezin met zeer lage werkintensiteit,2016,637,9369,0.0679902
Boechout,11004,Nee,Personen in gezin met zeer lage werkintensiteit,2017,615,9349,0.0657824
Boechout,11004,Nee,Personen in gezin met zeer lage werkintensiteit,2018,677,9426,0.0718226
Boechout,11004,Nee,Personen in gezin met zeer lage werkintensiteit,2019,677,9466,0.0715191
Boechout,11004,Nee,Personen in gezin met zeer lage werkintensiteit,2020,654,9408,0.0695153
Boom,11005,Nee,Personen in gezin met zeer lage werkintensiteit,2009,1232,12531,0.0983162
Boom,11005,Nee,Personen in gezin met zeer lage werkintensiteit,2010,1541,12650,0.121818
Boom,11005,Nee,Personen in gezin met zeer lage werkintensiteit,2011,1605,12927,0.124159
Boom,11005,Nee,Personen in gezin met zeer lage werkintensiteit,2012,1513,13122,0.115303
Boom,11005,Nee,Personen in gezin met zeer lage werkintensiteit,2013,1728,13216,0.130751
Boom,11005,Nee,Personen in gezin met zeer lage werkintensiteit,2014,1785,13216,0.135064
Boom,11005,Nee,Personen in gezin met zeer lage werkintensiteit,2015,1765,13527,0.13048
Boom,11005,Nee,Personen in gezin met zeer lage werkintensiteit,2016,1812,13682,0.132437
Boom,11005,Nee,Personen in gezin met zeer lage werkintensiteit,2017,1672,13638,0.122599
Boom,11005,Nee,Personen in gezin met zeer lage werkintensiteit,2018,1530,13753,0.111248
Boom,11005,Nee,Personen in gezin met zeer lage werkintensiteit,2019,1540,14035,0.109726
Boom,11005,Nee,Personen in gezin met zeer lage werkintensiteit,2020,1525,14307,0.106591
Borsbeek,11007,Nee,Personen in gezin met zeer lage werkintensiteit,2009,613,7702,0.0795897
Borsbeek,11007,Nee,Personen in gezin met zeer lage werkintensiteit,2010,687,7683,0.0894182
Borsbeek,11007,Nee,Personen in gezin met zeer lage werkintensiteit,2011,724,7696,0.0940748
Borsbeek,11007,Nee,Personen in gezin met zeer lage werkintensiteit,2012,725,7683,0.0943642
Borsbeek,11007,Nee,Personen in gezin met zeer lage werkintensiteit,2013,743,7665,0.0969341
Borsbeek,11007,Nee,Personen in gezin met zeer lage werkintensiteit,2014,788,7767,0.101455
Borsbeek,11007,Nee,Personen in gezin met zeer lage werkintensiteit,2015,834,7742,0.107724
Borsbeek,11007,Nee,Personen in gezin met zeer lage werkintensiteit,2016,802,7783,0.103045
Borsbeek,11007,Nee,Personen in gezin met zeer lage werkintensiteit,2017,816,7801,0.104602
Borsbeek,11007,Nee,Personen in gezin met zeer lage werkintensiteit,2018,830,7834,0.105948
Borsbeek,11007,Nee,Personen in gezin met zeer lage werkintensiteit,2019,819,7935,0.103214
Borsbeek,11007,Nee,Personen in gezin met zeer lage werkintensiteit,2020,852,7988,0.10666
Brasschaat,11008,Nee,Personen in gezin met zeer lage werkintensiteit,2009,2786,27195,0.102445
Brasschaat,11008,Nee,Personen in gezin met zeer lage werkintensiteit,2010,2819,26967,0.104535
Brasschaat,11008,Nee,Personen in gezin met zeer lage werkintensiteit,2011,2850,27011,0.105513
Brasschaat,11008,Nee,Personen in gezin met zeer lage werkintensiteit,2012,2870,26948,0.106501
Brasschaat,11008,Nee,Personen in gezin met zeer lage werkintensiteit,2013,2810,26718,0.105173
Brasschaat,11008,Nee,Personen in gezin met zeer lage werkintensiteit,2014,2936,26661,0.110123
Brasschaat,11008,Nee,Personen in gezin met zeer lage werkintensiteit,2015,2896,26384,0.109763
Brasschaat,11008,Nee,Personen in gezin met zeer lage werkintensiteit,2016,2977,26262,0.113358
Brasschaat,11008,Nee,Personen in gezin met zeer lage werkintensiteit,2017,2876,26154,0.109964
Brasschaat,11008,Nee,Personen in gezin met zeer lage werkintensiteit,2018,2761,26034,0.106054
Brasschaat,11008,Nee,Personen in gezin met zeer lage werkintensiteit,2019,2665,25852,0.103087
Brasschaat,11008,Nee,Personen in gezin met zeer lage werkintensiteit,2020,2616,25817,0.101329
Brecht,11009,Nee,Personen in gezin met zeer lage werkintensiteit,2009,1685,21729,0.0775461
Brecht,11009,Nee,Personen in gezin met zeer lage werkintensiteit,2010,1741,21756,0.0800239
Brecht,11009,Nee,Personen in gezin met zeer lage werkintensiteit,2011,1736,21841,0.0794835
