Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Totaal netto belastbaar inkomen (in miljoen euro),Aantal inwoners,"Gemiddeld inkomen (in euro), per inwoner"
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per inwoner",1997,61581.5,5898824,10439.6
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per inwoner",1998,64143.6,5912382,10849.0
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per inwoner",1999,66914.7,5926838,11290.1
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per inwoner",2000,70098.7,5940251,11800.6
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per inwoner",2001,74782.3,5952552,12563.1
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per inwoner",2002,77804.3,5972781,13026.5
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per inwoner",2003,80988.2,5995553,13508.1
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per inwoner",2004,84570.1,6016024,14057.5
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per inwoner",2005,87782.1,6043161,14525.9
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per inwoner",2006,91662.6,6078600,15079.6
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per inwoner",2007,95819.6,6117440,15663.3
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per inwoner",2008,100577.0,6161438,16323.6
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per inwoner",2009,103191.0,6208877,16620.0
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per inwoner",2010,104681.0,6251983,16743.6
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per inwoner",2011,108888.0,6306638,17265.6
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per inwoner",2012,113374.0,6350765,17852.1
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per inwoner",2013,116438.0,6381859,18245.2
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per inwoner",2014,122107.0,6410705,19047.4
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per inwoner",2015,122886.0,6444127,19069.4
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per inwoner",2016,124466.0,6477804,19214.2
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per inwoner",2017,128677.0,6516011,19747.8
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per inwoner",2018,132603.0,6552967,20235.6
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per inwoner",2019,135902.0,6589069,20625.3
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per inwoner",2020,140236.0,6629143,21154.4
Aartselaar,11001,Nee,"Gemiddeld inkomen, per inwoner",1997,193.33,14380,13444.4
Aartselaar,11001,Nee,"Gemiddeld inkomen, per inwoner",1998,206.56,14270,14475.1
Aartselaar,11001,Nee,"Gemiddeld inkomen, per inwoner",1999,216.35,14393,15031.6
Aartselaar,11001,Nee,"Gemiddeld inkomen, per inwoner",2000,223.63,14438,15489.0
Aartselaar,11001,Nee,"Gemiddeld inkomen, per inwoner",2001,242.1,14440,16765.9
Aartselaar,11001,Nee,"Gemiddeld inkomen, per inwoner",2002,238.83,14378,16610.8
Aartselaar,11001,Nee,"Gemiddeld inkomen, per inwoner",2003,249.385,14317,17418.8
Aartselaar,11001,Nee,"Gemiddeld inkomen, per inwoner",2004,254.04,14237,17843.7
Aartselaar,11001,Nee,"Gemiddeld inkomen, per inwoner",2005,260.615,14272,18260.6
Aartselaar,11001,Nee,"Gemiddeld inkomen, per inwoner",2006,267.383,14375,18600.6
Aartselaar,11001,Nee,"Gemiddeld inkomen, per inwoner",2007,279.815,14325,19533.4
Aartselaar,11001,Nee,"Gemiddeld inkomen, per inwoner",2008,285.969,14273,20035.7
Aartselaar,11001,Nee,"Gemiddeld inkomen, per inwoner",2009,294.151,14265,20620.5
Aartselaar,11001,Nee,"Gemiddeld inkomen, per inwoner",2010,291.155,14290,20374.7
Aartselaar,11001,Nee,"Gemiddeld inkomen, per inwoner",2011,303.129,14311,21181.6
Aartselaar,11001,Nee,"Gemiddeld inkomen, per inwoner",2012,311.339,14281,21800.9
Aartselaar,11001,Nee,"Gemiddeld inkomen, per inwoner",2013,312.061,14226,21936.0
