Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,"Totaal netto belastbaar inkomen 
(in miljoen euro)","Aantal fiscale aangiften 
(zonder nulaangiften)","Gemiddeld inkomen, per aangifte 
(in euro)"
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per aangifte",2008,100577.0,3589172,28022.3
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per aangifte",2009,103191.0,3591381,28733.1
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per aangifte",2010,104681.0,3621888,28902.3
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per aangifte",2011,108888.0,3622583,30058.1
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per aangifte",2012,113374.0,3588650,31592.5
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per aangifte",2013,116438.0,3607684,32275.0
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per aangifte",2014,122107.0,3642974,33518.6
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per aangifte",2015,122886.0,3666095,33519.6
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per aangifte",2016,124466.0,3688596,33743.4
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per aangifte",2017,128677.0,3719171,34598.2
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per aangifte",2018,132603.0,3747118,35388.0
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per aangifte",2019,135902.0,3756242,36180.2
Vlaams Gewest,2000,/,"Gemiddeld inkomen, per aangifte",2020,140236.0,3753640,37359.9
Aartselaar,11001,Nee,"Gemiddeld inkomen, per aangifte",1991,151.74,6286,24139.4
Aartselaar,11001,Nee,"Gemiddeld inkomen, per aangifte",1992,165.64,6250,26502.4
Aartselaar,11001,Nee,"Gemiddeld inkomen, per aangifte",1993,173.55,6345,27352.2
Aartselaar,11001,Nee,"Gemiddeld inkomen, per aangifte",1994,177.34,6240,28419.9
Aartselaar,11001,Nee,"Gemiddeld inkomen, per aangifte",1995,184.68,6467,28557.3
Aartselaar,11001,Nee,"Gemiddeld inkomen, per aangifte",1996,190.06,6542,29052.3
Aartselaar,11001,Nee,"Gemiddeld inkomen, per aangifte",1997,193.33,6539,29565.7
Aartselaar,11001,Nee,"Gemiddeld inkomen, per aangifte",1998,206.56,6847,30168.0
Aartselaar,11001,Nee,"Gemiddeld inkomen, per aangifte",1999,216.35,7021,30814.7
Aartselaar,11001,Nee,"Gemiddeld inkomen, per aangifte",2000,223.63,7017,31869.7
Aartselaar,11001,Nee,"Gemiddeld inkomen, per aangifte",2001,242.1,7161,33808.1
Aartselaar,11001,Nee,"Gemiddeld inkomen, per aangifte",2002,238.83,7332,32573.7
Aartselaar,11001,Nee,"Gemiddeld inkomen, per aangifte",2003,249.385,7346,33948.4
Aartselaar,11001,Nee,"Gemiddeld inkomen, per aangifte",2004,254.04,7761,32732.9
Aartselaar,11001,Nee,"Gemiddeld inkomen, per aangifte",2005,260.615,8065,32314.4
Aartselaar,11001,Nee,"Gemiddeld inkomen, per aangifte",2006,267.383,8155,32787.7
Aartselaar,11001,Nee,"Gemiddeld inkomen, per aangifte",2007,279.815,8155,34312.1
Aartselaar,11001,Nee,"Gemiddeld inkomen, per aangifte",2008,285.969,8285,34516.5
Aartselaar,11001,Nee,"Gemiddeld inkomen, per aangifte",2009,294.151,8236,35715.3
Aartselaar,11001,Nee,"Gemiddeld inkomen, per aangifte",2010,291.155,8280,35163.7
Aartselaar,11001,Nee,"Gemiddeld inkomen, per aangifte",2011,303.129,8145,37216.6
Aartselaar,11001,Nee,"Gemiddeld inkomen, per aangifte",2012,311.339,8117,38356.4
Aartselaar,11001,Nee,"Gemiddeld inkomen, per aangifte",2013,312.061,8075,38645.3
Aartselaar,11001,Nee,"Gemiddeld inkomen, per aangifte",2014,329.147,8032,40979.5
Aartselaar,11001,Nee,"Gemiddeld inkomen, per aangifte",2015,321.779,8094,39755.2
Aartselaar,11001,Nee,"Gemiddeld inkomen, per aangifte",2016,323.548,8132,39787.0
Aartselaar,11001,Nee,"Gemiddeld inkomen, per aangifte",2017,337.06,8225,40979.9
Aartselaar,11001,Nee,"Gemiddeld inkomen, per aangifte",2018,341.53,8171,41797.8
Aartselaar,11001,Nee,"Gemiddeld inkomen, per aangifte",2019,352.691,8169,43174.3
Aartselaar,11001,Nee,"Gemiddeld inkomen, per aangifte",2020,356.406,8169,43629.1
Antwerpen,11002,Ja,"Gemiddeld inkomen, per aangifte",1991,3905.81,209842,18613.1
Antwerpen,11002,Ja,"Gemiddeld inkomen, per aangifte",1992,4164.26,207223,20095.5
