Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Aantal personen met een (equivalent) leefloon,Aantal inwoners,Procent
Vlaams Gewest,2000,/,Personen met (equivalent) leefloon,2003,44864,5995553,0.00748288
Vlaams Gewest,2000,/,Personen met (equivalent) leefloon,2004,43295,6016024,0.00719661
Vlaams Gewest,2000,/,Personen met (equivalent) leefloon,2005,39972,6043161,0.00661442
Vlaams Gewest,2000,/,Personen met (equivalent) leefloon,2006,37845,6078600,0.00622594
Vlaams Gewest,2000,/,Personen met (equivalent) leefloon,2007,35382,6117440,0.00578379
Vlaams Gewest,2000,/,Personen met (equivalent) leefloon,2008,31435,6161438,0.00510189
Vlaams Gewest,2000,/,Personen met (equivalent) leefloon,2009,31026,6208877,0.00499704
Vlaams Gewest,2000,/,Personen met (equivalent) leefloon,2010,35573,6251983,0.00568987
Vlaams Gewest,2000,/,Personen met (equivalent) leefloon,2011,35869,6306638,0.0056875
Vlaams Gewest,2000,/,Personen met (equivalent) leefloon,2012,33937,6350765,0.00534377
Vlaams Gewest,2000,/,Personen met (equivalent) leefloon,2013,31842,6381859,0.00498946
Vlaams Gewest,2000,/,Personen met (equivalent) leefloon,2014,31472,6410705,0.00490929
Vlaams Gewest,2000,/,Personen met (equivalent) leefloon,2015,32256,6444127,0.00500549
Vlaams Gewest,2000,/,Personen met (equivalent) leefloon,2016,34861,6477804,0.00538161
Vlaams Gewest,2000,/,Personen met (equivalent) leefloon,2017,39117,6516011,0.00600321
Vlaams Gewest,2000,/,Personen met (equivalent) leefloon,2018,41012,6552967,0.00625854
Vlaams Gewest,2000,/,Personen met (equivalent) leefloon,2019,41446,6589069,0.00629011
Vlaams Gewest,2000,/,Personen met (equivalent) leefloon,2020,39782,6629143,0.00600108
Vlaams Gewest,2000,/,Personen met (equivalent) leefloon,2021,43843,6653062,0.0065899
Vlaams Gewest,2000,/,Personen met (equivalent) leefloon,2022,41381,6698876,0.0061773
Aartselaar,11001,Nee,Personen met (equivalent) leefloon,2003,122,14317,0.00852134
Aartselaar,11001,Nee,Personen met (equivalent) leefloon,2004,117,14237,0.00821802
Aartselaar,11001,Nee,Personen met (equivalent) leefloon,2005,86,14272,0.00602578
Aartselaar,11001,Nee,Personen met (equivalent) leefloon,2006,74,14375,0.00514783
Aartselaar,11001,Nee,Personen met (equivalent) leefloon,2007,64,14325,0.00446771
Aartselaar,11001,Nee,Personen met (equivalent) leefloon,2008,52,14273,0.00364324
