Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,"Aantal personen met een (equivalent) leefloon, met een IGO of GIB, met een IVT en/of met een IT",Aantal inwoners,Procent
Vlaams Gewest,2000,/,Personen met sociale bijstandsuitkering,2011,168399,6306638,0.0267019
Vlaams Gewest,2000,/,Personen met sociale bijstandsuitkering,2012,168047,6350765,0.0264609
Vlaams Gewest,2000,/,Personen met sociale bijstandsuitkering,2013,169040,6381859,0.0264876
Vlaams Gewest,2000,/,Personen met sociale bijstandsuitkering,2014,172508,6410705,0.0269094
Vlaams Gewest,2000,/,Personen met sociale bijstandsuitkering,2015,175587,6444127,0.0272476
Vlaams Gewest,2000,/,Personen met sociale bijstandsuitkering,2016,179235,6477804,0.0276691
Vlaams Gewest,2000,/,Personen met sociale bijstandsuitkering,2017,183165,6516011,0.02811
Vlaams Gewest,2000,/,Personen met sociale bijstandsuitkering,2018,184296,6552967,0.0281241
Vlaams Gewest,2000,/,Personen met sociale bijstandsuitkering,2019,188849,6589069,0.028661
Vlaams Gewest,2000,/,Personen met sociale bijstandsuitkering,2020,192183,6629143,0.0289906
Vlaams Gewest,2000,/,Personen met sociale bijstandsuitkering,2021,200011,6653062,0.030063
Vlaams Gewest,2000,/,Personen met sociale bijstandsuitkering,2022,204883,6698876,0.0305847
Aartselaar,11001,Nee,Personen met sociale bijstandsuitkering,2011,195,14311,0.0136259
Aartselaar,11001,Nee,Personen met sociale bijstandsuitkering,2012,188,14281,0.0131643
Aartselaar,11001,Nee,Personen met sociale bijstandsuitkering,2013,204,14226,0.0143399
Aartselaar,11001,Nee,Personen met sociale bijstandsuitkering,2014,210,14207,0.0147814
Aartselaar,11001,Nee,Personen met sociale bijstandsuitkering,2015,210,14157,0.0148337
Aartselaar,11001,Nee,Personen met sociale bijstandsuitkering,2016,207,14262,0.0145141
Aartselaar,11001,Nee,Personen met sociale bijstandsuitkering,2017,196,14222,0.0137815
Aartselaar,11001,Nee,Personen met sociale bijstandsuitkering,2018,199,14304,0.0139122
Aartselaar,11001,Nee,Personen met sociale bijstandsuitkering,2019,203,14293,0.0142028
Aartselaar,11001,Nee,Personen met sociale bijstandsuitkering,2020,221,14427,0.0153185
Aartselaar,11001,Nee,Personen met sociale bijstandsuitkering,2021,226,14455,0.0156347
Aartselaar,11001,Nee,Personen met sociale bijstandsuitkering,2022,222,14610,0.0151951
Antwerpen,11002,Ja,Personen met sociale bijstandsuitkering,2011,19196,493517,0.0388963
Antwerpen,11002,Ja,Personen met sociale bijstandsuitkering,2012,19219,502604,0.0382389
Antwerpen,11002,Ja,Personen met sociale bijstandsuitkering,2013,18928,507911,0.0372664
Antwerpen,11002,Ja,Personen met sociale bijstandsuitkering,2014,19368,510610,0.0379311
Antwerpen,11002,Ja,Personen met sociale bijstandsuitkering,2015,19869,513570,0.038688
Antwerpen,11002,Ja,Personen met sociale bijstandsuitkering,2016,20967,517042,0.0405518
Antwerpen,11002,Ja,Personen met sociale bijstandsuitkering,2017,22104,520504,0.0424665
Antwerpen,11002,Ja,Personen met sociale bijstandsuitkering,2018,21884,523248,0.0418234
Antwerpen,11002,Ja,Personen met sociale bijstandsuitkering,2019,21702,525935,0.0412637
Antwerpen,11002,Ja,Personen met sociale bijstandsuitkering,2020,21545,529247,0.0407088
Antwerpen,11002,Ja,Personen met sociale bijstandsuitkering,2021,22875,529417,0.0432079
Antwerpen,11002,Ja,Personen met sociale bijstandsuitkering,2022,23213,530630,0.0437461
Boechout,11004,Nee,Personen met sociale bijstandsuitkering,2011,284,12728,0.022313
Boechout,11004,Nee,Personen met sociale bijstandsuitkering,2012,292,12724,0.0229488
Boechout,11004,Nee,Personen met sociale bijstandsuitkering,2013,283,12774,0.0221544
Boechout,11004,Nee,Personen met sociale bijstandsuitkering,2014,286,12804,0.0223368
Boechout,11004,Nee,Personen met sociale bijstandsuitkering,2015,291,12792,0.0227486
Boechout,11004,Nee,Personen met sociale bijstandsuitkering,2016,298,12844,0.0232015
Boechout,11004,Nee,Personen met sociale bijstandsuitkering,2017,305,12908,0.0236288
Boechout,11004,Nee,Personen met sociale bijstandsuitkering,2018,316,13120,0.0240854
