Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Geslacht,Type vergoeding,Aantal personen met een inkomensvervangende tegemoetkoming voor personen met een handicap ,Aantal inwoners,Procent
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2010,Totaal,Inkomensverv. tegemoetkoming,5790.0,6251983,0.000926106
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2010,Totaal,Integratietegemoetkoming,33309.0,6251983,0.00532775
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2010,Totaal,IVT en IT,37200.0,6251983,0.00595011
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2010,Mannen,Inkomensverv. tegemoetkoming,2305.0,6251983,0.000368683
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2010,Mannen,Integratietegemoetkoming,16483.0,6251983,0.00263644
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2010,Mannen,IVT en IT,18019.0,6251983,0.00288213
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2010,Vrouwen,Inkomensverv. tegemoetkoming,3485.0,6251983,0.000557423
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2010,Vrouwen,Integratietegemoetkoming,16826.0,6251983,0.00269131
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2010,Vrouwen,IVT en IT,19181.0,6251983,0.00306799
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2011,Totaal,Inkomensverv. tegemoetkoming,5754.0,6306638,0.000912372
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2011,Totaal,Integratietegemoetkoming,32728.0,6306638,0.00518945
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2011,Totaal,IVT en IT,38726.0,6306638,0.00614051
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2011,Mannen,Inkomensverv. tegemoetkoming,2264.0,6306638,0.000358987
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2011,Mannen,Integratietegemoetkoming,15725.0,6306638,0.0024934
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2011,Mannen,IVT en IT,18807.0,6306638,0.0029821
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2011,Vrouwen,Inkomensverv. tegemoetkoming,3490.0,6306638,0.000553385
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2011,Vrouwen,Integratietegemoetkoming,17003.0,6306638,0.00269605
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2011,Vrouwen,IVT en IT,19919.0,6306638,0.00315842
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2012,Totaal,Inkomensverv. tegemoetkoming,5816.0,6350765,0.000915795
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2012,Totaal,Integratietegemoetkoming,34230.0,6350765,0.0053899
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2012,Totaal,IVT en IT,39056.0,6350765,0.00614981
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2012,Mannen,Inkomensverv. tegemoetkoming,2324.0,6350765,0.00036594
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2012,Mannen,Integratietegemoetkoming,16103.0,6350765,0.0025356
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2012,Mannen,IVT en IT,19155.0,6350765,0.00301617
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2012,Vrouwen,Inkomensverv. tegemoetkoming,3492.0,6350765,0.000549855
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2012,Vrouwen,Integratietegemoetkoming,18127.0,6350765,0.0028543
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2012,Vrouwen,IVT en IT,19901.0,6350765,0.00313364
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2013,Totaal,Inkomensverv. tegemoetkoming,5865.0,6381859,0.000919011
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2013,Totaal,Integratietegemoetkoming,34989.0,6381859,0.00548257
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2013,Totaal,IVT en IT,40285.0,6381859,0.00631242
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2013,Mannen,Inkomensverv. tegemoetkoming,2350.0,6381859,0.000368231
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2013,Mannen,Integratietegemoetkoming,16228.0,6381859,0.00254283
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2013,Mannen,IVT en IT,19906.0,6381859,0.00311915
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2013,Vrouwen,Inkomensverv. tegemoetkoming,3515.0,6381859,0.00055078
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2013,Vrouwen,Integratietegemoetkoming,18761.0,6381859,0.00293974
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2013,Vrouwen,IVT en IT,20379.0,6381859,0.00319327
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2014,Totaal,Inkomensverv. tegemoetkoming,5979.0,6410705,0.000932659
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2014,Totaal,Integratietegemoetkoming,36678.0,6410705,0.00572137
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2014,Totaal,IVT en IT,41073.0,6410705,0.00640694
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2014,Mannen,Inkomensverv. tegemoetkoming,2429.0,6410705,0.000378897
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2014,Mannen,Integratietegemoetkoming,16784.0,6410705,0.00261812
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2014,Mannen,IVT en IT,20512.0,6410705,0.00319965
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2014,Vrouwen,Inkomensverv. tegemoetkoming,3550.0,6410705,0.000553761
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2014,Vrouwen,Integratietegemoetkoming,19894.0,6410705,0.00310325
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2014,Vrouwen,IVT en IT,20561.0,6410705,0.00320729
Vlaams Gewest,2000,/,Personen met inkomensvervangende tegemoetkoming,2015,Totaal,Inkomensverv. tegemoetkoming,6054.0,6444127,0.00093946
