ID,Naam indicator 
AR_01,Personen met betalingsachterstand
AR_02,Energie-armoede huishoudens
AR_03,Kansarmoede-index Kind en Gezin
AR_05,Onderwijskansarmoede-indicator (OKI)
AR_06,Personen in gezin met zeer lage werkintensiteit
AR_07,"Personen in gezin met zeer lage werkintensiteit, naar herkomst"
AR_08,Kinderen in gezin met zeer lage werkintensiteit
AR_09,Aangiften groter dan 50.000 euro
AR_10,Fiscaal inkomen beneden kritische grens
AR_11,"Gemiddeld inkomen, per inwoner"
AR_12,"Gemiddeld inkomen, per aangifte"
AR_13,Personen met (equivalent) leefloon
AR_14,"Personen met (equivalent) leefloon, naar herkomst"
AR_15,Personen met Inkomensgarantie voor Ouderen
AR_16,Personen met verhoogde tegemoetkoming in ziekteverzekering
AR_17,Personen met sociale bijstandsuitkering
AR_18,Personen met inkomensvervangende tegemoetkoming
,
Meer info op onze website.,
