Gemeente,NIS-code,Centrumstad?,Indicator,Herkomst,Jaar,Aantal personen van 0 tot en met 59 jaar dat leeft in een gezin met zeer lage werkintensiteit naar herkomst,Aantal inwoners van 0 tot en met 59 jaar naar herkomst (KSZ-cijfers),Procent
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",België,2009,283407,3846800,0.0737
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU,2009,95541,404253,0.2363
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Niet-EU,2009,113898,457758,0.2488
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Andere landen,2009,39073,160036,0.2442
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU13,2009,10902,51020,0.2137
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Europa niet-EU,2009,15519,56369,0.2753
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Turkije en Maghreb,2009,59018,241050,0.2448
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",West- en Noord-EU15,2009,68744,259485,0.2649
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Zuid-EU15,2009,15594,93435,0.1669
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",België,2010,293282,3816300,0.0768
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU,2010,101872,418004,0.2437
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Niet-EU,2010,138710,491449,0.2822
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Andere landen,2010,45418,174049,0.261
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU13,2010,13652,58745,0.2324
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Europa niet-EU,2010,21076,63912,0.3298
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Turkije en Maghreb,2010,71903,253158,0.284
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",West- en Noord-EU15,2010,70623,262987,0.2685
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Zuid-EU15,2010,17342,96004,0.1806
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",België,2011,286088,3784960,0.0756
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU,2011,103579,434579,0.2383
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Niet-EU,2011,157728,541864,0.2911
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Andere landen,2011,54953,195702,0.2808
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU13,2011,15354,68706,0.2235
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Europa niet-EU,2011,31060,80075,0.3879
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Turkije en Maghreb,2011,71567,265923,0.2691
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",West- en Noord-EU15,2011,70119,266805,0.2628
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Zuid-EU15,2011,17889,98839,0.181
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",België,2012,277667,3752630,0.074
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU,2012,102510,452050,0.2268
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Niet-EU,2012,158736,575691,0.2757
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Andere landen,2012,58065,211804,0.2741
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU13,2012,15986,79307,0.2016
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Europa niet-EU,2012,30784,85892,0.3584
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Turkije en Maghreb,2012,69727,277827,0.251
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",West- en Noord-EU15,2012,68749,270642,0.254
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Zuid-EU15,2012,17574,101890,0.1725
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",België,2013,275502,3716180,0.0741
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU,2013,102844,468575,0.2195
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Niet-EU,2013,162884,602992,0.2701
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Andere landen,2013,61055,226631,0.2694
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU13,2013,16191,89350,0.1812
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Europa niet-EU,2013,29383,87660,0.3352
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Turkije en Maghreb,2013,72296,288540,0.2506
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",West- en Noord-EU15,2013,68252,273457,0.2496
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Zuid-EU15,2013,18207,105564,0.1725
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",België,2014,276700,3678450,0.0752
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU,2014,104932,484378,0.2166
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Niet-EU,2014,169428,625693,0.2708
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Andere landen,2014,64569,239313,0.2698
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU13,2014,17387,98579,0.1764
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Europa niet-EU,2014,28204,88205,0.3198
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Turkije en Maghreb,2014,76514,298028,0.2567
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",West- en Noord-EU15,2014,68494,276514,0.2477
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Zuid-EU15,2014,18865,109087,0.1729
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",België,2015,274538,3638890,0.0754
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU,2015,106050,501180,0.2116
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Niet-EU,2015,172823,648644,0.2664
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Andere landen,2015,67224,251271,0.2675
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU13,2015,18839,109185,0.1725
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Europa niet-EU,2015,27223,89519,0.3041
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Turkije en Maghreb,2015,78238,307710,0.2543
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",West- en Noord-EU15,2015,67585,279263,0.242
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Zuid-EU15,2015,19486,112591,0.1731
