Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Herkomst,Aantal personen met een (equivalent) leefloon naar herkomst,"Aantal inwoners naar herkomst 
(KSZ-cijfers)",Procent
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2009,Andere landen,7286,167456,0.0435
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2009,België,12748,5262420,0.0024
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2009,EU,2868,464247,0.0062
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2009,EU13,842,55144,0.0153
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2009,Europa niet-EU,4874,60256,0.0809
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2009,Niet-EU,16594,482851,0.0344
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2009,Turkije en Maghreb,4072,255133,0.016
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2009,West- en Noord-EU15,1440,304318,0.0047
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2009,Zuid-EU15,334,104775,0.0032
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2010,Andere landen,8651,182295,0.0475
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2010,België,14052,5252930,0.0027
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2010,EU,3681,481045,0.0077
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2010,EU13,1335,63258,0.0211
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2010,Europa niet-EU,6163,68238,0.0903
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2010,Niet-EU,19954,518864,0.0385
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2010,Turkije en Maghreb,4645,268326,0.0173
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2010,West- en Noord-EU15,1615,309902,0.0052
