Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Interne inwijking van vreemdelingen,Aantal inwoners,Verhouding per 1000 inwoners
Vlaams Gewest,2000,/,Interne inwijking van vreemdelingen,2000,12633,5940251,2.12668
Vlaams Gewest,2000,/,Interne inwijking van vreemdelingen,2001,12901,5952552,2.16731
Vlaams Gewest,2000,/,Interne inwijking van vreemdelingen,2002,13960,5972781,2.33727
Vlaams Gewest,2000,/,Interne inwijking van vreemdelingen,2003,14785,5995553,2.46599
Vlaams Gewest,2000,/,Interne inwijking van vreemdelingen,2004,16035,6016024,2.66538
Vlaams Gewest,2000,/,Interne inwijking van vreemdelingen,2005,16756,6043161,2.77272
Vlaams Gewest,2000,/,Interne inwijking van vreemdelingen,2006,18772,6078600,3.08821
Vlaams Gewest,2000,/,Interne inwijking van vreemdelingen,2007,20896,6117440,3.41581
Vlaams Gewest,2000,/,Interne inwijking van vreemdelingen,2008,23384,6161438,3.79522
Vlaams Gewest,2000,/,Interne inwijking van vreemdelingen,2009,24820,6208877,3.9975
Vlaams Gewest,2000,/,Interne inwijking van vreemdelingen,2010,29384,6251983,4.69995
Vlaams Gewest,2000,/,Interne inwijking van vreemdelingen,2011,31232,6306638,4.95224
Vlaams Gewest,2000,/,Interne inwijking van vreemdelingen,2012,32167,6350765,5.06506
Vlaams Gewest,2000,/,Interne inwijking van vreemdelingen,2013,33729,6381859,5.28514
Vlaams Gewest,2000,/,Interne inwijking van vreemdelingen,2014,35106,6410705,5.47615
Vlaams Gewest,2000,/,Interne inwijking van vreemdelingen,2015,37820,6444127,5.86891
Vlaams Gewest,2000,/,Interne inwijking van vreemdelingen,2016,45211,6477804,6.97937
Vlaams Gewest,2000,/,Interne inwijking van vreemdelingen,2017,48009,6516011,7.36785
Vlaams Gewest,2000,/,Interne inwijking van vreemdelingen,2018,49810,6552967,7.60114
Vlaams Gewest,2000,/,Interne inwijking van vreemdelingen,2019,47926,6589069,7.27356
Vlaams Gewest,2000,/,Interne inwijking van vreemdelingen,2020,46699,6629143,7.0445
Vlaams Gewest,2000,/,Interne inwijking van vreemdelingen,2021,51585,6653062,7.75357
Aartselaar,11001,Nee,Interne inwijking van vreemdelingen,2000,26,14438,1.8008
Aartselaar,11001,Nee,Interne inwijking van vreemdelingen,2001,17,14440,1.17729
Aartselaar,11001,Nee,Interne inwijking van vreemdelingen,2002,24,14378,1.66922
Aartselaar,11001,Nee,Interne inwijking van vreemdelingen,2003,44,14317,3.07327
Aartselaar,11001,Nee,Interne inwijking van vreemdelingen,2004,39,14237,2.73934
Aartselaar,11001,Nee,Interne inwijking van vreemdelingen,2005,42,14272,2.94283
Aartselaar,11001,Nee,Interne inwijking van vreemdelingen,2006,25,14375,1.73913
Aartselaar,11001,Nee,Interne inwijking van vreemdelingen,2007,31,14325,2.16405
Aartselaar,11001,Nee,Interne inwijking van vreemdelingen,2008,43,14273,3.01268
Aartselaar,11001,Nee,Interne inwijking van vreemdelingen,2009,37,14265,2.59376
Aartselaar,11001,Nee,Interne inwijking van vreemdelingen,2010,67,14290,4.68859
Aartselaar,11001,Nee,Interne inwijking van vreemdelingen,2011,46,14311,3.21431
Aartselaar,11001,Nee,Interne inwijking van vreemdelingen,2012,79,14281,5.53183
Aartselaar,11001,Nee,Interne inwijking van vreemdelingen,2013,62,14226,4.35822
Aartselaar,11001,Nee,Interne inwijking van vreemdelingen,2014,86,14207,6.05335
Aartselaar,11001,Nee,Interne inwijking van vreemdelingen,2015,89,14157,6.28664
Aartselaar,11001,Nee,Interne inwijking van vreemdelingen,2016,74,14262,5.18861
Aartselaar,11001,Nee,Interne inwijking van vreemdelingen,2017,140,14222,9.8439
Aartselaar,11001,Nee,Interne inwijking van vreemdelingen,2018,119,14304,8.31935
Aartselaar,11001,Nee,Interne inwijking van vreemdelingen,2019,137,14293,9.58511
Aartselaar,11001,Nee,Interne inwijking van vreemdelingen,2020,132,14427,9.14951
