Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Externe inwijking van vreemdelingen,Aantal inwoners,Verhouding per 1000 inwoners
Vlaams Gewest,2000,/,Externe inwijking van vreemdelingen,2000,23283,5940251,3.91953
Vlaams Gewest,2000,/,Externe inwijking van vreemdelingen,2001,27185,5952552,4.56695
Vlaams Gewest,2000,/,Externe inwijking van vreemdelingen,2002,29240,5972781,4.89554
Vlaams Gewest,2000,/,Externe inwijking van vreemdelingen,2003,29018,5995553,4.83992
Vlaams Gewest,2000,/,Externe inwijking van vreemdelingen,2004,29250,6016024,4.86202
Vlaams Gewest,2000,/,Externe inwijking van vreemdelingen,2005,31570,6043161,5.22409
Vlaams Gewest,2000,/,Externe inwijking van vreemdelingen,2006,34949,6078600,5.74951
Vlaams Gewest,2000,/,Externe inwijking van vreemdelingen,2007,41014,6117440,6.70444
Vlaams Gewest,2000,/,Externe inwijking van vreemdelingen,2008,43925,6161438,7.12902
Vlaams Gewest,2000,/,Externe inwijking van vreemdelingen,2009,40915,6208877,6.58976
Vlaams Gewest,2000,/,Externe inwijking van vreemdelingen,2010,45803,6251983,7.32616
Vlaams Gewest,2000,/,Externe inwijking van vreemdelingen,2011,49843,6306638,7.90326
Vlaams Gewest,2000,/,Externe inwijking van vreemdelingen,2012,46490,6350765,7.32038
Vlaams Gewest,2000,/,Externe inwijking van vreemdelingen,2013,44370,6381859,6.95252
Vlaams Gewest,2000,/,Externe inwijking van vreemdelingen,2014,46811,6410705,7.30201
Vlaams Gewest,2000,/,Externe inwijking van vreemdelingen,2015,47593,6444127,7.38548
Vlaams Gewest,2000,/,Externe inwijking van vreemdelingen,2016,48786,6477804,7.53126
Vlaams Gewest,2000,/,Externe inwijking van vreemdelingen,2017,51497,6516011,7.90315
Vlaams Gewest,2000,/,Externe inwijking van vreemdelingen,2018,53384,6552967,8.14654
Vlaams Gewest,2000,/,Externe inwijking van vreemdelingen,2019,60266,6589069,9.14636
Vlaams Gewest,2000,/,Externe inwijking van vreemdelingen,2020,48369,6629143,7.29642
Vlaams Gewest,2000,/,Externe inwijking van vreemdelingen,2021,55222,6653062,8.30024
Aartselaar,11001,Nee,Externe inwijking van vreemdelingen,2000,13,14438,0.9004
Aartselaar,11001,Nee,Externe inwijking van vreemdelingen,2001,18,14440,1.24654
Aartselaar,11001,Nee,Externe inwijking van vreemdelingen,2002,26,14378,1.80832
Aartselaar,11001,Nee,Externe inwijking van vreemdelingen,2003,14,14317,0.97786
Aartselaar,11001,Nee,Externe inwijking van vreemdelingen,2004,24,14237,1.68575
Aartselaar,11001,Nee,Externe inwijking van vreemdelingen,2005,31,14272,2.17209
Aartselaar,11001,Nee,Externe inwijking van vreemdelingen,2006,24,14375,1.66957
Aartselaar,11001,Nee,Externe inwijking van vreemdelingen,2007,57,14325,3.97906
Aartselaar,11001,Nee,Externe inwijking van vreemdelingen,2008,64,14273,4.48399
Aartselaar,11001,Nee,Externe inwijking van vreemdelingen,2009,40,14265,2.80407
Aartselaar,11001,Nee,Externe inwijking van vreemdelingen,2010,57,14290,3.9888
Aartselaar,11001,Nee,Externe inwijking van vreemdelingen,2011,39,14311,2.72518
Aartselaar,11001,Nee,Externe inwijking van vreemdelingen,2012,55,14281,3.85127
Aartselaar,11001,Nee,Externe inwijking van vreemdelingen,2013,44,14226,3.09293
Aartselaar,11001,Nee,Externe inwijking van vreemdelingen,2014,47,14207,3.30823
Aartselaar,11001,Nee,Externe inwijking van vreemdelingen,2015,68,14157,4.80328
Aartselaar,11001,Nee,Externe inwijking van vreemdelingen,2016,59,14262,4.13687
Aartselaar,11001,Nee,Externe inwijking van vreemdelingen,2017,67,14222,4.71101
Aartselaar,11001,Nee,Externe inwijking van vreemdelingen,2018,79,14304,5.52293
