Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Aantal personen van buitenlandse herkomst zonder personen van Nederlandse herkomst,Aantal inwoners ,Procent
Vlaams Gewest,2000,/,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2000,455198,5940251,0.0766294
Vlaams Gewest,2000,/,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2001,472279,5952552,0.0793406
Vlaams Gewest,2000,/,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2002,497862,5972781,0.0833551
Vlaams Gewest,2000,/,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2003,526871,5995553,0.087877
Vlaams Gewest,2000,/,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2004,554531,6016024,0.0921757
Vlaams Gewest,2000,/,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2005,584434,6043161,0.09671
Vlaams Gewest,2000,/,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2006,622465,6078600,0.102403
Vlaams Gewest,2000,/,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2007,662091,6117440,0.10823
Vlaams Gewest,2000,/,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2008,709029,6161438,0.115075
Vlaams Gewest,2000,/,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2009,756133,6208877,0.121783
Vlaams Gewest,2000,/,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2010,804395,6251983,0.128662
Vlaams Gewest,2000,/,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2011,862410,6306638,0.136746
Vlaams Gewest,2000,/,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2012,913710,6350765,0.143874
Vlaams Gewest,2000,/,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2013,957181,6381859,0.149985
Vlaams Gewest,2000,/,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2014,999687,6410705,0.15594
Vlaams Gewest,2000,/,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2015,1045054,6444127,0.162172
Vlaams Gewest,2000,/,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2016,1095004,6477804,0.169039
Vlaams Gewest,2000,/,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2017,1149010,6516011,0.176336
Vlaams Gewest,2000,/,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2018,1205372,6552967,0.183943
Vlaams Gewest,2000,/,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2019,1261213,6589069,0.19141
Vlaams Gewest,2000,/,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2020,1321300,6629143,0.199317
Vlaams Gewest,2000,/,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2021,1371994,6653062,0.20622
Vlaams Gewest,2000,/,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2022,1436387,6698876,0.214422
Aartselaar,11001,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2000,586,14438,0.0405873
Aartselaar,11001,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2001,633,14440,0.0438366
Aartselaar,11001,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2002,668,14378,0.0464599
Aartselaar,11001,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2003,696,14317,0.0486135
Aartselaar,11001,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2004,730,14237,0.0512748
Aartselaar,11001,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2005,787,14272,0.0551429
Aartselaar,11001,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2006,872,14375,0.0606609
Aartselaar,11001,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2007,915,14325,0.0638743
Aartselaar,11001,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2008,991,14273,0.0694318
Aartselaar,11001,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2009,1064,14265,0.0745882
Aartselaar,11001,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2010,1118,14290,0.0782365
Aartselaar,11001,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2011,1197,14311,0.083642
Aartselaar,11001,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2012,1249,14281,0.0874589
Aartselaar,11001,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2013,1358,14226,0.095459
Aartselaar,11001,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2014,1413,14207,0.099458
Aartselaar,11001,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2015,1511,14157,0.106732
Aartselaar,11001,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2016,1679,14262,0.117725
Aartselaar,11001,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2017,1744,14222,0.122627
Aartselaar,11001,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2018,1886,14304,0.131851
Aartselaar,11001,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2019,2017,14293,0.141118
Aartselaar,11001,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2020,2256,14427,0.156373
Aartselaar,11001,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2021,2395,14455,0.165687
Aartselaar,11001,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2022,2627,14610,0.179808
Antwerpen,11002,Ja,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2000,90141,446525,0.201872
Antwerpen,11002,Ja,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2001,93438,445570,0.209704
Antwerpen,11002,Ja,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2002,100202,448709,0.223312
Antwerpen,11002,Ja,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2003,107924,452474,0.23852
