Gemeente,Nis-code,Centrumstad?,Indicator,Herkomst,Jaar,Aantal personen van buitenlandse herkomst naar nationaliteitshistoriek,Aantal personen van buitenlandse herkomst,Procent
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2000,141366,592476,0.238602
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2000,157460,592476,0.265766
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2000,293650,592476,0.495632
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2001,151497,614209,0.246654
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2001,181750,614209,0.295909
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2001,280962,614209,0.457437
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2002,162441,645165,0.251782
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2002,207501,645165,0.321625
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2002,275223,645165,0.426593
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2003,174223,679931,0.256236
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2003,224965,679931,0.330864
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2003,280743,679931,0.412899
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2004,187029,713113,0.262271
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2004,237709,713113,0.33334
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2004,288375,713113,0.404389
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2005,200746,748772,0.2681
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2005,250737,748772,0.334864
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2005,297289,748772,0.397035
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2006,215151,793420,0.271169
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2006,264067,793420,0.332821
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2006,314202,793420,0.39601
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2007,230675,840433,0.274472
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2007,278064,840433,0.330858
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2007,331694,840433,0.39467
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2008,246376,894488,0.275438
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2008,293850,894488,0.328512
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2008,354262,894488,0.39605
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2009,263417,948922,0.277596
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2009,307663,948922,0.324224
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2009,377842,948922,0.39818
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2010,280465,1001529,0.280037
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2010,321631,1001529,0.32114
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2010,399433,1001529,0.398823
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2011,298105,1064571,0.280024
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2011,338480,1064571,0.31795
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2011,427986,1064571,0.402027
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2012,315491,1119984,0.281692
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als niet-Belg,2012,351094,1119984,0.313481
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Niet-Belg,2012,453399,1119984,0.404826
Vlaams Gewest,2000,/,"Personen van buitenlandse herkomst, naar nationaliteitshistoriek",Belg geboren als Belg,2013,333027,1167322,0.285291
