Gemeente,Nis-code,Centrumstad?,Indicator,Geslacht,Jaar,Aantal personen met huidige niet-Belgische nationaliteit naar geslacht,Aantal inwoners naar geslacht,Procent
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Mannen,2000,154632,2929510,0.0527843
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Vrouwen,2000,139018,3010741,0.046174
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Mannen,2001,147556,2934940,0.0502756
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Vrouwen,2001,133406,3017612,0.0442091
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Mannen,2002,144761,2945066,0.0491537
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Vrouwen,2002,130462,3027715,0.0430893
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Mannen,2003,147660,2956558,0.0499432
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Vrouwen,2003,133083,3038995,0.0437918
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Mannen,2004,150693,2966640,0.0507958
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Vrouwen,2004,137682,3049384,0.0451508
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Mannen,2005,154419,2979825,0.0518215
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Vrouwen,2005,142870,3063336,0.0466387
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Mannen,2006,162576,2997496,0.0542373
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Vrouwen,2006,151626,3081104,0.0492116
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Mannen,2007,171317,3017063,0.0567827
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Vrouwen,2007,160377,3100377,0.0517282
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Mannen,2008,183370,3039674,0.0603255
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Vrouwen,2008,170892,3121764,0.0547421
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Mannen,2009,196029,3064169,0.0639746
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Vrouwen,2009,181813,3144708,0.0578155
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Mannen,2010,206361,3085334,0.0668845
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Vrouwen,2010,193072,3166649,0.0609704
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Mannen,2011,221011,3113369,0.0709877
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Vrouwen,2011,206975,3193269,0.064816
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Mannen,2012,234192,3135552,0.0746892
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Vrouwen,2012,219207,3215213,0.0681781
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Mannen,2013,242043,3151466,0.0768033
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Vrouwen,2013,225839,3230393,0.0699107
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Mannen,2014,248865,3165719,0.0786125
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Vrouwen,2014,233017,3244986,0.0718083
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Mannen,2015,259802,3182692,0.0816296
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Vrouwen,2015,244328,3261435,0.0749143
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Mannen,2016,271216,3200837,0.0847328
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Vrouwen,2016,255178,3276967,0.0778702
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Mannen,2017,283654,3221295,0.0880559
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Vrouwen,2017,265256,3294716,0.0805095
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Mannen,2018,295227,3241106,0.0910884
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Vrouwen,2018,276072,3311861,0.0833586
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Mannen,2019,307624,3260033,0.0943622
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Vrouwen,2019,288297,3329036,0.0866007
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Mannen,2020,318617,3280498,0.0971246
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Vrouwen,2020,300126,3348645,0.0896261
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Mannen,2021,326178,3293617,0.0990334
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Vrouwen,2021,307805,3359445,0.0916238
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Mannen,2022,337918,3316611,0.101887
Vlaams Gewest,2000,/,"Vreemdelingen, naar geslacht",Vrouwen,2022,320352,3382265,0.0947152
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Mannen,2000,165,7158,0.0230511
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2000,137,7280,0.0188187
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Mannen,2001,164,7127,0.0230111
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2001,143,7313,0.0195542
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Mannen,2002,160,7095,0.0225511
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2002,134,7283,0.018399
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Mannen,2003,161,7063,0.0227948
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2003,136,7254,0.0187483
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Mannen,2004,167,7019,0.0237926
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2004,136,7218,0.0188418
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Mannen,2005,174,7046,0.0246949
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2005,145,7226,0.0200664
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Mannen,2006,199,7090,0.0280677
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2006,166,7285,0.0227865
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Mannen,2007,200,7100,0.028169
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2007,153,7225,0.0211765
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Mannen,2008,203,7071,0.0287088
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2008,192,7202,0.0266593
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Mannen,2009,212,7049,0.0300752
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2009,213,7216,0.0295177
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Mannen,2010,213,7065,0.0301486
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2010,211,7225,0.0292042
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Mannen,2011,247,7082,0.0348772
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2011,228,7229,0.0315396
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Mannen,2012,230,7037,0.0326844
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2012,234,7244,0.0323026
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Mannen,2013,253,7024,0.0360194
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2013,244,7202,0.0338795
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Mannen,2014,269,7042,0.0381994
Aartselaar,11001,Nee,"Vreemdelingen, naar geslacht",Vrouwen,2014,266,7165,0.0371249
