Gemeente,Nis-code,Centrumstad?,Indicator,Nationaliteit,Jaar,Aantal personen met huidige niet-Belgische nationaliteit naar nationaliteitsgroep,Aantal inwoners,Procent
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2011,81332,6306638,0.0128963
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",EU,2011,257516,6306638,0.0408325
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2011,48863,6306638,0.00774787
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2011,38250,6306638,0.00606504
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2011,170470,6306638,0.0270302
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2011,50888,6306638,0.00806896
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2011,160008,6306638,0.0253714
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2011,48645,6306638,0.0077133
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2012,89473,6350765,0.0140885
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",EU,2012,273117,6350765,0.0430054
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2012,59269,6350765,0.00933258
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2012,39443,6350765,0.00621075
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2012,180282,6350765,0.0283874
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2012,51366,6350765,0.00808816
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2012,163549,6350765,0.0257526
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2012,50299,6350765,0.00792015
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2013,92613,6381859,0.0145119
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",EU,2013,287459,6381859,0.0450431
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2013,68751,6381859,0.0107729
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2013,37843,6381859,0.00592978
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2013,180423,6381859,0.0282712
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2013,49967,6381859,0.00782954
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2013,166158,6381859,0.026036
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2013,52550,6381859,0.00823428
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2014,96433,6410705,0.0150425
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",EU,2014,300136,6410705,0.0468179
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2014,76733,6410705,0.0119695
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2014,36134,6410705,0.00563651
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2014,181746,6410705,0.0283504
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2014,49179,6410705,0.00767139
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2014,168426,6410705,0.0262726
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2014,54977,6410705,0.00857581
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2015,102755,6444127,0.0159455
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",EU,2015,315461,6444127,0.0489533
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2015,86414,6444127,0.0134097
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2015,35963,6444127,0.00558074
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2015,188669,6444127,0.0292777
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2015,49951,6444127,0.0077514
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2015,171416,6444127,0.0266003
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2015,57631,6444127,0.00894318
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2016,110242,6477804,0.0170184
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",EU,2016,329846,6477804,0.0509194
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2016,95078,6477804,0.0146775
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2016,35618,6477804,0.00549847
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2016,196548,6477804,0.0303418
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2016,50688,6477804,0.00782487
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2016,174518,6477804,0.0269409
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2016,60250,6477804,0.00930099
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2017,121175,6516011,0.0185965
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",EU,2017,341637,6516011,0.0524304
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2017,102664,6516011,0.0157557
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2017,35060,6516011,0.00538059
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2017,207273,6516011,0.0318098
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2017,51038,6516011,0.00783271
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2017,176629,6516011,0.0271069
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2017,62344,6516011,0.00956782
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2018,132424,6552967,0.0202083
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",EU,2018,353617,6552967,0.0539629
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2018,110712,6552967,0.0168949
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2018,34329,6552967,0.0052387
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2018,217682,6552967,0.0332188
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2018,50929,6552967,0.0077719
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2018,178336,6552967,0.0272145
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2018,64569,6552967,0.0098534
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2019,142033,6589069,0.0215559
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",EU,2019,367667,6589069,0.0557995
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2019,119434,6589069,0.0181261
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2019,34507,6589069,0.00523701
