Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Aantal vreemde nationaliteiten
Vlaams Gewest,2000,/,Vreemde nationaliteiten,2000,174
Vlaams Gewest,2000,/,Vreemde nationaliteiten,2001,175
Vlaams Gewest,2000,/,Vreemde nationaliteiten,2002,175
Vlaams Gewest,2000,/,Vreemde nationaliteiten,2003,176
Vlaams Gewest,2000,/,Vreemde nationaliteiten,2004,175
Vlaams Gewest,2000,/,Vreemde nationaliteiten,2005,175
Vlaams Gewest,2000,/,Vreemde nationaliteiten,2006,176
Vlaams Gewest,2000,/,Vreemde nationaliteiten,2007,177
Vlaams Gewest,2000,/,Vreemde nationaliteiten,2008,181
Vlaams Gewest,2000,/,Vreemde nationaliteiten,2009,180
Vlaams Gewest,2000,/,Vreemde nationaliteiten,2010,180
Vlaams Gewest,2000,/,Vreemde nationaliteiten,2011,180
Vlaams Gewest,2000,/,Vreemde nationaliteiten,2012,180
Vlaams Gewest,2000,/,Vreemde nationaliteiten,2013,179
Vlaams Gewest,2000,/,Vreemde nationaliteiten,2014,181
Vlaams Gewest,2000,/,Vreemde nationaliteiten,2015,180
Vlaams Gewest,2000,/,Vreemde nationaliteiten,2016,179
Vlaams Gewest,2000,/,Vreemde nationaliteiten,2017,179
Vlaams Gewest,2000,/,Vreemde nationaliteiten,2018,185
Vlaams Gewest,2000,/,Vreemde nationaliteiten,2019,183
Vlaams Gewest,2000,/,Vreemde nationaliteiten,2020,186
Vlaams Gewest,2000,/,Vreemde nationaliteiten,2021,187
Vlaams Gewest,2000,/,Vreemde nationaliteiten,2022,188
Aartselaar,11001,Nee,Vreemde nationaliteiten,2000,39
Aartselaar,11001,Nee,Vreemde nationaliteiten,2001,39
Aartselaar,11001,Nee,Vreemde nationaliteiten,2002,41
Aartselaar,11001,Nee,Vreemde nationaliteiten,2003,40
Aartselaar,11001,Nee,Vreemde nationaliteiten,2004,39
Aartselaar,11001,Nee,Vreemde nationaliteiten,2005,47
Aartselaar,11001,Nee,Vreemde nationaliteiten,2006,53
Aartselaar,11001,Nee,Vreemde nationaliteiten,2007,49
Aartselaar,11001,Nee,Vreemde nationaliteiten,2008,51
Aartselaar,11001,Nee,Vreemde nationaliteiten,2009,59
Aartselaar,11001,Nee,Vreemde nationaliteiten,2010,60
Aartselaar,11001,Nee,Vreemde nationaliteiten,2011,67
Aartselaar,11001,Nee,Vreemde nationaliteiten,2012,64
Aartselaar,11001,Nee,Vreemde nationaliteiten,2013,63
Aartselaar,11001,Nee,Vreemde nationaliteiten,2014,63
Aartselaar,11001,Nee,Vreemde nationaliteiten,2015,69
Aartselaar,11001,Nee,Vreemde nationaliteiten,2016,72
Aartselaar,11001,Nee,Vreemde nationaliteiten,2017,72
Aartselaar,11001,Nee,Vreemde nationaliteiten,2018,80
Aartselaar,11001,Nee,Vreemde nationaliteiten,2019,86
Aartselaar,11001,Nee,Vreemde nationaliteiten,2020,85
Aartselaar,11001,Nee,Vreemde nationaliteiten,2021,84
Aartselaar,11001,Nee,Vreemde nationaliteiten,2022,89
Antwerpen,11002,Ja,Vreemde nationaliteiten,2000,154
Antwerpen,11002,Ja,Vreemde nationaliteiten,2001,159
Antwerpen,11002,Ja,Vreemde nationaliteiten,2002,156
Antwerpen,11002,Ja,Vreemde nationaliteiten,2003,157
Antwerpen,11002,Ja,Vreemde nationaliteiten,2004,159
Antwerpen,11002,Ja,Vreemde nationaliteiten,2005,160
Antwerpen,11002,Ja,Vreemde nationaliteiten,2006,160
Antwerpen,11002,Ja,Vreemde nationaliteiten,2007,160
Antwerpen,11002,Ja,Vreemde nationaliteiten,2008,163
Antwerpen,11002,Ja,Vreemde nationaliteiten,2009,165
Antwerpen,11002,Ja,Vreemde nationaliteiten,2010,166
Antwerpen,11002,Ja,Vreemde nationaliteiten,2011,164
Antwerpen,11002,Ja,Vreemde nationaliteiten,2012,165
Antwerpen,11002,Ja,Vreemde nationaliteiten,2013,165
Antwerpen,11002,Ja,Vreemde nationaliteiten,2014,167
Antwerpen,11002,Ja,Vreemde nationaliteiten,2015,164
Antwerpen,11002,Ja,Vreemde nationaliteiten,2016,163
Antwerpen,11002,Ja,Vreemde nationaliteiten,2017,168
Antwerpen,11002,Ja,Vreemde nationaliteiten,2018,169
Antwerpen,11002,Ja,Vreemde nationaliteiten,2019,168
Antwerpen,11002,Ja,Vreemde nationaliteiten,2020,167
