Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Geslacht,Aantal meerderjarige nieuwkomers naar geslacht,Aantal meerderjarige nieuwkomers,Procent
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2010,21272,40834,0.520938
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2010,19562,40834,0.479062
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2011,21964,40861,0.53753
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2011,18897,40861,0.46247
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2012,19977,36739,0.543755
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2012,16762,36739,0.456245
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2013,17253,32150,0.536641
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2013,14897,32150,0.463359
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2014,17834,33889,0.526247
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2014,16055,33889,0.473753
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2015,20186,36391,0.554698
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2015,16205,36391,0.445302
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2016,29475,52025,0.566555
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2016,22550,52025,0.433445
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2017,23248,43397,0.535705
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2017,20149,43397,0.464295
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2018,25073,45672,0.54898
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2018,20599,45672,0.45102
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2019,28780,51746,0.556178
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2019,22966,51746,0.443822
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2020,23150,41993,0.551282
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2020,18843,41993,0.448718
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2021,20981,39096,0.536653
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2021,18115,39096,0.463347
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2010,31,46,0.673913
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2010,15,46,0.326087
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2011,14,31,0.451613
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2011,17,31,0.548387
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2012,19,33,0.575758
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2012,14,33,0.424242
