Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Doelgroep,Aantal meerderjarige nieuwkomers naar doelgroep,Aantal meerderjarige nieuwkomers,Procent
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar doelgroep",2011,Nader te bepalen,2114,40861,0.05174
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar doelgroep",2011,Rechthebbend,24098,40861,0.58976
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar doelgroep",2011,Verplicht           ,14649,40861,0.35851
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar doelgroep",2012,Nader te bepalen,1832,36739,0.04987
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar doelgroep",2012,Rechthebbend,27141,36739,0.73875
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar doelgroep",2012,Verplicht           ,7766,36739,0.21138
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar doelgroep",2013,Nader te bepalen,1565,32150,0.04868
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar doelgroep",2013,Rechthebbend,24444,32150,0.76031
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar doelgroep",2013,Verplicht           ,6141,32150,0.19101
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar doelgroep",2014,Nader te bepalen,2380,33889,0.07023
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar doelgroep",2014,Rechthebbend,26323,33889,0.77674
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar doelgroep",2014,Verplicht           ,5186,33889,0.15303
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar doelgroep",2015,Nader te bepalen,1940,36391,0.05331
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar doelgroep",2015,Rechthebbend,26998,36391,0.74189
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar doelgroep",2015,Verplicht           ,7453,36391,0.2048
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar doelgroep",2016,Nader te bepalen,2195,52025,0.04219
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar doelgroep",2016,Rechthebbend,39118,52025,0.75191
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar doelgroep",2016,Verplicht           ,10712,52025,0.2059
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar doelgroep",2017,Nader te bepalen,2180,43397,0.05023
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar doelgroep",2017,Rechthebbend,31186,43397,0.71862
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar doelgroep",2017,Verplicht           ,10031,43397,0.23115
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar doelgroep",2018,Nader te bepalen,484,45672,0.0106
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar doelgroep",2018,Nader te bepalen,2282,45672,0.04996
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar doelgroep",2018,Rechthebbend,34017,45672,0.74481
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar doelgroep",2018,Verplicht           ,8889,45672,0.19463
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar doelgroep",2019,Nader te bepalen,434,51746,0.00839
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar doelgroep",2019,Nader te bepalen,2923,51746,0.05649
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar doelgroep",2019,Rechthebbend,40141,51746,0.77573
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar doelgroep",2019,Verplicht           ,8248,51746,0.15939
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar doelgroep",2020,Nader te bepalen,121,41993,0.00288
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar doelgroep",2020,Rechthebbend,34221,41993,0.81492
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar doelgroep",2020,Verplicht           ,7651,41993,0.1822
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar doelgroep",2021,Nader te bepalen,321,39096,0.00821
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar doelgroep",2021,Rechthebbend,29837,39096,0.76317
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar doelgroep",2021,Verplicht           ,8938,39096,0.22862
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Nader te bepalen,3,31,0.09677
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Rechthebbend,17,31,0.54839
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Verplicht           ,11,31,0.35484
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Nader te bepalen,0,33,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Rechthebbend,21,33,0.63636
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Verplicht           ,12,33,0.36364
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Nader te bepalen,0,41,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Rechthebbend,31,41,0.7561
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Verplicht           ,10,41,0.2439
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Nader te bepalen,0,35,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Rechthebbend,32,35,0.91429
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Verplicht           ,3,35,0.08571
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Nader te bepalen,4,44,0.09091
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Rechthebbend,31,44,0.70455
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Verplicht           ,9,44,0.20455
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Nader te bepalen,2,52,0.03846
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Rechthebbend,39,52,0.75
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Verplicht           ,11,52,0.21154
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Nader te bepalen,4,49,0.08163
