Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Aantal inburgeraars die een inburgeringscontract hebben ondertekend,Aantal inwoners,Verhouding per 10000 inwoners
Vlaams Gewest,2000,/,Inburgeraars met inburgeringscontract,2010,16414,6251983,26.2541
Vlaams Gewest,2000,/,Inburgeraars met inburgeringscontract,2011,18691,6306638,29.637
Vlaams Gewest,2000,/,Inburgeraars met inburgeringscontract,2012,14727,6350765,23.1893
Vlaams Gewest,2000,/,Inburgeraars met inburgeringscontract,2013,14124,6381859,22.1315
Vlaams Gewest,2000,/,Inburgeraars met inburgeringscontract,2014,13770,6410705,21.4797
Vlaams Gewest,2000,/,Inburgeraars met inburgeringscontract,2015,15987,6444127,24.8086
Vlaams Gewest,2000,/,Inburgeraars met inburgeringscontract,2016,21867,6477804,33.7568
Vlaams Gewest,2000,/,Inburgeraars met inburgeringscontract,2017,18345,6516011,28.1537
Vlaams Gewest,2000,/,Inburgeraars met inburgeringscontract,2018,17998,6552967,27.4654
Vlaams Gewest,2000,/,Inburgeraars met inburgeringscontract,2019,19825,6589069,30.0877
Vlaams Gewest,2000,/,Inburgeraars met inburgeringscontract,2020,15621,6629143,23.5641
Vlaams Gewest,2000,/,Inburgeraars met inburgeringscontract,2021,19963,6653062,30.0057
Aartselaar,11001,Nee,Inburgeraars met inburgeringscontract,2010,12,14290,8.39748
Aartselaar,11001,Nee,Inburgeraars met inburgeringscontract,2011,18,14311,12.5777
Aartselaar,11001,Nee,Inburgeraars met inburgeringscontract,2012,17,14281,11.9039
Aartselaar,11001,Nee,Inburgeraars met inburgeringscontract,2013,12,14226,8.43526
Aartselaar,11001,Nee,Inburgeraars met inburgeringscontract,2014,10,14207,7.03878
Aartselaar,11001,Nee,Inburgeraars met inburgeringscontract,2015,15,14157,10.5955
Aartselaar,11001,Nee,Inburgeraars met inburgeringscontract,2016,15,14262,10.5175
Aartselaar,11001,Nee,Inburgeraars met inburgeringscontract,2017,20,14222,14.0627
Aartselaar,11001,Nee,Inburgeraars met inburgeringscontract,2018,14,14304,9.78747
Aartselaar,11001,Nee,Inburgeraars met inburgeringscontract,2019,29,14293,20.2897
Aartselaar,11001,Nee,Inburgeraars met inburgeringscontract,2020,31,14427,21.4875
Aartselaar,11001,Nee,Inburgeraars met inburgeringscontract,2021,35,14455,24.2131
Antwerpen,11002,Ja,Inburgeraars met inburgeringscontract,2010,4769,483505,98.6339
Antwerpen,11002,Ja,Inburgeraars met inburgeringscontract,2011,6094,493517,123.481
Antwerpen,11002,Ja,Inburgeraars met inburgeringscontract,2012,4956,502604,98.6065
Antwerpen,11002,Ja,Inburgeraars met inburgeringscontract,2013,4423,507911,87.0822
Antwerpen,11002,Ja,Inburgeraars met inburgeringscontract,2014,4312,510610,84.448
Antwerpen,11002,Ja,Inburgeraars met inburgeringscontract,2015,4562,513570,88.8292
Antwerpen,11002,Ja,Inburgeraars met inburgeringscontract,2016,5702,517042,110.281
Antwerpen,11002,Ja,Inburgeraars met inburgeringscontract,2017,4547,520504,87.3576
Antwerpen,11002,Ja,Inburgeraars met inburgeringscontract,2018,4212,523248,80.4972
Antwerpen,11002,Ja,Inburgeraars met inburgeringscontract,2019,4207,525935,79.9909
Antwerpen,11002,Ja,Inburgeraars met inburgeringscontract,2020,3487,529247,65.8861
Antwerpen,11002,Ja,Inburgeraars met inburgeringscontract,2021,4738,529417,89.4947
Boechout,11004,Nee,Inburgeraars met inburgeringscontract,2010,18,12749,14.1188
Boechout,11004,Nee,Inburgeraars met inburgeringscontract,2011,23,12728,18.0704
Boechout,11004,Nee,Inburgeraars met inburgeringscontract,2012,15,12724,11.7887
Boechout,11004,Nee,Inburgeraars met inburgeringscontract,2013,13,12774,10.1769
Boechout,11004,Nee,Inburgeraars met inburgeringscontract,2014,14,12804,10.9341
Boechout,11004,Nee,Inburgeraars met inburgeringscontract,2015,16,12792,12.5078
Boechout,11004,Nee,Inburgeraars met inburgeringscontract,2016,22,12844,17.1286
Boechout,11004,Nee,Inburgeraars met inburgeringscontract,2017,24,12908,18.5931
Boechout,11004,Nee,Inburgeraars met inburgeringscontract,2018,35,13120,26.6768
Boechout,11004,Nee,Inburgeraars met inburgeringscontract,2019,24,13266,18.0914
Boechout,11004,Nee,Inburgeraars met inburgeringscontract,2020,20,13372,14.9566
Boechout,11004,Nee,Inburgeraars met inburgeringscontract,2021,16,13527,11.8282
Boom,11005,Nee,Inburgeraars met inburgeringscontract,2010,53,16709,31.7194
Boom,11005,Nee,Inburgeraars met inburgeringscontract,2011,70,16989,41.2031
Boom,11005,Nee,Inburgeraars met inburgeringscontract,2012,46,17166,26.7972
Boom,11005,Nee,Inburgeraars met inburgeringscontract,2013,47,17227,27.2828
Boom,11005,Nee,Inburgeraars met inburgeringscontract,2014,43,17231,24.955
Boom,11005,Nee,Inburgeraars met inburgeringscontract,2015,63,17559,35.879
Boom,11005,Nee,Inburgeraars met inburgeringscontract,2016,69,17737,38.9017
Boom,11005,Nee,Inburgeraars met inburgeringscontract,2017,68,17788,38.228
Boom,11005,Nee,Inburgeraars met inburgeringscontract,2018,56,17970,31.163
Boom,11005,Nee,Inburgeraars met inburgeringscontract,2019,74,18244,40.5613
Boom,11005,Nee,Inburgeraars met inburgeringscontract,2020,57,18555,30.7195
Boom,11005,Nee,Inburgeraars met inburgeringscontract,2021,76,18799,40.4277
Borsbeek,11007,Nee,Inburgeraars met inburgeringscontract,2010,21,10125,20.7407
Borsbeek,11007,Nee,Inburgeraars met inburgeringscontract,2011,31,10207,30.3713
Borsbeek,11007,Nee,Inburgeraars met inburgeringscontract,2012,23,10233,22.4763
Borsbeek,11007,Nee,Inburgeraars met inburgeringscontract,2013,35,10278,34.0533
Borsbeek,11007,Nee,Inburgeraars met inburgeringscontract,2014,18,10451,17.2232
Borsbeek,11007,Nee,Inburgeraars met inburgeringscontract,2015,39,10465,37.2671
Borsbeek,11007,Nee,Inburgeraars met inburgeringscontract,2016,35,10540,33.2068
Borsbeek,11007,Nee,Inburgeraars met inburgeringscontract,2017,47,10581,44.4192
Borsbeek,11007,Nee,Inburgeraars met inburgeringscontract,2018,26,10685,24.3332
Borsbeek,11007,Nee,Inburgeraars met inburgeringscontract,2019,30,10854,27.6396
Borsbeek,11007,Nee,Inburgeraars met inburgeringscontract,2020,37,10949,33.793
Borsbeek,11007,Nee,Inburgeraars met inburgeringscontract,2021,42,11077,37.9164
Brasschaat,11008,Nee,Inburgeraars met inburgeringscontract,2010,52,36949,14.0735
Brasschaat,11008,Nee,Inburgeraars met inburgeringscontract,2011,41,37189,11.0248
Brasschaat,11008,Nee,Inburgeraars met inburgeringscontract,2012,36,37301,9.65122
Brasschaat,11008,Nee,Inburgeraars met inburgeringscontract,2013,48,37286,12.8735
Brasschaat,11008,Nee,Inburgeraars met inburgeringscontract,2014,37,37502,9.86614
Brasschaat,11008,Nee,Inburgeraars met inburgeringscontract,2015,44,37480,11.7396
Brasschaat,11008,Nee,Inburgeraars met inburgeringscontract,2016,53,37673,14.0684
Brasschaat,11008,Nee,Inburgeraars met inburgeringscontract,2017,59,37792,15.6118
Brasschaat,11008,Nee,Inburgeraars met inburgeringscontract,2018,57,37850,15.0594
Brasschaat,11008,Nee,Inburgeraars met inburgeringscontract,2019,71,37946,18.7108
Brasschaat,11008,Nee,Inburgeraars met inburgeringscontract,2020,61,38223,15.959
Brasschaat,11008,Nee,Inburgeraars met inburgeringscontract,2021,54,38211,14.1321
Brecht,11009,Nee,Inburgeraars met inburgeringscontract,2010,35,27597,12.6825
Brecht,11009,Nee,Inburgeraars met inburgeringscontract,2011,34,27801,12.2298
Brecht,11009,Nee,Inburgeraars met inburgeringscontract,2012,17,27906,6.09188
Brecht,11009,Nee,Inburgeraars met inburgeringscontract,2013,34,28016,12.1359
Brecht,11009,Nee,Inburgeraars met inburgeringscontract,2014,31,28174,11.0031
Brecht,11009,Nee,Inburgeraars met inburgeringscontract,2015,13,28248,4.6021
Brecht,11009,Nee,Inburgeraars met inburgeringscontract,2016,40,28534,14.0184
Brecht,11009,Nee,Inburgeraars met inburgeringscontract,2017,36,28786,12.5061
Brecht,11009,Nee,Inburgeraars met inburgeringscontract,2018,33,29010,11.3754
