Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Doelgroep,Aantal inburgeraars die een inburgeringscontract hebben ondertekend naar doelgroep,Aantal inburgeraars die een inburgeringscontract hebben ondertekend,Procent
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar doelgroep",2010,Nader te bepalen,212,16414,0.0129158
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar doelgroep",2010,Rechthebbend,3936,16414,0.239795
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar doelgroep",2010,Verplicht           ,12266,16414,0.747289
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar doelgroep",2011,Nader te bepalen,393,18691,0.0210262
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar doelgroep",2011,Rechthebbend,4122,18691,0.220534
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar doelgroep",2011,Verplicht           ,14176,18691,0.75844
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar doelgroep",2012,Nader te bepalen,550,14727,0.0373464
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar doelgroep",2012,Rechthebbend,5933,14727,0.402865
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar doelgroep",2012,Verplicht           ,8244,14727,0.559788
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar doelgroep",2013,Nader te bepalen,17,14124,0.00120363
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar doelgroep",2013,Rechthebbend,7846,14124,0.555508
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar doelgroep",2013,Verplicht           ,6261,14124,0.443288
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar doelgroep",2014,Rechthebbend,8306,13770,0.603195
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar doelgroep",2014,Verplicht           ,5464,13770,0.396805
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar doelgroep",2015,Rechthebbend,8434,15987,0.527554
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar doelgroep",2015,Verplicht           ,7553,15987,0.472446
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar doelgroep",2016,Rechthebbend,10461,21867,0.478392
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar doelgroep",2016,Verplicht           ,11406,21867,0.521608
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar doelgroep",2017,Rechthebbend,8186,18345,0.446225
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar doelgroep",2017,Verplicht           ,10159,18345,0.553775
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar doelgroep",2018,Rechthebbend,8001,17998,0.444549
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar doelgroep",2018,Verplicht           ,9997,17998,0.555451
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar doelgroep",2019,Rechthebbend,10420,19825,0.525599
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar doelgroep",2019,Verplicht           ,9405,19825,0.474401
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar doelgroep",2020,Nader te bepalen,11,15621,0.00070418
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar doelgroep",2020,Rechthebbend,8364,15621,0.535433
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar doelgroep",2020,Verplicht           ,7246,15621,0.463863
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar doelgroep",2021,Nader te bepalen,4,19963,0.000200371
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar doelgroep",2021,Rechthebbend,10305,19963,0.516205
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar doelgroep",2021,Verplicht           ,9654,19963,0.483595
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2010,Nader te bepalen,0,12,0.0
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2010,Rechthebbend,3,12,0.25
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2010,Verplicht           ,9,12,0.75
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2011,Nader te bepalen,0,18,0.0
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2011,Rechthebbend,3,18,0.166667
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2011,Verplicht           ,15,18,0.833333
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2012,Nader te bepalen,0,17,0.0
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2012,Rechthebbend,2,17,0.117647
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2012,Verplicht           ,15,17,0.882353
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2013,Nader te bepalen,0,12,0.0
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2013,Rechthebbend,7,12,0.583333
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2013,Verplicht           ,5,12,0.416667
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2014,Rechthebbend,4,10,0.4
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2014,Verplicht           ,6,10,0.6
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2015,Rechthebbend,5,15,0.333333
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2015,Verplicht           ,10,15,0.666667
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2016,Rechthebbend,7,15,0.466667
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2016,Verplicht           ,8,15,0.533333
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2017,Rechthebbend,13,20,0.65
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2017,Verplicht           ,7,20,0.35
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2018,Rechthebbend,10,14,0.714286
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2018,Verplicht           ,4,14,0.285714
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2019,Rechthebbend,11,29,0.37931
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2019,Verplicht           ,18,29,0.62069
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2020,Nader te bepalen,0,31,0.0
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2020,Rechthebbend,17,31,0.548387
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2020,Verplicht           ,14,31,0.451613
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2021,Nader te bepalen,0,35,0.0
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2021,Rechthebbend,17,35,0.485714
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2021,Verplicht           ,18,35,0.514286
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar doelgroep",2010,Nader te bepalen,37,4769,0.00775844
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar doelgroep",2010,Rechthebbend,1549,4769,0.324806
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar doelgroep",2010,Verplicht           ,3183,4769,0.667436
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar doelgroep",2011,Nader te bepalen,61,6094,0.0100098
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar doelgroep",2011,Rechthebbend,1774,6094,0.291106
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar doelgroep",2011,Verplicht           ,4259,6094,0.698884
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar doelgroep",2012,Nader te bepalen,116,4956,0.023406
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar doelgroep",2012,Rechthebbend,2190,4956,0.441889
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar doelgroep",2012,Verplicht           ,2650,4956,0.534705
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar doelgroep",2013,Nader te bepalen,3,4423,0.000678273
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar doelgroep",2013,Rechthebbend,2574,4423,0.581958
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar doelgroep",2013,Verplicht           ,1846,4423,0.417364
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar doelgroep",2014,Rechthebbend,2622,4312,0.608071
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar doelgroep",2014,Verplicht           ,1690,4312,0.391929
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar doelgroep",2015,Rechthebbend,2273,4562,0.498246
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar doelgroep",2015,Verplicht           ,2289,4562,0.501754
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar doelgroep",2016,Rechthebbend,2305,5702,0.404244
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar doelgroep",2016,Verplicht           ,3397,5702,0.595756
