Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Aantal inburgeraars die zich hebben aangemeld bij een onthaalbureau,Aantal inwoners,Verhouding per 10.000 inwoners
Vlaams Gewest,2000,/,Inburgeraars aangemeld bij onthaalbureau,2010,20907,6251983,33.4406
Vlaams Gewest,2000,/,Inburgeraars aangemeld bij onthaalbureau,2011,21731,6306638,34.4573
Vlaams Gewest,2000,/,Inburgeraars aangemeld bij onthaalbureau,2012,18598,6350765,29.2847
Vlaams Gewest,2000,/,Inburgeraars aangemeld bij onthaalbureau,2013,17055,6381859,26.7242
Vlaams Gewest,2000,/,Inburgeraars aangemeld bij onthaalbureau,2014,16391,6410705,25.5682
Vlaams Gewest,2000,/,Inburgeraars aangemeld bij onthaalbureau,2015,18357,6444127,28.4864
Vlaams Gewest,2000,/,Inburgeraars aangemeld bij onthaalbureau,2016,24755,6477804,38.2151
Vlaams Gewest,2000,/,Inburgeraars aangemeld bij onthaalbureau,2017,21105,6516011,32.3894
Vlaams Gewest,2000,/,Inburgeraars aangemeld bij onthaalbureau,2018,20148,6552967,30.7464
Vlaams Gewest,2000,/,Inburgeraars aangemeld bij onthaalbureau,2019,22549,6589069,34.2218
Vlaams Gewest,2000,/,Inburgeraars aangemeld bij onthaalbureau,2020,17187,6629143,25.9264
Vlaams Gewest,2000,/,Inburgeraars aangemeld bij onthaalbureau,2021,21305,6653062,32.0228
Aartselaar,11001,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,13,14290,9.09727
Aartselaar,11001,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,17,14311,11.879
Aartselaar,11001,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,18,14281,12.6042
Aartselaar,11001,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,18,14226,12.6529
Aartselaar,11001,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,16,14207,11.2621
Aartselaar,11001,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,15,14157,10.5955
Aartselaar,11001,Nee,Inburgeraars aangemeld bij onthaalbureau,2016,23,14262,16.1268
Aartselaar,11001,Nee,Inburgeraars aangemeld bij onthaalbureau,2017,23,14222,16.1721
Aartselaar,11001,Nee,Inburgeraars aangemeld bij onthaalbureau,2018,17,14304,11.8848
Aartselaar,11001,Nee,Inburgeraars aangemeld bij onthaalbureau,2019,29,14293,20.2897
Aartselaar,11001,Nee,Inburgeraars aangemeld bij onthaalbureau,2020,37,14427,25.6464
Aartselaar,11001,Nee,Inburgeraars aangemeld bij onthaalbureau,2021,37,14455,25.5967
Antwerpen,11002,Ja,Inburgeraars aangemeld bij onthaalbureau,2010,5935,483505,122.75
Antwerpen,11002,Ja,Inburgeraars aangemeld bij onthaalbureau,2011,7110,493517,144.068
Antwerpen,11002,Ja,Inburgeraars aangemeld bij onthaalbureau,2012,6080,502604,120.97
Antwerpen,11002,Ja,Inburgeraars aangemeld bij onthaalbureau,2013,5231,507911,102.99
Antwerpen,11002,Ja,Inburgeraars aangemeld bij onthaalbureau,2014,4957,510610,97.08
Antwerpen,11002,Ja,Inburgeraars aangemeld bij onthaalbureau,2015,5127,513570,99.8306
Antwerpen,11002,Ja,Inburgeraars aangemeld bij onthaalbureau,2016,6251,517042,120.899
Antwerpen,11002,Ja,Inburgeraars aangemeld bij onthaalbureau,2017,5459,520504,104.879
Antwerpen,11002,Ja,Inburgeraars aangemeld bij onthaalbureau,2018,4897,523248,93.5885
Antwerpen,11002,Ja,Inburgeraars aangemeld bij onthaalbureau,2019,5267,525935,100.145
Antwerpen,11002,Ja,Inburgeraars aangemeld bij onthaalbureau,2020,3786,529247,71.5356
Antwerpen,11002,Ja,Inburgeraars aangemeld bij onthaalbureau,2021,5159,529417,97.4468
Boechout,11004,Nee,Inburgeraars aangemeld bij onthaalbureau,2010,21,12749,16.4719
Boechout,11004,Nee,Inburgeraars aangemeld bij onthaalbureau,2011,23,12728,18.0704
Boechout,11004,Nee,Inburgeraars aangemeld bij onthaalbureau,2012,16,12724,12.5747
Boechout,11004,Nee,Inburgeraars aangemeld bij onthaalbureau,2013,17,12774,13.3083
Boechout,11004,Nee,Inburgeraars aangemeld bij onthaalbureau,2014,21,12804,16.4011
Boechout,11004,Nee,Inburgeraars aangemeld bij onthaalbureau,2015,20,12792,15.6348
