Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Doelgroep,Aantal inburgeraars die zich hebben aangemeld bij een onthaalbureau naar doelgroep,Aantal inburgeraars die zich hebben aangemeld bij een onthaalbureau,Procent
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Nader te bepalen,947,20907,0.0452958
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Rechthebbend,7376,20907,0.3528
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Verplicht           ,12584,20907,0.601904
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Nader te bepalen,985,21731,0.045327
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Rechthebbend,7246,21731,0.333441
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Verplicht           ,13500,21731,0.621232
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Nader te bepalen,1223,18598,0.0657598
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Rechthebbend,9377,18598,0.504194
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Verplicht           ,7998,18598,0.430046
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Nader te bepalen,839,17055,0.0491938
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Rechthebbend,9705,17055,0.569041
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Verplicht           ,6511,17055,0.381765
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2014,Nader te bepalen,436,16391,0.0266
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2014,Rechthebbend,10165,16391,0.620157
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2014,Verplicht           ,5790,16391,0.353243
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Nader te bepalen,447,18357,0.0243504
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Rechthebbend,9942,18357,0.541592
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Verplicht           ,7968,18357,0.434058
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2016,Nader te bepalen,519,24755,0.0209655
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2016,Rechthebbend,11762,24755,0.475136
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2016,Verplicht           ,12474,24755,0.503898
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2017,Nader te bepalen,551,21105,0.0261076
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2017,Rechthebbend,10335,21105,0.489694
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2017,Verplicht           ,10219,21105,0.484198
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2018,Nader te bepalen,492,20148,0.0244193
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2018,Rechthebbend,9818,20148,0.487294
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2018,Verplicht           ,9838,20148,0.488287
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2019,Nader te bepalen,882,22549,0.0391148
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2019,Rechthebbend,12229,22549,0.54233
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2019,Verplicht           ,9438,22549,0.418555
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2020,Nader te bepalen,242,17187,0.0140804
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2020,Rechthebbend,9666,17187,0.562402
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2020,Verplicht           ,7279,17187,0.423518
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Nader te bepalen,307,21305,0.0144098
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Rechthebbend,11498,21305,0.539686
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Verplicht           ,9500,21305,0.445905
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Nader te bepalen,0,13,0.0
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Rechthebbend,4,13,0.307692
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Verplicht           ,9,13,0.692308
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Nader te bepalen,0,17,0.0
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Rechthebbend,4,17,0.235294
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Verplicht           ,13,17,0.764706
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Nader te bepalen,0,18,0.0
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Rechthebbend,4,18,0.222222
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Verplicht           ,14,18,0.777778
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Nader te bepalen,0,18,0.0
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Rechthebbend,11,18,0.611111
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Verplicht           ,7,18,0.388889
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2014,Nader te bepalen,2,16,0.125
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2014,Rechthebbend,8,16,0.5
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2014,Verplicht           ,6,16,0.375
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Nader te bepalen,0,15,0.0
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Rechthebbend,5,15,0.333333
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Verplicht           ,10,15,0.666667
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2016,Nader te bepalen,1,23,0.0434783
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2016,Rechthebbend,15,23,0.652174
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2016,Verplicht           ,7,23,0.304348
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2017,Nader te bepalen,0,23,0.0
Aartselaar,11001,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2017,Rechthebbend,18,23,0.782609
