Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Nationaliteit,Aantal inburgeraars die zich hebben aangemeld bij een onthaalbureau naar nationaliteitsgroep,Aantal inburgeraars die zich hebben aangemeld bij een onthaalbureau,Procent
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2010,Derdelander,16321,20907,0.780648
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2010,EU+,3996,20907,0.191132
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2010,Onbepaalde nationaliteit,590,20907,0.0282202
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2011,Derdelander,16907,21731,0.778013
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2011,EU+,4527,21731,0.20832
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2011,Onbepaalde nationaliteit,297,21731,0.0136671
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2012,Derdelander,13307,18598,0.715507
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2012,EU+ (excl. Nederland),4540,18598,0.244112
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2012,Nederland,251,18598,0.0134961
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2012,Onbepaalde nationaliteit,500,18598,0.0268846
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2013,Derdelander,11275,17055,0.661096
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2013,EU+ (excl. Nederland),5415,17055,0.317502
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2013,Nederland,252,17055,0.0147757
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2013,Onbepaalde nationaliteit,113,17055,0.00662562
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2014,Derdelander,9523,16391,0.58099
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2014,EU+ (excl. Nederland),5866,16391,0.357879
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2014,Nederland,196,16391,0.0119578
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2014,Onbepaalde nationaliteit,806,16391,0.0491733
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2015,Derdelander,13261,18357,0.722395
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2015,EU+ (excl. Nederland),4303,18357,0.234406
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2015,Nederland,223,18357,0.012148
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2015,Onbepaalde nationaliteit,570,18357,0.0310508
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2016,Derdelander,19638,24755,0.793294
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2016,EU+ (excl. Nederland),4317,24755,0.174389
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2016,Nederland,252,24755,0.0101798
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2016,Onbepaalde nationaliteit,548,24755,0.0221369
Vlaams Gewest,2000,/,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2017,Derdelander,15646,21105,0.741341
