Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Aantal personen dat zich als kiezer heeft ingeschreven,Aantal potentiële kiezers,Procent
Vlaams Gewest,2000,/,Bereik niet-Belgische kiezers,2012,37911,288226,0.131532
Vlaams Gewest,2000,/,Bereik niet-Belgische kiezers,2018,41133,367812,0.111832
Aartselaar,11001,nee,Bereik niet-Belgische kiezers,2012,46,331,0.138973
Aartselaar,11001,nee,Bereik niet-Belgische kiezers,2018,47,481,0.0977131
Antwerpen,11002,ja,Bereik niet-Belgische kiezers,2012,5225,52533,0.0994613
Antwerpen,11002,ja,Bereik niet-Belgische kiezers,2018,5437,64479,0.084322
Boechout,11004,nee,Bereik niet-Belgische kiezers,2012,39,271,0.143911
Boechout,11004,nee,Bereik niet-Belgische kiezers,2018,38,404,0.0940594
Boom,11005,nee,Bereik niet-Belgische kiezers,2012,221,815,0.271166
Boom,11005,nee,Bereik niet-Belgische kiezers,2018,273,1194,0.228643
Borsbeek,11007,nee,Bereik niet-Belgische kiezers,2012,24,425,0.0564706
Borsbeek,11007,nee,Bereik niet-Belgische kiezers,2018,23,619,0.0371567
Brasschaat,11008,nee,Bereik niet-Belgische kiezers,2012,373,2349,0.158791
Brasschaat,11008,nee,Bereik niet-Belgische kiezers,2018,311,2512,0.123806
Brecht,11009,nee,Bereik niet-Belgische kiezers,2012,98,1033,0.0948693
Brecht,11009,nee,Bereik niet-Belgische kiezers,2018,92,1244,0.073955
Edegem,11013,nee,Bereik niet-Belgische kiezers,2012,114,723,0.157676
Edegem,11013,nee,Bereik niet-Belgische kiezers,2018,90,968,0.0929752
Essen,11016,nee,Bereik niet-Belgische kiezers,2012,382,2755,0.138657
Essen,11016,nee,Bereik niet-Belgische kiezers,2018,324,2993,0.108253
Hemiksem,11018,nee,Bereik niet-Belgische kiezers,2012,53,285,0.185965
Hemiksem,11018,nee,Bereik niet-Belgische kiezers,2018,98,493,0.198783
Hove,11021,nee,Bereik niet-Belgische kiezers,2012,24,131,0.183206
